date,visitors
2016-07-01,11
2016-07-02,12
2016-07-03,68
2016-07-04,2
2016-07-05,14
2016-07-06,19
2016-07-07,10
2016-07-08,12
2016-07-09,27
2016-07-10,21
2016-07-11,8
2016-07-12,15
2016-07-13,38
2016-07-14,13
2016-07-15,21
2016-07-16,77
2016-07-17,8
2016-07-18,35
2016-07-19,4
2016-07-20,9
2016-07-21,22
2016-07-22,7
2016-07-23,27
2016-07-24,19
2016-07-25,37
2016-07-26,16
2016-07-27,13
2016-07-28,19
2016-07-29,11
2016-07-30,27
2016-07-31,9
2016-08-01,2
2016-08-02,10
2016-08-03,11
2016-08-04,9
2016-08-05,10
2016-08-06,12
2016-08-07,11
2016-08-08,15
2016-08-09,15
2016-08-10,35
2016-08-11,36
2016-08-12,1
2016-08-13,26
2016-08-14,22
2016-08-15,16
2016-08-16,40
2016-08-17,9
2016-08-18,11
2016-08-19,26
2016-08-20,18
2016-08-21,43
2016-08-22,1
2016-08-23,9
2016-08-24,12
2016-08-26,23
2016-08-27,51
2016-08-28,25
2016-08-29,27
2016-08-30,13
2016-08-31,19
2016-09-01,9
2016-09-02,8
2016-09-03,20
2016-09-04,35
2016-09-05,12
2016-09-06,8
2016-09-07,14
2016-09-08,12
2016-09-09,2
2016-09-10,15
2016-09-11,58
2016-09-12,5
2016-09-13,16
2016-09-15,22
2016-09-16,8
2016-09-17,21
2016-09-18,121
2016-09-19,5
2016-09-20,54
2016-09-21,20
2016-09-22,29
2016-09-23,10
2016-09-24,25
2016-09-25,6
2016-09-26,56
2016-09-27,1
2016-09-28,25
2016-09-29,19
2016-09-30,2
2016-10-01,29
2016-10-02,19
2016-10-03,19
2016-10-04,30
2016-10-06,12
2016-10-08,43
2016-10-09,58
2016-10-10,22
2016-10-12,2
2016-10-13,12
2016-10-14,19
2016-10-15,30
2016-10-16,24
2016-10-17,23
2016-10-18,30
2016-10-19,4
2016-10-20,10
2016-10-21,26
2016-10-22,11
2016-10-23,59
2016-10-24,2
2016-10-25,30
2016-10-26,1
2016-10-27,12
2016-10-28,23
2016-10-29,27
2016-10-30,6
2016-10-31,51
2016-11-01,20
2016-11-03,18
2016-11-04,31
2016-11-05,9
2016-11-06,26
2016-11-07,21
2016-11-08,8
2016-11-10,28
2016-11-11,9
2016-11-12,18
2016-11-13,38
2016-11-14,6
2016-11-15,5
2016-11-16,10
2016-11-17,19
2016-11-18,22
2016-11-19,15
2016-11-20,83
2016-11-21,19
2016-11-22,5
2016-11-23,29
2016-11-24,6
2016-11-25,7
2016-11-26,52
2016-11-27,1
2016-11-28,11
2016-11-29,23
2016-11-30,19
2016-12-01,18
2016-12-02,7
2016-12-03,28
2016-12-04,31
2016-12-05,57
2016-12-06,26
2016-12-07,21
2016-12-08,13
2016-12-09,3
2016-12-10,8
2016-12-11,15
2016-12-12,17
2016-12-13,21
2016-12-14,7
2016-12-15,9
2016-12-16,9
2016-12-17,9
2016-12-18,46
2016-12-19,5
2016-12-20,5
2016-12-21,23
2016-12-22,20
2016-12-23,4
2016-12-24,25
2016-12-25,18
2016-12-26,30
2016-12-27,16
2016-12-28,30
2016-12-29,14
2017-01-06,8
2017-01-07,9
2017-01-08,19
2017-01-09,40
2017-01-10,16
2017-01-11,11
2017-01-12,2
2017-01-13,14
2017-01-14,14
2017-01-15,41
2017-01-17,9
2017-01-18,26
2017-01-19,3
2017-01-20,29
2017-01-21,17
2017-01-22,9
2017-01-23,33
2017-01-24,6
2017-01-25,10
2017-01-26,19
2017-01-27,10
2017-01-28,16
2017-01-29,29
2017-01-30,41
2017-01-31,5
2017-02-01,10
2017-02-02,9
2017-02-03,31
2017-02-04,24
2017-02-05,18
2017-02-06,6
2017-02-08,16
2017-02-09,9
2017-02-10,15
2017-02-11,12
2017-02-12,20
2017-02-13,9
2017-02-14,19
2017-02-15,11
2017-02-16,29
2017-02-18,28
2017-02-21,20
2017-02-22,13
