date,visitors
2016-02-18,3
2016-11-01,2
2016-11-04,63
2016-11-05,112
2016-11-06,61
2016-11-07,10
2016-11-08,30
2016-11-09,22
2016-11-10,37
2016-11-11,66
2016-11-12,133
2016-11-13,110
2016-11-14,22
2016-11-15,32
2016-11-16,34
2016-11-17,64
2016-11-18,67
2016-11-19,103
2016-11-20,89
2016-11-21,26
2016-11-22,51
2016-11-23,51
2016-11-24,19
2016-11-25,69
2016-11-26,175
2016-11-27,99
2016-11-28,17
2016-11-29,40
2016-11-30,38
2016-12-01,21
2016-12-02,59
2016-12-03,141
2016-12-04,62
2016-12-06,28
2016-12-07,39
2016-12-08,44
2016-12-09,94
2016-12-10,109
2016-12-11,56
2016-12-12,28
2016-12-13,16
2016-12-14,47
2016-12-15,58
2016-12-16,96
2016-12-17,144
2016-12-18,121
2016-12-19,27
2016-12-20,43
2016-12-21,67
2016-12-22,86
2016-12-23,89
2016-12-24,109
2016-12-25,35
2016-12-26,46
2016-12-27,66
2016-12-28,110
2016-12-29,182
2016-12-30,205
2016-12-31,89
2017-01-02,82
2017-01-03,127
2017-01-04,109
2017-01-05,41
2017-01-06,46
2017-01-07,98
2017-01-08,108
2017-01-09,59
2017-01-11,6
2017-01-12,21
2017-01-13,79
2017-01-14,104
2017-01-15,73
2017-01-16,8
2017-01-19,12
2017-01-20,78
2017-01-21,137
2017-01-22,97
2017-01-23,32
2017-01-24,43
2017-01-25,35
2017-01-26,34
2017-01-27,64
2017-01-28,109
2017-01-29,78
2017-01-31,20
2017-02-01,34
2017-02-02,33
2017-02-03,82
2017-02-04,127
2017-02-05,57
2017-02-06,34
2017-02-07,23
2017-02-08,33
2017-02-09,40
2017-02-10,60
2017-02-11,113
2017-02-12,36
2017-02-13,30
2017-02-14,28
2017-02-15,38
2017-02-16,38
2017-02-17,66
2017-02-18,115
2017-02-19,74
2017-02-20,40
2017-02-21,46
2017-02-22,50
2017-02-23,34
2017-02-24,85
2017-02-25,124
2017-02-26,58
2017-02-27,10
2017-02-28,13
2017-03-01,61
2017-03-02,21
2017-03-03,48
2017-03-04,120
2017-03-05,56
2017-03-06,25
2017-03-07,74
2017-03-08,32
2017-03-09,52
2017-03-10,110
2017-03-11,130
2017-03-12,48
2017-03-13,30
2017-03-14,58
2017-03-15,56
2017-03-16,46
2017-03-17,117
2017-03-18,121
2017-03-19,129
