date,visitors
2016-01-02,25
2016-01-03,19
2016-01-04,22
2016-01-05,14
2016-01-06,10
2016-01-07,9
2016-01-08,25
2016-01-09,52
2016-01-10,21
2016-01-11,35
2016-01-12,21
2016-01-13,27
2016-01-14,7
2016-01-15,48
2016-01-16,32
2016-01-17,15
2016-01-18,34
2016-01-21,38
2016-01-22,48
2016-01-23,28
2016-01-24,36
2016-01-25,16
2016-01-26,10
2016-01-27,3
2016-01-28,3
2016-01-29,18
2016-01-30,42
2016-01-31,50
2016-02-01,19
2016-02-02,36
2016-02-03,19
2016-02-04,7
2016-02-05,22
2016-02-06,22
2016-02-07,30
2016-02-08,28
2016-02-09,30
2016-02-10,14
2016-02-11,13
2016-02-12,11
2016-02-13,45
2016-02-14,35
2016-02-15,24
2016-02-16,29
2016-02-17,26
2016-02-18,23
2016-02-19,41
2016-02-20,32
2016-02-21,19
2016-02-22,13
2016-02-23,3
2016-02-24,19
2016-02-25,21
2016-02-26,6
2016-02-27,42
2016-02-28,37
2016-02-29,18
2016-03-01,36
2016-03-02,26
2016-03-03,7
2016-03-04,10
2016-03-05,47
2016-03-06,32
2016-03-07,24
2016-03-08,2
2016-03-09,16
2016-03-10,17
2016-03-11,32
2016-03-12,63
2016-03-13,18
2016-03-14,1
2016-03-15,4
2016-03-16,47
2016-03-17,19
2016-03-18,40
2016-03-19,55
2016-03-20,69
2016-03-21,59
2016-03-22,20
2016-03-23,7
2016-03-24,11
2016-03-25,43
2016-03-26,45
2016-03-27,44
2016-03-28,47
2016-03-29,28
2016-03-30,7
2016-03-31,27
2016-04-01,56
2016-04-02,52
2016-04-03,22
2016-04-04,41
2016-04-05,18
2016-04-06,3
2016-04-07,3
2016-04-08,21
2016-04-09,31
2016-04-10,37
2016-04-11,43
2016-04-12,17
2016-04-13,17
2016-04-14,16
2016-04-15,25
2016-04-16,38
2016-04-17,29
2016-04-18,5
2016-04-19,6
2016-04-20,20
2016-04-21,23
2016-04-22,42
2016-04-23,43
2016-04-24,21
2016-04-25,2
2016-04-26,17
2016-04-27,19
2016-04-28,20
2016-04-29,13
2016-04-30,35
2016-05-01,42
2016-05-02,27
2016-05-03,21
2016-05-04,27
2016-05-05,13
2016-05-06,6
2016-05-07,8
2016-05-08,1
2016-05-09,4
2016-05-10,34
2016-05-11,29
2016-05-12,19
2016-05-13,28
2016-05-14,54
2016-05-15,13
2016-05-17,24
2016-05-18,23
2016-05-19,24
2016-05-20,19
2016-05-21,42
2016-05-24,7
2016-05-25,15
2016-05-26,23
2016-05-27,48
2016-05-28,18
2016-05-29,24
2016-05-31,38
2016-06-01,53
2016-06-02,52
2016-06-03,37
2016-06-04,28
2016-06-05,27
2016-06-06,9
2016-06-07,5
2016-06-08,20
2016-06-09,17
2016-06-10,27
2016-06-11,40
2016-06-12,34
2016-06-14,20
2016-06-15,17
2016-06-16,15
2016-06-17,24
2016-06-18,41
2016-06-19,45
2016-06-20,18
2016-06-21,35
2016-06-22,41
2016-06-23,14
2016-06-24,12
2016-06-25,27
2016-06-26,32
2016-06-27,6
2016-06-28,27
2016-06-29,11
2016-06-30,18
2016-07-01,47
2016-07-02,58
2016-07-03,29
2016-07-04,5
2016-07-05,23
2016-07-06,17
2016-07-07,16
2016-07-08,15
2016-07-09,39
2016-07-10,43
2016-07-11,18
2016-07-12,27
2016-07-13,7
2016-07-14,30
2016-07-15,24
2016-07-16,38
2016-07-17,8
2016-07-19,17
2016-07-20,17
2016-07-21,51
2016-07-22,22
2016-07-23,14
2016-07-24,23
2016-07-25,6
2016-07-26,11
2016-07-27,15
2016-07-28,5
2016-07-29,16
2016-07-30,38
2016-07-31,28
2016-08-01,40
2016-08-02,17
2016-08-03,7
2016-08-04,8
2016-08-05,20
2016-08-06,28
2016-08-07,18
2016-08-08,4
2016-08-09,14
2016-08-10,36
2016-08-11,50
2016-08-12,20
2016-08-13,23
2016-08-14,27
2016-08-15,33
2016-08-16,38
2016-08-17,37
2016-08-18,3
2016-08-19,15
2016-08-20,28
2016-08-21,35
2016-08-23,17
2016-08-24,3
2016-08-25,46
2016-08-26,22
2016-08-27,28
2016-08-28,32
2016-08-29,12
2016-08-30,18
2016-08-31,43
2016-09-01,77
2016-09-02,31
2016-09-03,4
2016-09-04,15
2016-09-05,5
2016-09-07,13
2016-09-08,23
2016-09-09,27
2016-09-10,16
2016-09-11,8
2016-09-12,54
2016-09-13,39
2016-09-14,13
2016-09-15,15
2016-09-16,22
2016-09-17,37
2016-09-18,35
2016-09-19,8
2016-09-20,17
2016-09-21,48
2016-09-22,13
2016-09-23,9
2016-09-24,26
2016-09-25,1
