date,visitors
2016-11-25,20
2016-11-26,49
2016-11-27,13
2016-11-28,20
2016-11-29,10
2016-11-30,11
2016-12-01,30
2016-12-02,27
2016-12-03,28
2016-12-04,12
2016-12-05,17
2016-12-06,5
2016-12-07,12
2016-12-08,2
2016-12-09,27
2016-12-10,40
2016-12-11,25
2016-12-12,29
2016-12-13,6
2016-12-14,12
2016-12-15,8
2016-12-16,30
2016-12-17,43
2016-12-18,24
2016-12-19,13
2016-12-20,5
2016-12-21,14
2016-12-22,26
2016-12-23,43
2016-12-24,17
2016-12-25,26
2016-12-26,29
2016-12-27,23
2016-12-28,42
2016-12-29,33
2016-12-30,28
2016-12-31,40
2017-01-01,26
2017-01-02,34
2017-01-03,34
2017-01-04,25
2017-01-05,22
2017-01-06,17
2017-01-07,30
2017-01-08,31
2017-01-09,10
2017-01-10,19
2017-01-11,10
2017-01-12,29
2017-01-13,18
2017-01-14,24
2017-01-15,7
2017-01-16,9
2017-01-17,10
2017-01-18,24
2017-01-19,5
2017-01-20,13
2017-01-21,35
2017-01-22,23
2017-01-23,15
2017-01-24,1
2017-01-25,4
2017-01-26,18
2017-01-27,29
2017-01-28,32
2017-01-29,33
2017-01-30,16
2017-01-31,16
2017-02-01,7
2017-02-02,10
2017-02-03,19
2017-02-04,24
2017-02-05,29
2017-02-06,9
2017-02-07,4
2017-02-08,12
2017-02-09,6
2017-02-10,11
2017-02-11,36
2017-02-12,25
2017-02-13,23
2017-02-14,13
2017-02-15,11
2017-02-16,14
2017-02-17,36
2017-02-18,2
2017-02-19,55
2017-02-20,14
2017-02-21,10
2017-02-22,11
2017-02-23,11
2017-02-24,21
2017-02-25,21
2017-02-26,30
2017-02-27,19
2017-02-28,6
2017-03-01,10
2017-03-02,18
2017-03-03,12
2017-03-04,35
2017-03-05,21
2017-03-06,30
2017-03-07,4
2017-03-08,17
2017-03-09,9
2017-03-10,12
2017-03-11,24
2017-03-12,34
2017-03-13,19
2017-03-14,20
2017-03-15,21
2017-03-16,12
2017-03-17,19
2017-03-18,35
2017-03-19,24
2017-03-20,36
2017-03-21,8
2017-03-22,13
2017-03-23,35
