date,visitors
2016-07-01,41
2016-07-02,46
2016-07-03,40
2016-07-04,8
2016-07-05,12
2016-07-06,27
2016-07-07,17
2016-07-08,32
2016-07-09,38
2016-07-10,48
2016-07-11,16
2016-07-12,14
2016-07-13,19
2016-07-14,13
2016-07-15,20
2016-07-16,37
2016-07-17,42
2016-07-18,45
2016-07-19,14
2016-07-20,28
2016-07-21,9
2016-07-22,27
2016-07-23,32
2016-07-24,26
2016-07-25,37
2016-07-26,22
2016-07-27,30
2016-07-28,40
2016-07-29,20
2016-07-30,17
2016-07-31,53
2016-08-01,22
2016-08-02,10
2016-08-03,27
2016-08-04,25
2016-08-05,20
2016-08-06,47
2016-08-07,36
2016-08-08,26
2016-08-09,19
2016-08-10,31
2016-08-11,37
2016-08-12,32
2016-08-13,31
2016-08-14,69
2016-08-15,42
2016-08-16,8
2016-08-17,39
2016-08-18,27
2016-08-19,36
2016-08-20,30
2016-08-21,46
2016-08-23,28
2016-08-24,15
2016-08-25,21
2016-08-26,29
2016-08-27,17
2016-08-28,40
2016-08-29,16
2016-08-30,23
2016-08-31,19
2016-09-01,10
2016-09-02,18
2016-09-03,17
2016-09-04,42
2016-09-05,17
2016-09-06,39
2016-09-07,20
2016-09-08,11
2016-09-09,21
2016-09-10,28
2016-09-11,58
2016-09-12,20
2016-09-13,17
2016-09-14,24
2016-09-15,19
2016-09-16,24
2016-09-17,47
2016-09-18,44
2016-09-19,50
2016-09-20,13
2016-09-21,17
2016-09-22,31
2016-09-23,11
2016-09-24,54
2016-09-25,43
2016-09-26,21
2016-09-27,19
2016-09-28,29
2016-09-29,32
2016-09-30,23
2016-10-01,46
2016-10-02,37
2016-10-03,27
2016-10-04,27
2016-10-05,19
2016-10-06,17
2016-10-07,17
2016-10-08,29
2016-10-09,30
2016-10-10,50
2016-10-11,16
2016-10-12,22
2016-10-13,10
2016-10-14,16
2016-10-15,39
2016-10-16,45
2016-10-17,25
2016-10-18,23
2016-10-19,19
2016-10-20,14
2016-10-21,20
2016-10-22,47
2016-10-23,41
2016-10-24,26
2016-10-25,27
2016-10-26,33
2016-10-27,28
2016-10-28,17
2016-10-29,33
2016-10-30,65
2016-10-31,20
2016-11-01,36
2016-11-02,17
2016-11-03,42
2016-11-04,21
2016-11-05,45
2016-11-06,43
2016-11-07,16
2016-11-08,29
2016-11-09,27
2016-11-10,18
2016-11-11,19
2016-11-12,77
2016-11-13,44
2016-11-14,12
2016-11-15,20
2016-11-16,28
2016-11-17,21
2016-11-18,16
2016-11-19,41
2016-11-20,88
2016-11-21,29
2016-11-22,16
2016-11-23,53
2016-11-25,13
2016-11-26,50
2016-11-27,54
2016-11-28,40
2016-11-29,50
2016-11-30,64
2016-12-01,22
2016-12-02,17
2016-12-03,39
2016-12-04,50
2016-12-05,21
2016-12-06,9
2016-12-07,30
2016-12-08,25
2016-12-09,13
2016-12-10,21
2016-12-11,77
2016-12-12,21
2016-12-13,20
2016-12-14,27
2016-12-15,15
2016-12-16,8
2016-12-17,65
2016-12-18,40
2016-12-19,29
2016-12-20,16
2016-12-21,19
2016-12-22,13
2016-12-23,30
2016-12-24,49
2016-12-25,42
2016-12-26,28
2016-12-27,40
2016-12-28,44
2016-12-29,16
2016-12-30,7
2016-12-31,84
2017-01-04,40
2017-01-05,22
2017-01-06,15
2017-01-07,42
2017-01-08,44
2017-01-09,29
2017-01-10,33
2017-01-11,20
2017-01-12,21
2017-01-13,10
2017-01-14,35
2017-01-15,82
2017-01-16,13
2017-01-17,24
2017-01-18,20
2017-01-19,16
2017-01-20,15
2017-01-21,18
2017-01-22,40
2017-01-23,23
2017-01-24,20
2017-01-25,28
2017-01-26,28
2017-01-27,19
2017-01-28,62
2017-01-29,34
2017-01-30,32
2017-01-31,16
2017-02-01,31
2017-02-02,19
2017-02-03,8
2017-02-04,49
2017-02-05,63
2017-02-06,34
2017-02-07,16
2017-02-08,11
2017-02-09,21
2017-02-10,7
2017-02-11,35
2017-02-12,42
2017-02-13,31
2017-02-14,13
2017-02-15,38
2017-02-16,16
2017-02-17,19
2017-02-18,26
2017-02-19,39
2017-02-20,22
2017-02-21,23
2017-02-22,21
