date,visitors
2016-07-01,15
2016-07-02,14
2016-07-03,17
2016-07-04,15
2016-07-05,11
2016-07-07,16
2016-07-08,17
2016-07-09,24
2016-07-10,24
2016-07-11,12
2016-07-12,13
2016-07-14,13
2016-07-15,21
2016-07-16,17
2016-07-17,15
2016-07-18,12
2016-07-19,10
2016-07-20,1
2016-07-21,14
2016-07-22,12
2016-07-23,17
2016-07-24,20
2016-07-25,18
2016-07-28,15
2016-07-29,13
2016-07-30,15
2016-07-31,11
2016-08-01,11
2016-08-02,13
2016-08-04,16
2016-08-05,11
2016-08-06,17
2016-08-07,15
2016-08-08,12
2016-08-09,13
2016-08-11,18
2016-08-12,9
2016-08-13,11
2016-08-14,10
2016-08-15,9
2016-08-20,10
2016-08-21,19
2016-08-22,5
2016-08-23,12
2016-08-25,15
2016-08-26,13
2016-08-27,18
2016-08-28,19
2016-08-29,13
2016-08-30,9
2016-09-01,14
2016-09-02,9
2016-09-03,13
2016-09-04,20
2016-09-05,23
2016-09-06,10
2016-09-08,8
2016-09-09,9
2016-09-10,22
2016-09-11,16
2016-09-12,11
2016-09-13,10
2016-09-15,12
2016-09-16,8
2016-09-17,16
2016-09-18,6
2016-09-19,18
2016-09-22,8
2016-09-23,18
2016-09-24,14
2016-09-25,17
2016-09-26,16
2016-09-27,8
2016-09-29,13
2016-09-30,16
2016-10-01,16
2016-10-02,14
2016-10-03,16
2016-10-04,8
2016-10-06,9
2016-10-07,5
2016-10-08,10
2016-10-09,5
2016-10-10,13
2016-10-11,6
2016-10-13,11
2016-10-14,14
2016-10-15,18
2016-10-16,23
2016-10-17,11
2016-10-18,14
2016-10-20,15
2016-10-21,18
2016-10-22,25
2016-10-23,15
2016-10-24,17
2016-10-25,12
2016-10-27,17
2016-10-28,17
2016-10-29,15
2016-10-30,20
2016-10-31,14
2016-11-01,12
2016-11-03,18
2016-11-04,13
2016-11-05,26
2016-11-06,18
2016-11-07,10
2016-11-10,18
2016-11-11,14
2016-11-12,16
2016-11-13,13
2016-11-14,15
2016-11-15,20
2016-11-17,17
2016-11-18,15
2016-11-19,18
2016-11-20,18
2016-11-21,14
2016-11-22,16
2016-11-24,17
2016-11-25,11
2016-11-26,21
2016-11-27,12
2016-11-28,15
2016-11-29,17
2016-12-01,15
2016-12-02,17
2016-12-03,20
2016-12-04,17
2016-12-05,20
2016-12-06,18
2016-12-08,9
2016-12-09,11
2016-12-10,21
2016-12-11,20
2016-12-12,13
2016-12-13,15
2016-12-14,2
2016-12-15,15
2016-12-16,16
2016-12-17,11
2016-12-19,17
2016-12-20,20
2016-12-22,18
2016-12-23,10
2016-12-24,19
2016-12-25,16
2016-12-26,24
2016-12-27,8
2016-12-29,22
2016-12-31,5
2017-01-05,12
2017-01-06,9
2017-01-07,18
2017-01-08,13
2017-01-09,17
2017-01-10,9
2017-01-15,18
2017-01-16,12
2017-01-17,11
2017-01-19,9
2017-01-20,15
2017-01-21,20
2017-01-22,16
2017-01-23,11
2017-01-24,14
2017-01-26,21
2017-01-27,13
2017-01-28,15
2017-01-29,25
2017-01-30,17
2017-01-31,13
2017-02-02,16
2017-02-03,17
2017-02-04,17
2017-02-05,16
2017-02-06,11
2017-02-07,15
2017-02-09,10
2017-02-10,18
2017-02-11,21
2017-02-12,20
2017-02-13,15
2017-02-16,21
2017-02-17,11
2017-02-18,13
2017-02-19,19
2017-02-20,12
2017-02-21,7
