date,visitors
2016-01-04,29
2016-01-05,14
2016-01-06,18
2016-01-07,34
2016-01-08,39
2016-01-09,29
2016-01-10,29
2016-01-12,21
2016-01-13,29
2016-01-14,16
2016-01-15,14
2016-01-16,47
2016-01-18,27
2016-01-19,23
2016-01-20,21
2016-01-21,34
2016-01-22,43
2016-01-23,39
2016-01-25,18
2016-01-26,17
2016-01-27,23
2016-01-28,18
2016-01-29,32
2016-01-30,27
2016-02-01,32
2016-02-02,9
2016-02-03,36
2016-02-04,18
2016-02-05,37
2016-02-06,49
2016-02-08,25
2016-02-09,25
2016-02-10,28
2016-02-11,25
2016-02-12,34
2016-02-13,32
2016-02-15,13
2016-02-16,25
2016-02-17,37
2016-02-18,32
2016-02-19,46
2016-02-20,43
2016-02-22,10
2016-02-23,31
2016-02-24,27
2016-02-25,33
2016-02-26,39
2016-02-27,38
2016-02-29,2
2016-03-01,35
2016-03-02,28
2016-03-03,18
2016-03-04,38
2016-03-05,39
2016-03-07,18
2016-03-08,22
2016-03-09,29
2016-03-10,27
2016-03-11,42
2016-03-12,37
2016-03-14,24
2016-03-15,18
2016-03-16,21
2016-03-17,36
2016-03-18,36
2016-03-19,43
2016-03-20,32
2016-03-22,31
2016-03-23,34
2016-03-24,36
2016-03-25,37
2016-03-26,31
2016-03-28,32
2016-03-29,35
2016-03-30,32
2016-03-31,36
2016-04-01,22
2016-04-02,44
2016-04-04,5
2016-04-05,15
2016-04-06,16
2016-04-07,20
2016-04-08,37
2016-04-09,28
2016-04-11,3
2016-04-12,29
2016-04-13,31
2016-04-14,35
2016-04-15,28
2016-04-16,31
2016-04-18,22
2016-04-19,19
2016-04-20,32
2016-04-21,13
2016-04-22,36
2016-04-23,32
2016-04-25,32
2016-04-26,25
2016-04-27,22
2016-04-28,35
2016-04-29,31
2016-04-30,25
2016-05-01,14
2016-05-02,36
2016-05-03,26
2016-05-04,24
2016-05-05,23
2016-05-06,36
2016-05-07,22
2016-05-09,15
2016-05-10,23
2016-05-11,25
2016-05-12,30
2016-05-13,34
2016-05-14,29
2016-05-17,17
2016-05-18,3
2016-05-19,56
2016-05-20,32
2016-05-21,31
2016-05-23,14
2016-05-24,26
2016-05-25,27
2016-05-26,20
2016-05-27,44
2016-05-28,34
2016-05-30,27
2016-05-31,28
2016-06-01,24
2016-06-02,26
2016-06-03,34
2016-06-04,34
2016-06-06,14
2016-06-08,70
2016-06-09,28
2016-06-10,42
2016-06-11,35
2016-06-13,32
2016-06-14,25
2016-06-15,29
2016-06-16,12
2016-06-17,38
2016-06-18,35
2016-06-20,20
2016-06-21,21
2016-06-22,28
