date,visitors
2016-07-01,21
2016-07-02,19
2016-07-04,8
2016-07-05,11
2016-07-06,16
2016-07-07,2
2016-07-08,24
2016-07-09,24
2016-07-11,16
2016-07-12,12
2016-07-13,17
2016-07-14,18
2016-07-15,20
2016-07-16,29
2016-07-17,17
2016-07-19,18
2016-07-20,17
2016-07-21,4
2016-07-22,21
2016-07-23,17
2016-07-25,7
2016-07-26,11
2016-07-27,14
2016-07-28,22
2016-07-29,20
2016-07-30,14
2016-08-02,10
2016-08-03,13
2016-08-04,8
2016-08-05,19
2016-08-06,12
2016-08-09,12
2016-08-10,19
2016-08-11,8
2016-08-12,8
2016-08-13,2
2016-08-15,12
2016-08-16,19
2016-08-17,8
2016-08-18,7
2016-08-19,6
2016-08-20,14
2016-08-23,9
2016-08-24,13
2016-08-25,10
2016-08-26,19
2016-08-27,17
2016-08-29,5
2016-08-30,12
2016-08-31,10
2016-09-01,2
2016-09-02,10
2016-09-03,4
2016-09-05,4
2016-09-06,19
2016-09-07,9
2016-09-09,13
2016-09-10,9
2016-09-12,2
2016-09-13,8
2016-09-14,11
2016-09-15,9
2016-09-16,18
2016-09-17,8
2016-09-18,10
2016-09-21,18
2016-09-23,8
2016-09-24,4
2016-09-26,22
2016-09-27,10
2016-09-28,7
2016-09-29,8
2016-09-30,19
2016-10-03,6
2016-10-04,4
2016-10-05,9
2016-10-06,4
2016-10-07,14
2016-10-08,4
2016-10-09,7
2016-10-11,2
2016-10-13,6
2016-10-14,12
2016-10-15,15
2016-10-17,11
2016-10-18,11
2016-10-19,6
2016-10-20,4
2016-10-21,18
2016-10-22,11
2016-10-24,15
2016-10-25,10
2016-10-26,15
2016-10-28,18
2016-10-31,3
2016-11-01,10
2016-11-02,17
2016-11-03,6
2016-11-04,10
2016-11-05,4
2016-11-07,11
2016-11-08,4
2016-11-09,12
2016-11-10,15
2016-11-11,19
2016-11-12,8
2016-11-15,2
2016-11-16,9
2016-11-17,4
2016-11-18,22
2016-11-19,17
2016-11-21,15
2016-11-22,21
2016-11-23,4
2016-11-24,5
2016-11-25,20
2016-11-26,22
2016-11-28,8
2016-11-29,11
2016-11-30,12
2016-12-01,4
2016-12-02,19
2016-12-03,15
2016-12-05,6
2016-12-06,14
2016-12-07,20
2016-12-08,20
2016-12-09,19
2016-12-10,20
2016-12-12,16
2016-12-13,10
2016-12-14,16
2016-12-15,21
2016-12-16,21
2016-12-17,19
2016-12-19,15
2016-12-20,23
2016-12-21,20
2016-12-22,27
2016-12-23,14
2016-12-24,30
2016-12-25,17
2016-12-26,19
2016-12-27,24
2016-12-28,18
2016-12-29,20
2016-12-30,5
2017-01-05,2
2017-01-06,3
2017-01-07,4
2017-01-08,12
2017-01-10,3
2017-01-11,4
2017-01-12,6
2017-01-13,12
2017-01-14,2
2017-01-16,4
2017-01-17,4
2017-01-18,5
2017-01-19,20
2017-01-20,12
2017-01-21,19
2017-01-23,2
2017-01-24,4
2017-01-25,4
2017-01-26,18
2017-01-27,19
2017-01-28,9
2017-01-30,6
2017-01-31,9
2017-02-01,2
2017-02-03,19
2017-02-04,2
2017-02-06,6
2017-02-07,2
2017-02-08,15
2017-02-09,7
2017-02-10,16
2017-02-11,21
2017-02-13,10
2017-02-14,15
2017-02-15,19
2017-02-16,6
2017-02-17,17
2017-02-18,12
2017-02-20,10
2017-02-21,11
2017-02-22,9
2017-02-23,6
2017-02-24,25
2017-02-25,17
