date,visitors
2016-07-01,38
2016-07-02,26
2016-07-03,4
2016-07-04,27
2016-07-05,27
2016-07-06,32
2016-07-07,19
2016-07-08,27
2016-07-09,18
2016-07-10,17
2016-07-11,29
2016-07-12,22
2016-07-13,24
2016-07-14,29
2016-07-15,31
2016-07-16,13
2016-07-17,17
2016-07-18,19
2016-07-19,22
2016-07-20,37
2016-07-21,24
2016-07-22,26
2016-07-23,18
2016-07-24,13
2016-07-25,29
2016-07-26,22
2016-07-27,15
2016-07-28,13
2016-07-29,16
2016-07-30,19
2016-07-31,13
2016-08-01,15
2016-08-02,18
2016-08-03,20
2016-08-04,19
2016-08-05,1
2016-08-06,12
2016-08-07,11
2016-08-08,20
2016-08-09,23
2016-08-10,26
2016-08-11,12
2016-08-12,24
2016-08-13,10
2016-08-14,9
2016-08-15,14
2016-08-16,15
2016-08-17,25
2016-08-18,13
2016-08-19,25
2016-08-20,14
2016-08-21,14
2016-08-22,18
2016-08-23,24
2016-08-24,23
2016-08-25,17
2016-08-26,31
2016-08-27,9
2016-08-28,8
2016-08-29,15
2016-08-30,18
2016-08-31,19
2016-09-01,13
2016-09-02,26
2016-09-03,12
2016-09-04,9
2016-09-05,20
2016-09-06,14
2016-09-07,22
2016-09-08,14
2016-09-09,33
2016-09-10,14
2016-09-11,9
2016-09-12,25
2016-09-13,15
2016-09-14,23
2016-09-15,27
2016-09-16,18
2016-09-17,14
2016-09-18,12
2016-09-19,16
2016-09-20,13
2016-09-21,25
2016-09-22,18
2016-09-23,30
2016-09-24,17
2016-09-25,22
2016-09-26,34
2016-09-27,22
2016-09-28,24
2016-09-29,23
2016-12-14,372
2017-03-17,27
2017-03-18,20
2017-03-19,14
2017-03-20,15
2017-03-21,18
2017-03-23,16
