date,visitors
2016-01-01,1
2016-01-04,6
2016-01-05,6
2016-01-06,4
2016-01-07,5
2016-01-08,9
2016-01-09,4
2016-01-12,7
2016-01-13,12
2016-01-14,6
2016-01-15,9
2016-01-16,15
2016-01-18,7
2016-01-19,1
2016-01-20,4
2016-01-21,8
2016-01-22,3
2016-01-23,10
2016-01-25,8
2016-01-26,4
2016-01-27,3
2016-01-28,4
2016-01-29,3
2016-01-30,12
2016-02-01,4
2016-02-02,8
2016-02-03,3
2016-02-04,8
2016-02-05,10
2016-02-06,3
2016-02-08,9
2016-02-09,9
2016-02-10,5
2016-02-12,15
2016-02-13,7
2016-02-15,4
2016-02-16,11
2016-02-17,3
2016-02-18,7
2016-02-19,6
2016-02-20,7
2016-02-22,7
2016-02-23,6
2016-02-24,10
2016-02-25,4
2016-02-26,6
2016-02-27,13
2016-02-29,4
2016-03-01,12
2016-03-02,7
2016-03-03,3
2016-03-04,5
2016-03-05,6
2016-03-07,5
2016-03-08,7
2016-03-09,7
2016-03-10,8
2016-03-11,6
2016-03-12,8
2016-03-14,4
2016-03-15,9
2016-03-16,8
2016-03-17,9
2016-03-18,5
2016-03-19,9
2016-03-22,8
2016-03-23,3
2016-03-24,11
2016-03-25,10
2016-03-26,9
2016-03-28,10
2016-03-29,8
2016-03-30,6
2016-03-31,5
2016-04-01,10
2016-04-02,4
2016-04-03,2
2016-04-04,3
2016-04-05,9
2016-04-06,3
2016-04-07,3
2016-04-08,14
2016-04-09,11
2016-04-11,7
2016-04-12,5
2016-04-13,3
2016-04-14,7
2016-04-15,12
2016-04-16,11
2016-04-17,2
2016-04-18,5
2016-04-19,12
2016-04-20,6
2016-04-21,5
2016-04-22,10
2016-04-23,8
2016-04-24,2
2016-04-25,1
2016-04-26,6
2016-04-27,7
2016-04-28,7
2016-04-29,2
2016-04-30,8
2016-05-02,7
2016-05-03,4
2016-05-04,12
2016-05-05,5
2016-05-06,7
2016-05-07,6
2016-05-09,9
2016-05-10,10
2016-05-11,6
2016-05-12,12
2016-05-13,3
2016-05-14,11
2016-05-15,4
2016-05-16,6
2016-05-17,2
2016-05-18,11
2016-05-19,5
2016-05-21,6
2016-05-23,8
2016-05-24,6
2016-05-25,4
2016-05-26,2
2016-05-27,11
2016-05-28,7
2016-05-30,6
2016-05-31,14
2016-06-01,5
2016-06-02,11
2016-06-03,10
2016-06-04,10
2016-06-06,4
2016-06-07,5
2016-06-08,7
2016-06-09,12
2016-06-10,8
2016-06-11,11
2016-06-13,2
2016-06-14,8
2016-06-15,7
2016-06-16,4
2016-06-17,4
2016-06-18,9
2016-06-20,7
2016-06-21,7
2016-06-22,7
2016-06-23,8
2016-06-24,11
2016-06-25,6
2016-06-27,2
2016-06-28,6
2016-06-29,4
2016-06-30,8
2016-07-01,11
2016-07-02,8
2016-07-04,7
2016-07-05,4
2016-07-06,13
2016-07-07,8
2016-07-08,2
2016-07-09,13
2016-07-11,5
2016-07-12,9
2016-07-13,4
2016-07-14,8
2016-07-15,9
2016-07-16,5
2016-07-19,6
2016-07-20,9
2016-07-21,8
2016-07-22,6
2016-07-23,8
2016-07-25,10
2016-07-26,5
2016-07-27,8
2016-07-28,13
2016-07-29,3
2016-07-30,6
2016-08-01,10
2016-08-02,8
2016-08-03,7
2016-08-04,6
2016-08-05,9
2016-08-06,6
2016-08-08,12
2016-08-09,3
2016-08-10,4
2016-08-11,5
2016-08-12,5
2016-08-13,10
2016-08-16,6
2016-08-17,2
2016-08-18,7
2016-08-19,7
2016-08-20,5
2016-08-21,2
2016-08-22,3
2016-08-23,6
2016-08-24,7
2016-08-25,2
2016-08-26,4
2016-08-27,3
2016-08-29,3
2016-08-30,5
2016-08-31,7
2016-09-01,6
2016-09-02,9
2016-09-03,5
2016-09-05,6
2016-09-06,9
2016-09-07,2
2016-09-08,11
2016-09-09,7
2016-09-10,8
2016-09-11,1
2016-09-12,6
2016-09-13,11
2016-09-14,2
2016-09-15,3
2016-09-16,6
2016-09-17,2
2016-09-20,5
2016-09-21,4
2016-09-22,4
2016-09-23,6
2016-09-24,9
2016-09-26,3
2016-09-29,2
2016-09-30,7
2016-10-01,4
2016-10-03,6
2016-10-04,5
2016-10-05,6
2016-10-06,11
2016-10-07,4
2016-10-08,7
2016-10-11,6
2016-10-12,5
2016-10-14,11
2016-10-15,3
2016-10-17,5
2016-10-18,10
2016-10-19,10
2016-10-20,6
2016-10-21,4
2016-10-22,12
2016-10-24,3
2016-10-25,7
2016-10-26,7
2016-10-27,3
2016-10-28,10
2016-10-29,6
2016-10-31,1
2016-11-01,8
2016-11-02,5
2016-11-04,9
2016-11-05,11
2016-11-07,6
2016-11-08,5
2016-11-09,6
2016-11-10,4
2016-11-11,13
2016-11-12,6
2016-11-14,4
2016-11-15,9
2016-11-16,6
2016-11-17,9
2016-11-18,5
2016-11-19,5
2016-11-20,1
2016-11-21,7
2016-11-22,8
2016-11-24,6
2016-11-25,7
2016-11-26,4
2016-11-28,9
2016-11-29,11
2016-11-30,1
2016-12-01,10
2016-12-02,8
2016-12-03,4
2016-12-05,5
2016-12-06,8
2016-12-07,4
2016-12-08,4
2016-12-09,3
2016-12-10,4
2016-12-12,3
2016-12-13,2
2016-12-14,5
2016-12-15,4
2016-12-16,8
2016-12-17,8
2016-12-18,2
2016-12-19,5
2016-12-20,4
2016-12-21,2
2016-12-22,6
2016-12-23,3
2016-12-24,7
2016-12-25,2
2016-12-26,11
2016-12-27,4
2016-12-28,12
2016-12-29,5
2016-12-30,6
2017-01-03,3
2017-01-04,8
2017-01-05,6
2017-01-06,8
2017-01-07,6
2017-01-10,5
2017-01-11,1
2017-01-12,3
2017-01-13,6
2017-01-14,6
2017-01-16,3
2017-01-17,5
2017-01-18,2
2017-01-19,5
2017-01-20,2
