date,visitors
2016-07-01,11
2016-07-02,2
2016-07-04,3
2016-07-05,4
2016-07-06,3
2016-07-08,15
2016-07-09,6
2016-07-11,9
2016-07-12,15
2016-07-13,5
2016-07-14,5
2016-07-15,15
2016-07-20,2
2016-07-21,15
2016-07-22,8
2016-07-25,4
2016-07-26,9
2016-07-27,6
2016-07-28,8
2016-07-29,6
2016-07-30,10
2016-08-01,5
2016-08-04,4
2016-08-05,9
2016-08-06,3
2016-08-08,7
2016-08-09,9
2016-08-10,11
2016-08-17,9
2016-08-18,6
2016-08-19,12
2016-08-20,4
2016-08-22,2
2016-08-23,11
2016-08-24,3
2016-08-25,2
2016-08-26,8
2016-08-27,10
2016-08-28,4
2016-08-29,9
2016-08-30,3
2016-08-31,4
2016-09-01,2
2016-09-02,15
2016-09-05,2
2016-09-06,2
2016-09-08,9
2016-09-09,18
2016-09-12,2
2016-09-13,6
2016-09-14,3
2016-09-15,3
2016-09-16,2
2016-09-21,4
2016-09-22,1
2016-09-24,4
2016-09-27,3
2016-09-29,6
2016-09-30,13
2016-10-04,2
2016-10-05,5
2016-10-07,5
2016-10-08,14
2016-10-13,9
2016-10-14,7
2016-10-17,18
2016-10-18,6
2016-10-19,8
2016-10-20,7
2016-10-21,3
2016-10-22,3
2016-10-24,4
2016-10-25,3
2016-10-26,2
2016-10-27,2
2016-10-28,6
2016-10-29,3
2016-10-31,5
2016-11-01,12
2016-11-02,6
2016-11-03,13
2016-11-04,4
2016-11-09,7
2016-11-10,7
2016-11-11,5
2016-11-15,8
2016-11-17,21
2016-11-18,10
2016-11-19,15
2016-11-21,5
2016-11-22,7
2016-11-23,3
2016-11-25,4
2016-11-26,7
2016-11-29,6
2016-11-30,8
2016-12-01,12
2016-12-02,4
2016-12-03,6
2016-12-05,3
2016-12-06,13
2016-12-08,5
2016-12-09,9
2016-12-12,10
2016-12-13,5
2016-12-14,9
2016-12-15,16
2016-12-16,3
2016-12-17,6
2016-12-19,14
2016-12-20,7
2016-12-21,11
2016-12-22,22
2016-12-26,8
2016-12-27,17
2016-12-28,11
2017-01-10,7
2017-01-12,11
2017-01-13,13
2017-01-14,5
2017-01-16,8
2017-01-17,9
2017-01-18,12
2017-01-19,18
2017-01-20,6
2017-01-21,12
2017-01-23,3
2017-01-24,20
2017-01-25,6
2017-01-26,16
2017-01-27,4
2017-01-30,13
2017-01-31,14
2017-02-02,3
2017-02-03,2
2017-02-04,8
2017-02-06,7
2017-02-07,5
2017-02-09,14
2017-02-10,10
2017-02-11,2
2017-02-13,1
2017-02-14,9
2017-02-15,7
2017-02-16,5
2017-02-17,14
2017-02-18,6
2017-02-20,4
2017-02-21,2
2017-02-22,14
2017-02-23,12
2017-02-24,10
2017-02-28,7
2017-03-01,9
2017-03-02,16
