date,visitors
2016-01-05,11
2016-01-06,5
2016-01-07,10
2016-01-08,7
2016-01-09,3
2016-01-12,5
2016-01-13,6
2016-01-14,6
2016-01-15,5
2016-01-19,6
2016-01-20,3
2016-01-21,13
2016-01-22,10
2016-01-23,2
2016-01-26,4
2016-01-27,12
2016-01-28,7
2016-01-29,13
2016-01-30,2
2016-01-31,1
2016-02-02,7
2016-02-03,10
2016-02-04,9
2016-02-05,13
2016-02-06,2
2016-02-07,2
2016-02-09,6
2016-02-10,9
2016-02-11,2
2016-02-12,6
2016-02-13,1
2016-02-14,2
2016-02-16,6
2016-02-17,7
2016-02-18,8
2016-02-19,5
2016-02-20,1
2016-02-21,1
2016-02-23,9
2016-02-24,11
2016-02-25,13
2016-02-26,11
2016-02-27,4
2016-03-01,7
2016-03-02,14
2016-03-03,9
2016-03-04,17
2016-03-05,2
2016-03-08,6
2016-03-09,12
2016-03-10,5
2016-03-11,20
2016-03-13,1
2016-03-15,16
2016-03-16,9
2016-03-17,11
2016-03-18,19
2016-03-19,3
2016-03-20,4
2016-03-22,6
2016-03-23,11
2016-03-24,14
2016-03-25,11
2016-03-26,3
2016-03-29,12
2016-03-30,8
2016-03-31,7
2016-04-01,7
2016-04-03,1
2016-04-05,17
2016-04-06,7
2016-04-07,9
2016-04-08,12
2016-04-09,2
2016-04-10,1
2016-04-12,13
2016-04-13,17
2016-04-14,16
2016-04-15,12
2016-04-17,1
2016-04-19,13
2016-04-20,11
2016-04-21,11
2016-04-22,10
2016-04-23,8
2016-04-26,11
2016-04-27,5
2016-04-28,16
2016-04-30,3
2016-05-06,4
2016-05-07,2
2016-05-08,2
2016-05-10,15
2016-05-11,17
2016-05-12,13
2016-05-13,15
2016-05-14,3
2016-05-15,6
2016-05-17,8
2016-05-18,13
2016-05-19,7
2016-05-20,6
2016-05-24,14
2016-05-25,17
2016-05-26,11
2016-05-27,11
2016-05-28,4
2016-05-29,2
2016-05-31,15
2016-06-01,12
2016-06-02,13
2016-06-03,11
2016-06-04,4
2016-06-05,1
2016-06-07,17
2016-06-08,21
2016-06-09,9
2016-06-10,9
2016-06-12,4
2016-06-14,15
2016-06-15,15
2016-06-16,15
2016-06-17,14
2016-06-18,1
2016-06-19,3
2016-06-21,14
2016-06-22,12
2016-06-23,10
2016-06-24,22
2016-06-25,4
2016-06-28,11
2016-06-29,13
2016-06-30,15
2016-07-01,17
2016-07-03,1
2016-07-05,13
2016-07-06,11
2016-07-07,11
2016-07-08,22
2016-07-09,2
2016-07-10,2
2016-07-12,15
2016-07-13,11
2016-07-14,10
2016-07-15,18
2016-07-16,2
2016-07-17,1
2016-07-19,13
2016-07-20,15
2016-07-21,14
2016-07-22,12
2016-07-23,4
2016-07-26,13
2016-07-27,12
2016-07-28,22
2016-07-29,12
2016-08-02,10
2016-08-03,17
2016-08-04,15
2016-08-05,23
2016-08-06,1
2016-08-09,10
2016-08-10,16
2016-08-12,6
2016-08-13,3
2016-08-14,1
2016-08-16,12
2016-08-17,12
2016-08-18,9
2016-08-19,16
2016-08-21,4
2016-08-23,13
2016-08-24,11
2016-08-25,13
2016-08-26,13
2016-08-27,2
2016-08-30,8
2016-08-31,20
2016-09-01,16
2016-09-02,16
2016-09-03,2
2016-09-04,1
2016-09-06,14
2016-09-07,15
2016-09-08,12
2016-09-09,19
2016-09-10,8
2016-09-11,1
2016-09-13,9
2016-09-14,21
2016-09-15,15
2016-09-16,13
2016-09-17,2
2016-09-20,13
2016-09-21,15
2016-09-23,20
2016-09-24,3
2016-09-27,15
2016-09-28,22
2016-09-29,13
2016-09-30,16
2016-10-01,1
2016-10-02,3
2016-10-04,12
2016-10-05,11
2016-10-06,14
2016-10-07,23
2016-10-09,1
2016-10-11,12
2016-10-12,16
2016-10-13,20
2016-10-14,18
2016-10-15,4
2016-10-16,8
2016-10-18,20
2016-10-19,21
2016-10-20,8
2016-10-21,17
2016-10-22,8
2016-10-23,6
2016-10-25,15
2016-10-26,14
2016-10-27,11
2016-10-28,20
2016-10-29,7
2016-11-01,18
2016-11-02,16
2016-11-04,11
2016-11-05,1
2016-11-08,12
2016-11-09,17
2016-11-10,6
2016-11-11,14
2016-11-12,3
2016-11-13,2
2016-11-15,17
2016-11-16,14
2016-11-17,17
2016-11-18,6
2016-11-19,2
2016-11-22,14
2016-11-24,12
2016-11-25,15
2016-11-26,1
2016-11-29,17
2016-11-30,12
2016-12-01,18
2016-12-02,11
2016-12-03,3
2016-12-04,3
2016-12-06,12
2016-12-07,9
2016-12-08,12
2016-12-09,18
2016-12-10,5
2016-12-11,3
2016-12-13,13
2016-12-14,13
2016-12-15,9
2016-12-16,10
2016-12-20,17
2016-12-21,12
2016-12-22,11
2016-12-24,4
2016-12-27,9
2016-12-28,16
2017-01-05,16
2017-01-06,11
2017-01-07,5
2017-01-08,5
2017-01-10,11
2017-01-11,15
2017-01-12,14
2017-01-13,18
2017-01-14,2
2017-01-15,4
2017-01-17,12
2017-01-18,10
2017-01-19,13
2017-01-20,7
2017-01-24,11
2017-01-25,18
2017-01-26,17
