date,visitors
2016-01-04,17
2016-01-05,15
2016-01-06,17
2016-01-07,2
2016-01-08,9
2016-01-09,23
2016-01-10,19
2016-01-12,7
2016-01-13,6
2016-01-14,9
2016-01-15,7
2016-01-16,17
2016-01-17,5
2016-01-18,9
2016-01-19,15
2016-01-20,11
2016-01-21,2
2016-01-22,14
2016-01-28,2
2016-01-29,3
2016-01-30,18
2016-01-31,2
2016-02-02,1
2016-02-03,5
2016-02-04,7
2016-02-05,7
2016-02-06,26
2016-02-07,4
2016-02-08,3
2016-02-09,8
2016-02-10,27
2016-02-11,1
2016-02-12,18
2016-02-13,22
2016-02-15,14
2016-02-16,13
2016-02-17,7
2016-02-18,7
2016-02-19,19
2016-02-20,24
2016-02-21,1
2016-02-22,12
2016-02-23,7
2016-02-24,11
2016-02-25,10
2016-02-26,8
2016-02-27,23
2016-02-28,18
2016-02-29,3
2016-03-01,1
2016-03-02,12
2016-03-03,1
2016-03-04,12
2016-03-05,18
2016-03-06,5
2016-03-07,6
2016-03-10,12
2016-03-11,24
2016-03-12,15
2016-03-13,5
2016-03-14,3
2016-03-15,5
2016-03-16,1
2016-03-17,8
2016-03-18,13
2016-03-19,19
2016-03-20,26
2016-03-22,5
2016-03-23,62
2016-03-24,16
2016-03-25,22
2016-03-26,26
2016-03-28,11
2016-03-29,2
2016-03-30,3
2016-03-31,20
2016-04-01,15
2016-04-02,19
2016-04-04,11
2016-04-05,9
2016-04-06,7
2016-04-07,6
2016-04-08,31
2016-04-09,21
2016-04-11,27
2016-04-12,3
2016-04-13,10
2016-04-14,12
2016-04-15,17
2016-04-16,21
2016-04-19,4
2016-04-20,7
2016-04-21,1
2016-04-22,27
2016-04-23,13
2016-04-25,3
2016-04-26,11
2016-04-27,9
2016-04-28,15
2016-04-29,12
2016-04-30,19
2016-05-02,25
2016-05-03,32
2016-05-04,29
2016-05-06,6
2016-05-07,18
2016-05-09,12
2016-05-10,1
2016-05-11,12
2016-05-12,7
2016-05-13,17
2016-05-14,1
2016-05-16,44
2016-05-17,6
2016-05-18,7
2016-05-19,4
2016-05-20,11
2016-05-21,19
2016-05-23,5
2016-05-24,6
2016-05-26,10
2016-05-27,27
2016-05-28,11
2016-05-30,5
2016-05-31,5
2016-06-01,3
2016-06-02,8
2016-06-03,10
2016-06-04,27
2016-06-06,10
2016-06-07,3
2016-06-08,8
2016-06-09,14
2016-06-10,14
2016-06-11,15
2016-06-13,8
2016-06-14,11
2016-06-15,11
2016-06-16,5
2016-06-17,11
2016-06-18,7
2016-06-20,6
2016-06-21,10
2016-06-22,4
2016-06-23,4
2016-06-24,22
2016-06-25,21
2016-06-27,13
2016-06-28,7
2016-06-29,19
2016-06-30,2
2016-07-01,11
2016-07-02,28
2016-07-03,1
2016-07-04,11
2016-07-05,4
2016-07-06,10
2016-07-07,2
2016-07-08,25
2016-07-09,11
2016-07-10,8
2016-07-11,7
2016-07-12,7
2016-07-13,9
2016-07-14,3
2016-07-15,17
2016-07-16,41
2016-07-17,13
2016-07-18,7
2016-07-19,20
2016-07-20,12
2016-07-21,1
2016-07-22,17
2016-07-23,15
2016-07-24,16
2016-07-25,16
2016-07-27,6
2016-07-28,9
2016-07-29,24
2016-07-30,61
2016-08-01,31
2016-08-02,1
2016-08-03,19
2016-08-04,4
2016-08-05,21
2016-08-06,36
2016-08-07,2
2016-08-08,3
2016-08-09,11
2016-08-10,31
2016-08-11,10
2016-08-12,24
2016-08-13,11
2016-08-16,5
2016-08-17,3
2016-08-18,8
2016-08-19,33
2016-08-20,18
2016-08-22,6
2016-08-23,2
2016-08-24,12
2016-08-25,9
2016-08-26,16
2016-08-27,16
2016-08-29,10
2016-08-30,10
2016-08-31,2
2016-09-01,17
2016-09-02,10
2016-09-03,22
2016-09-04,7
2016-09-05,3
2016-09-06,9
2016-09-07,3
2016-09-08,2
2016-09-09,13
2016-09-10,13
2016-09-12,2
2016-09-14,2
2016-09-16,21
2016-09-17,19
2016-09-18,10
2016-09-19,29
2016-09-20,30
2016-09-21,19
2016-09-23,8
2016-09-24,32
2016-09-25,11
2016-09-27,6
2016-09-28,4
2016-09-29,9
2016-09-30,26
2016-10-01,22
2016-10-03,10
2016-10-04,7
2016-10-05,1
2016-10-06,8
2016-10-07,16
2016-10-08,21
2016-10-09,7
2016-10-10,3
2016-10-11,10
2016-10-12,1
2016-10-13,6
2016-10-14,15
2016-10-15,21
2016-10-17,2
2016-10-18,5
2016-10-19,5
2016-10-20,7
2016-10-21,11
2016-10-22,36
2016-10-24,12
2016-10-25,13
2016-10-26,13
2016-10-27,2
2016-10-28,8
2016-10-29,34
2016-10-31,3
2016-11-01,3
2016-11-02,35
2016-11-04,13
2016-11-05,32
2016-11-07,4
2016-11-08,1
2016-11-09,18
2016-11-10,19
2016-11-11,21
2016-11-12,30
2016-11-14,3
2016-11-15,13
2016-11-16,3
2016-11-17,10
2016-11-18,14
2016-11-19,8
2016-11-21,1
2016-11-22,13
2016-11-25,17
2016-11-26,43
2016-11-27,6
2016-11-28,4
2016-11-30,8
2016-12-02,28
2016-12-03,41
2016-12-05,4
2016-12-06,3
2016-12-07,24
2016-12-08,9
2016-12-09,18
2016-12-10,39
2016-12-11,3
2016-12-12,5
2016-12-13,9
2016-12-14,6
2016-12-15,16
2016-12-16,18
2016-12-17,46
2016-12-19,9
2016-12-20,3
2016-12-21,13
2016-12-22,20
2016-12-23,12
2016-12-24,14
2016-12-26,16
2016-12-27,11
2016-12-28,32
2016-12-29,37
2016-12-30,62
2017-01-02,36
2017-01-03,5
2017-01-04,18
2017-01-05,4
2017-01-07,13
2017-01-08,14
2017-01-09,3
2017-01-10,12
2017-01-11,1
2017-01-12,6
2017-01-13,9
2017-01-14,12
