date,visitors
2016-07-01,52
2016-07-02,11
2016-07-04,38
2016-07-05,52
2016-07-06,55
2016-07-07,60
2016-07-08,59
2016-07-09,11
2016-07-11,43
2016-07-12,54
2016-07-13,67
2016-07-14,39
2016-07-15,62
2016-07-16,6
2016-07-19,4
2016-07-20,4
2016-07-21,6
2016-07-23,11
2016-07-25,8
2016-07-27,64
2016-07-28,46
2016-07-29,68
2016-07-30,2
2016-08-02,48
2016-08-03,119
2016-08-04,61
2016-08-05,56
2016-08-06,19
2016-08-08,49
2016-08-09,64
2016-08-11,60
2016-08-12,44
2016-08-14,4
2016-08-15,17
2016-08-16,35
2016-08-17,87
2016-08-19,122
2016-08-20,9
2016-08-22,1
2016-08-23,60
2016-08-24,47
2016-08-25,57
2016-08-26,61
2016-08-27,13
2016-08-29,34
2016-08-30,23
2016-08-31,2
2016-09-01,47
2016-09-02,45
2016-09-03,8
2016-09-05,33
2016-09-06,59
2016-09-08,102
2016-09-10,49
2016-09-11,15
2016-09-12,39
2016-09-13,43
2016-09-14,24
2016-09-15,36
2016-09-17,72
2016-09-21,100
2016-09-26,56
2016-09-27,30
2016-09-28,54
2016-09-29,49
2016-09-30,51
2016-10-01,10
2016-10-03,42
2016-10-04,41
2016-10-05,49
2016-10-06,42
2016-10-08,54
2016-10-09,4
2016-10-12,46
2016-10-13,44
2016-10-14,47
2016-10-15,16
2016-10-17,30
2016-10-18,40
2016-10-20,94
2016-10-21,44
2016-10-24,39
2016-10-26,107
2016-10-27,60
2016-10-28,52
2016-10-29,10
2016-10-30,14
2016-10-31,50
2016-11-01,31
2016-11-02,54
2016-11-05,60
2016-11-07,29
2016-11-08,49
2016-11-09,48
2016-11-11,41
2016-11-12,55
2016-11-14,46
2016-11-15,52
2016-11-16,42
2016-11-17,47
2016-11-18,44
2016-11-19,10
2016-11-21,43
2016-11-22,51
2016-11-24,49
2016-11-25,45
2016-11-26,10
2016-11-28,46
2016-11-29,63
2016-11-30,26
2016-12-01,50
2016-12-03,57
2016-12-04,7
2016-12-06,76
2016-12-07,43
2016-12-08,39
2016-12-09,50
2016-12-10,2
2016-12-12,51
2016-12-13,62
2016-12-14,52
2016-12-15,50
2016-12-16,58
2016-12-17,4
2016-12-19,62
2016-12-20,43
2016-12-21,64
2016-12-22,48
2016-12-25,42
2016-12-26,45
2016-12-27,53
2016-12-28,60
2016-12-29,41
2016-12-30,34
2017-01-04,39
2017-01-05,38
2017-01-06,34
2017-01-08,6
2017-01-10,34
2017-01-11,67
2017-01-12,43
2017-01-13,60
2017-01-16,40
2017-01-17,5
2017-01-18,45
2017-01-19,55
2017-01-20,44
2017-01-21,14
2017-01-23,35
2017-01-24,50
2017-01-25,41
2017-01-26,42
2017-01-27,59
2017-01-28,19
2017-01-31,49
2017-02-01,60
2017-02-02,108
2017-02-03,44
2017-02-04,6
2017-02-06,45
2017-02-07,39
2017-02-08,44
2017-02-09,32
2017-02-10,63
2017-02-13,32
2017-02-14,48
2017-02-15,56
2017-02-16,54
2017-02-17,52
2017-02-18,7
2017-02-20,2
2017-02-21,36
2017-02-22,52
2017-02-23,48
2017-02-25,53
2017-02-26,10
