date,visitors
2016-07-01,22
2016-07-02,47
2016-07-03,52
2016-07-05,17
2016-07-06,14
2016-07-07,5
2016-07-08,9
2016-07-09,38
2016-07-10,44
2016-07-12,9
2016-07-13,11
2016-07-14,8
2016-07-15,35
2016-07-16,25
2016-07-17,7
2016-07-18,24
2016-07-20,13
2016-07-21,17
2016-07-22,18
2016-07-23,41
2016-07-24,18
2016-07-26,11
2016-07-27,25
2016-07-28,15
2016-07-29,28
2016-07-30,52
2016-07-31,44
2016-08-02,13
2016-08-03,34
2016-08-04,13
2016-08-05,13
2016-08-06,19
2016-08-07,16
2016-08-09,26
2016-08-10,39
2016-08-12,11
2016-08-13,33
2016-08-14,31
2016-08-16,25
2016-08-17,2
2016-08-18,16
2016-08-19,35
2016-08-20,15
2016-08-21,30
2016-08-23,11
2016-08-24,19
2016-08-25,16
2016-08-26,34
2016-08-27,36
2016-08-28,22
2016-08-30,21
2016-08-31,16
2016-09-01,19
2016-09-02,29
2016-09-03,33
2016-09-04,26
2016-09-06,17
2016-09-07,25
2016-09-08,27
2016-09-09,24
2016-09-10,32
2016-09-11,41
2016-09-12,1
2016-09-13,13
2016-09-14,32
2016-09-15,15
2016-09-16,31
2016-09-17,47
2016-09-18,14
2016-09-19,6
2016-09-21,26
2016-09-22,20
2016-09-23,14
2016-09-24,25
2016-09-25,32
2016-09-27,3
2016-09-28,17
2016-09-29,8
2016-09-30,36
2016-10-01,40
2016-10-02,13
2016-10-04,11
2016-10-05,14
2016-10-06,10
2016-10-07,3
2016-10-08,32
2016-10-11,14
2016-10-12,1
2016-10-13,14
2016-10-14,25
2016-10-15,51
2016-10-16,44
2016-10-19,15
2016-10-20,8
2016-10-21,13
2016-10-22,35
2016-10-23,49
2016-10-25,12
2016-10-26,31
2016-10-27,8
2016-10-28,19
2016-10-29,52
2016-10-30,9
2016-10-31,16
2016-11-01,19
2016-11-02,28
2016-11-03,22
2016-11-04,10
2016-11-05,26
2016-11-06,30
2016-11-08,5
2016-11-09,16
2016-11-10,11
2016-11-11,31
2016-11-12,22
2016-11-13,20
2016-11-15,13
2016-11-16,2
2016-11-17,15
2016-11-18,29
2016-11-19,47
2016-11-20,26
2016-11-22,26
2016-11-23,25
2016-11-24,5
2016-11-25,15
2016-11-26,38
2016-11-27,34
2016-11-29,10
2016-11-30,24
2016-12-01,19
2016-12-02,27
2016-12-03,41
2016-12-04,2
2016-12-06,9
2016-12-07,5
2016-12-08,10
2016-12-09,40
2016-12-10,39
2016-12-11,48
2016-12-13,6
2016-12-14,14
2016-12-15,9
2016-12-16,41
2016-12-17,58
2016-12-18,44
2016-12-19,19
2016-12-20,17
2016-12-21,16
2016-12-22,46
2016-12-23,45
2016-12-24,60
2016-12-25,52
2016-12-26,12
2016-12-27,5
2016-12-28,8
2016-12-29,28
2016-12-30,52
2016-12-31,11
2017-01-03,50
2017-01-04,53
2017-01-05,15
2017-01-06,6
2017-01-07,17
2017-01-08,25
2017-01-09,6
2017-01-10,12
2017-01-11,15
2017-01-12,13
2017-01-13,19
2017-01-14,28
2017-01-15,10
2017-01-17,7
2017-01-18,18
2017-01-19,12
2017-01-20,26
2017-01-21,43
2017-01-22,51
2017-01-24,17
2017-01-25,12
2017-01-26,23
2017-01-27,31
2017-01-28,52
2017-01-29,34
2017-02-01,14
2017-02-02,17
2017-02-03,34
2017-02-04,39
2017-02-05,30
2017-02-07,8
2017-02-08,25
2017-02-09,9
2017-02-10,18
2017-02-11,53
2017-02-12,23
2017-02-14,7
2017-02-15,5
2017-02-16,22
2017-02-17,18
2017-02-18,56
2017-02-19,28
2017-02-20,22
2017-02-21,33
