date,visitors
2016-07-01,14
2016-07-02,21
2016-07-04,2
2016-07-05,11
2016-07-06,11
2016-07-07,10
2016-07-08,13
2016-07-09,21
2016-07-11,7
2016-07-13,6
2016-07-14,10
2016-07-15,8
2016-07-16,8
2016-07-17,11
2016-07-18,8
2016-07-19,6
2016-07-20,13
2016-07-21,12
2016-07-22,12
2016-07-23,11
2016-07-24,4
2016-07-25,11
2016-07-26,10
2016-07-27,6
2016-07-28,13
2016-07-29,6
2016-07-30,15
2016-07-31,3
2016-08-01,5
2016-08-02,14
2016-08-03,2
2016-08-04,7
2016-08-05,16
2016-08-06,14
2016-08-07,5
2016-08-08,9
2016-08-09,4
2016-08-10,10
2016-08-11,14
2016-08-12,14
2016-08-13,2
2016-08-14,4
2016-08-16,14
2016-08-17,9
2016-08-18,7
2016-08-19,16
2016-08-20,11
2016-08-22,8
2016-08-23,7
2016-08-24,6
2016-08-25,5
2016-08-26,17
2016-08-27,10
2016-08-29,5
2016-08-30,8
2016-08-31,12
2016-09-01,14
2016-09-02,6
2016-09-03,10
2016-09-04,6
2016-09-05,8
2016-09-06,10
2016-09-07,6
2016-09-08,12
2016-09-09,13
2016-09-10,19
2016-09-11,4
2016-09-12,10
2016-09-13,6
2016-09-14,3
2016-09-15,11
2016-09-16,10
2016-09-17,7
2016-09-18,14
2016-09-20,8
2016-09-21,19
2016-09-22,15
2016-09-23,14
2016-09-24,6
2016-09-25,8
2016-09-27,8
2016-09-28,7
2016-09-29,12
2016-09-30,23
2016-10-01,10
2016-10-02,2
2016-10-03,2
2016-10-04,5
2016-10-05,11
2016-10-06,5
2016-10-07,19
2016-10-08,12
2016-10-09,26
2016-10-11,11
2016-10-12,12
2016-10-13,9
2016-10-14,16
2016-10-15,20
2016-10-17,4
2016-10-18,9
2016-10-19,10
2016-10-20,22
2016-10-21,18
2016-10-22,16
2016-10-24,4
2016-10-25,17
2016-10-26,23
2016-10-27,8
2016-10-28,14
2016-10-29,14
2016-10-31,4
2016-11-01,4
2016-11-02,14
2016-11-03,18
2016-11-04,11
2016-11-05,10
2016-11-07,15
2016-11-08,7
2016-11-09,10
2016-11-10,2
2016-11-11,15
2016-11-12,12
2016-11-14,3
2016-11-15,4
2016-11-16,19
2016-11-17,6
2016-11-18,25
2016-11-19,20
2016-11-20,2
2016-11-21,11
2016-11-22,20
2016-11-23,7
2016-11-24,12
2016-11-25,12
2016-11-26,9
2016-11-29,5
2016-11-30,11
2016-12-01,7
2016-12-02,12
2016-12-03,19
2016-12-04,6
2016-12-05,5
2016-12-06,12
2016-12-07,9
2016-12-08,8
2016-12-09,16
2016-12-10,13
2016-12-11,5
2016-12-12,9
2016-12-13,4
2016-12-14,10
2016-12-15,14
2016-12-16,15
2016-12-17,15
2016-12-18,7
2016-12-19,10
2016-12-20,23
2016-12-21,13
2016-12-22,15
2016-12-23,12
2016-12-24,18
2016-12-25,12
2016-12-26,7
2016-12-27,6
2016-12-28,18
2016-12-29,8
2016-12-30,12
2017-01-05,6
2017-01-06,20
2017-01-07,5
2017-01-08,13
2017-01-09,4
2017-01-10,6
2017-01-11,10
2017-01-12,8
2017-01-13,15
2017-01-14,13
2017-01-15,4
2017-01-17,10
2017-01-18,6
2017-01-19,9
2017-01-20,17
2017-01-21,20
2017-01-22,2
2017-01-23,11
2017-01-24,17
2017-01-25,14
2017-01-26,6
2017-01-27,16
2017-01-28,18
2017-01-30,7
2017-01-31,9
2017-02-01,6
2017-02-02,12
2017-02-03,10
2017-02-04,10
2017-02-05,18
2017-02-06,9
2017-02-07,7
2017-02-08,2
2017-02-09,16
2017-02-10,11
2017-02-11,14
2017-02-12,6
2017-02-13,5
2017-02-14,9
2017-02-15,6
2017-02-16,10
2017-02-17,15
2017-02-18,22
2017-02-20,10
2017-02-21,6
2017-02-22,13
2017-02-23,4
2017-02-24,20
2017-02-25,13
