date,visitors
2016-07-01,44
2016-07-02,67
2016-07-03,38
2016-07-05,21
2016-07-06,43
2016-07-07,25
2016-07-08,57
2016-07-09,59
2016-07-10,35
2016-07-12,12
2016-07-13,31
2016-07-14,23
2016-07-15,52
2016-07-16,34
2016-07-17,49
2016-07-19,2
2016-07-20,43
2016-07-21,29
2016-07-22,58
2016-07-23,75
2016-07-24,12
2016-07-26,29
2016-07-27,7
2016-07-28,38
2016-07-29,65
2016-07-30,78
2016-07-31,24
2016-08-02,4
2016-08-03,2
2016-08-04,13
2016-08-05,72
2016-08-06,37
2016-08-07,18
2016-08-09,27
2016-08-10,95
2016-08-11,51
2016-08-12,48
2016-08-13,31
2016-08-14,38
2016-08-16,42
2016-08-17,50
2016-08-18,12
2016-08-19,35
2016-08-20,62
2016-08-21,48
2016-08-23,21
2016-08-24,30
2016-08-25,24
2016-08-26,37
2016-08-27,64
2016-08-28,38
2016-08-30,31
2016-08-31,12
2016-09-01,5
2016-09-02,32
2016-09-03,59
2016-09-04,21
2016-09-06,16
2016-09-07,2
2016-09-08,17
2016-09-09,64
2016-09-10,49
2016-09-11,34
2016-09-13,13
2016-09-14,15
2016-09-15,38
2016-09-16,64
2016-09-17,64
2016-09-18,94
2016-09-19,11
2016-09-20,42
2016-09-21,40
2016-09-22,42
2016-09-23,42
2016-09-24,64
2016-09-25,26
2016-09-27,30
2016-09-28,70
2016-09-29,25
2016-09-30,59
2016-10-01,53
2016-10-02,109
2016-10-04,8
2016-10-05,22
2016-10-06,14
2016-10-07,49
2016-10-08,68
2016-10-09,79
2016-10-11,129
2016-10-12,23
2016-10-13,37
2016-10-14,16
2016-10-15,92
2016-10-16,31
2016-10-18,32
2016-10-19,14
2016-10-20,14
2016-10-21,57
2016-10-22,56
2016-10-23,25
2016-10-25,22
2016-10-26,47
2016-10-27,28
2016-10-28,66
2016-10-29,76
2016-10-30,55
2016-11-01,19
2016-11-02,57
2016-11-03,57
2016-11-04,24
2016-11-05,63
2016-11-06,30
2016-11-08,13
2016-11-09,20
2016-11-10,25
2016-11-11,14
2016-11-12,77
2016-11-13,22
2016-11-14,11
2016-11-16,19
2016-11-17,15
2016-11-18,59
2016-11-19,69
2016-11-20,12
2016-11-21,18
2016-11-22,66
2016-11-23,36
2016-11-24,26
2016-11-25,45
2016-11-26,85
2016-11-27,24
2016-11-29,8
2016-11-30,37
2016-12-01,30
2016-12-02,54
2016-12-03,114
2016-12-04,19
2016-12-06,33
2016-12-07,10
2016-12-08,40
2016-12-09,66
2016-12-10,80
2016-12-11,22
2016-12-13,28
2016-12-14,30
2016-12-15,28
2016-12-16,82
2016-12-17,100
2016-12-18,33
2016-12-19,51
2016-12-20,57
2016-12-21,46
2016-12-22,113
2016-12-23,42
2016-12-24,28
2016-12-25,68
2016-12-26,19
2016-12-27,59
2016-12-28,54
2016-12-29,87
2016-12-30,61
2016-12-31,41
2017-01-04,14
2017-01-05,31
2017-01-06,20
2017-01-07,58
2017-01-08,62
2017-01-09,5
2017-01-11,17
2017-01-12,8
2017-01-13,63
2017-01-14,43
2017-01-15,10
2017-01-17,18
2017-01-18,49
2017-01-19,32
2017-01-20,72
2017-01-21,55
2017-01-22,15
2017-01-24,40
2017-01-25,7
2017-01-26,39
2017-01-27,48
2017-01-28,83
2017-01-29,16
2017-01-31,26
2017-02-01,51
2017-02-02,17
2017-02-03,33
2017-02-04,56
2017-02-05,18
2017-02-07,27
2017-02-08,15
2017-02-09,31
2017-02-10,47
2017-02-11,67
2017-02-12,35
2017-02-14,50
2017-02-15,41
2017-02-16,12
2017-02-17,66
2017-02-18,44
2017-02-19,34
2017-02-21,62
