date,visitors
2016-01-04,30
2016-01-05,15
2016-01-06,13
2016-01-07,31
2016-01-08,25
2016-01-09,33
2016-01-10,35
2016-01-11,49
2016-01-12,22
2016-01-13,27
2016-01-14,8
2016-01-15,33
2016-01-16,42
2016-01-17,14
2016-01-18,27
2016-01-19,36
2016-01-20,21
2016-01-21,26
2016-01-22,27
2016-01-23,48
2016-01-24,13
2016-01-25,10
2016-01-26,26
2016-01-27,19
2016-01-28,16
2016-01-29,29
2016-01-30,48
2016-01-31,23
2016-02-01,16
2016-02-02,13
2016-02-03,33
2016-02-04,29
2016-02-05,34
2016-02-06,35
2016-02-07,18
2016-02-08,16
2016-02-09,16
2016-02-10,33
2016-02-11,6
2016-02-12,39
2016-02-13,54
2016-02-14,10
2016-02-15,26
2016-02-16,34
2016-02-17,13
2016-02-18,9
2016-02-19,33
2016-02-20,50
2016-02-21,17
2016-02-22,13
2016-02-23,32
2016-02-24,18
2016-02-25,11
2016-02-26,34
2016-02-27,50
2016-02-28,26
2016-02-29,17
2016-03-01,17
2016-03-02,29
2016-03-03,8
2016-03-04,43
2016-03-05,38
2016-03-06,31
2016-03-07,37
2016-03-08,21
2016-03-09,36
2016-03-10,14
2016-03-11,44
2016-03-12,42
2016-03-13,16
2016-03-14,9
2016-03-15,11
2016-03-16,25
2016-03-18,41
2016-03-19,44
2016-03-20,67
2016-03-21,27
2016-03-22,29
2016-03-23,20
2016-03-24,33
2016-03-25,34
2016-03-26,45
2016-03-27,37
2016-03-28,35
2016-03-29,28
2016-03-30,32
2016-03-31,18
2016-04-01,35
2016-04-02,41
2016-04-03,34
2016-04-04,13
2016-04-05,45
2016-04-06,33
2016-04-07,30
2016-04-08,39
2016-04-09,32
2016-04-10,39
2016-04-11,19
2016-04-12,32
2016-04-13,37
2016-04-14,21
2016-04-15,38
2016-04-16,44
2016-04-17,22
2016-04-18,25
2016-04-19,30
2016-04-20,23
2016-04-21,33
2016-04-22,26
2016-04-23,41
2016-04-24,32
2016-04-25,16
2016-04-26,28
2016-04-27,22
2016-04-28,39
2016-04-29,33
2016-04-30,16
2016-05-02,32
2016-05-03,38
2016-05-05,35
2016-05-06,21
2016-05-07,31
2016-05-08,44
2016-05-09,23
2016-05-10,13
2016-05-11,22
2016-05-12,35
2016-05-13,36
2016-05-14,38
2016-05-15,24
2016-05-16,14
2016-05-17,18
2016-05-18,31
2016-05-19,38
2016-05-20,44
2016-05-21,38
2016-05-22,33
2016-05-23,22
2016-05-24,35
2016-05-25,34
2016-05-26,25
2016-05-27,41
2016-05-28,39
2016-05-29,28
2016-05-30,17
2016-05-31,19
2016-06-01,11
2016-06-02,23
2016-06-03,42
2016-06-04,27
2016-06-05,23
2016-06-06,28
2016-06-07,31
2016-06-08,39
2016-06-09,27
2016-06-10,30
2016-06-11,34
2016-06-13,10
2016-06-14,22
2016-06-15,34
2016-06-16,37
2016-06-17,39
2016-06-18,47
2016-06-19,33
2016-06-20,6
2016-06-21,44
2016-06-22,21
2016-06-23,27
2016-06-24,41
2016-06-25,23
2016-06-26,31
2016-06-27,25
2016-06-28,28
2016-06-29,28
2016-06-30,21
2016-07-01,43
2016-07-02,25
2016-07-03,22
2016-07-04,31
2016-07-05,14
2016-07-06,43
2016-07-07,24
2016-07-08,41
2016-07-09,32
2016-07-11,33
2016-07-12,18
2016-07-13,31
2016-07-14,26
2016-07-15,30
2016-07-16,41
2016-07-17,38
2016-07-18,28
2016-07-19,28
2016-07-20,43
2016-07-21,14
2016-07-22,35
2016-07-23,29
2016-07-25,20
2016-07-26,19
2016-07-27,21
2016-07-28,6
2016-07-29,51
2016-07-30,37
2016-07-31,26
2016-08-01,20
2016-08-02,36
2016-08-03,38
2016-08-04,23
2016-08-05,35
2016-08-06,33
2016-08-07,18
2016-08-08,14
2016-08-09,26
2016-08-10,31
2016-08-11,29
2016-08-12,36
2016-08-13,41
2016-08-15,33
2016-08-16,25
2016-08-17,23
2016-08-18,32
2016-08-19,33
2016-08-20,44
2016-08-21,29
2016-08-22,33
2016-08-23,17
2016-08-24,24
2016-08-25,27
2016-08-26,34
2016-08-27,33
2016-08-28,36
2016-08-29,2
2016-08-30,35
2016-08-31,19
2016-09-01,12
2016-09-02,42
2016-09-03,37
2016-09-05,9
2016-09-06,21
2016-09-07,19
2016-09-08,27
2016-09-09,39
2016-09-10,37
2016-09-11,31
2016-09-12,8
2016-09-13,11
2016-09-14,38
2016-09-15,34
2016-09-16,34
2016-09-17,39
2016-09-18,31
2016-09-19,23
2016-09-20,14
2016-09-21,22
2016-09-22,14
2016-09-23,39
2016-09-24,32
2016-09-26,20
2016-09-27,30
2016-09-28,27
2016-09-29,29
2016-09-30,27
2016-10-01,30
2016-10-03,13
2016-10-04,21
2016-10-05,2
2016-10-06,21
2016-10-07,24
2016-10-09,33
2016-10-10,39
2016-10-11,32
2016-10-12,19
2016-10-13,20
2016-10-14,42
2016-10-15,34
2016-10-17,20
2016-10-18,41
2016-10-19,19
2016-10-20,21
2016-10-21,21
2016-10-22,41
2016-10-23,25
2016-10-24,16
2016-10-25,41
2016-10-26,26
2016-10-27,28
2016-10-28,38
2016-10-29,16
2016-10-31,16
2016-11-01,24
2016-11-02,32
2016-11-03,23
2016-11-04,10
2016-11-05,36
2016-11-06,31
2016-11-07,22
2016-11-08,19
2016-11-09,22
2016-11-10,33
2016-11-11,35
2016-11-12,36
2016-11-14,15
2016-11-15,8
2016-11-16,18
2016-11-17,15
2016-11-18,46
2016-11-19,20
2016-11-21,33
2016-11-22,38
2016-11-23,35
2016-11-24,11
2016-11-25,53
2016-11-26,40
2016-11-28,12
2016-11-29,32
2016-11-30,26
2016-12-01,5
2016-12-02,44
2016-12-03,49
2016-12-04,26
2016-12-05,14
2016-12-06,10
2016-12-07,36
2016-12-08,16
2016-12-09,48
2016-12-10,43
2016-12-11,22
2016-12-12,16
2016-12-13,13
2016-12-14,23
2016-12-15,40
2016-12-16,45
2016-12-17,36
2016-12-18,38
2016-12-19,20
2016-12-20,32
2016-12-21,44
2016-12-22,36
2016-12-23,14
2016-12-24,24
2016-12-26,13
2016-12-27,40
2016-12-28,41
2016-12-29,46
2016-12-30,34
2017-01-04,5
2017-01-05,19
2017-01-06,25
2017-01-07,27
2017-01-08,15
2017-01-09,32
2017-01-10,18
2017-01-11,16
2017-01-12,10
2017-01-13,27
2017-01-14,34
