date,visitors
2016-03-25,11
2016-03-26,23
2016-03-27,15
2016-03-28,5
2016-03-29,6
2016-03-30,14
2016-04-01,51
2016-04-02,39
2016-04-03,66
2016-04-04,38
2016-04-05,40
2016-04-06,55
2016-04-09,67
2016-04-10,56
2016-04-11,46
2016-04-12,51
2016-04-13,46
2016-04-15,43
2016-04-16,57
2016-04-17,54
2016-04-18,37
2016-04-19,38
2016-04-20,63
2016-04-22,42
2016-04-23,46
2016-04-24,48
2016-04-25,32
2016-04-26,36
2016-04-27,33
2016-04-29,73
2016-04-30,65
2016-05-01,68
2016-05-02,67
2016-05-03,103
2016-05-04,89
2016-05-05,76
2016-05-06,31
2016-05-07,66
2016-05-08,66
2016-05-09,19
2016-05-10,26
2016-05-11,53
2016-05-13,29
2016-05-14,64
2016-05-15,58
2016-05-16,39
2016-05-17,23
2016-05-18,33
2016-05-20,33
2016-05-21,63
2016-05-22,64
2016-05-23,33
2016-05-24,32
2016-05-25,34
2016-05-27,19
2016-05-28,52
2016-05-29,50
2016-05-30,36
2016-06-01,35
2016-06-03,50
2016-06-04,49
2016-06-05,50
2016-06-06,30
2016-06-07,21
2016-06-08,38
2016-06-10,33
2016-06-11,52
2016-06-12,63
2016-06-13,14
2016-06-14,21
2016-06-15,48
2016-06-17,36
2016-06-18,42
2016-06-19,43
2016-06-20,29
2016-06-21,24
2016-06-22,25
2016-06-24,34
2016-06-25,56
2016-06-26,67
2016-06-27,33
2016-06-28,20
2016-06-29,41
2016-07-01,37
2016-07-02,44
2016-07-03,52
2016-07-04,34
2016-07-05,25
2016-07-06,21
2016-07-08,37
2016-07-09,28
2016-07-10,59
2016-07-11,38
2016-07-12,22
2016-07-13,34
2016-07-15,27
2016-07-16,49
2016-07-17,59
2016-07-18,42
2016-07-19,32
2016-07-20,21
2016-07-22,21
2016-07-23,49
2016-07-24,41
2016-07-25,37
2016-07-26,37
2016-07-27,37
2016-07-29,24
2016-07-30,39
2016-07-31,37
2016-08-01,25
2016-08-02,20
2016-08-03,26
2016-08-05,29
2016-08-06,52
2016-08-07,40
2016-08-08,32
2016-08-09,27
2016-08-10,31
2016-08-11,51
2016-08-12,51
2016-08-13,39
2016-08-14,52
2016-08-15,75
2016-08-16,58
2016-08-17,21
2016-08-19,33
2016-08-20,28
2016-08-21,51
2016-08-22,7
2016-08-23,13
2016-08-24,29
2016-08-26,39
2016-08-27,37
2016-08-28,43
2016-08-29,18
2016-08-30,16
2016-08-31,26
2016-09-02,30
2016-09-03,38
2016-09-04,45
2016-09-05,36
2016-09-06,31
2016-09-09,26
2016-09-10,38
2016-09-11,31
2016-09-12,22
2016-09-13,23
2016-09-14,41
2016-09-16,21
2016-09-17,43
2016-09-18,60
2016-09-19,48
2016-09-20,15
2016-09-21,20
2016-09-22,12
2016-09-23,23
2016-09-24,33
2016-09-25,29
2016-09-26,41
2016-09-27,16
2016-09-28,31
2016-09-30,40
2016-10-01,40
2016-10-02,47
2016-10-03,20
2016-10-04,32
2016-10-05,31
2016-10-07,24
2016-10-08,26
2016-10-09,62
2016-10-10,75
2016-10-11,20
2016-10-12,25
2016-10-14,28
2016-10-15,38
2016-10-16,37
2016-10-17,22
2016-10-18,28
2016-10-19,37
2016-10-21,29
2016-10-22,36
2016-10-23,44
2016-10-24,26
2016-10-25,22
2016-10-26,24
2016-10-28,29
2016-10-29,44
2016-10-30,27
2016-10-31,21
2016-11-01,13
2016-11-02,21
2016-11-03,18
2016-11-04,24
2016-11-05,49
2016-11-06,19
2016-11-07,18
2016-11-08,24
2016-11-09,21
2016-11-11,18
2016-11-12,248
2016-11-13,33
2016-11-14,25
2016-11-15,28
2016-11-16,31
2016-11-18,31
2016-11-19,32
2016-11-20,45
2016-11-21,24
2016-11-22,27
2016-11-23,31
2016-11-25,34
2016-11-26,29
2016-11-27,32
2016-11-28,27
2016-11-29,19
2016-11-30,29
2016-12-02,19
2016-12-03,43
2016-12-04,41
2016-12-05,20
2016-12-06,21
2016-12-07,24
2016-12-09,20
2016-12-10,34
2016-12-11,40
2016-12-12,23
2016-12-13,25
2016-12-14,23
2016-12-16,31
2016-12-17,36
2016-12-18,30
2016-12-19,34
2016-12-20,28
2016-12-21,31
2016-12-23,34
2016-12-24,39
2016-12-25,40
2016-12-26,37
2016-12-27,30
2016-12-28,69
2016-12-29,122
2016-12-30,119
2016-12-31,85
2017-01-06,19
2017-01-07,28
2017-01-08,31
2017-01-09,26
2017-01-10,10
2017-01-11,12
2017-01-13,14
2017-01-14,17
2017-01-15,19
2017-01-16,20
2017-01-17,31
2017-01-18,39
2017-01-20,27
2017-01-21,34
2017-01-22,32
2017-01-23,18
2017-01-24,15
2017-01-25,22
2017-01-27,19
2017-01-28,30
2017-01-29,37
2017-01-30,20
2017-01-31,24
2017-02-01,30
