date,visitors
2016-01-04,14
2016-01-05,6
2016-01-06,40
2016-01-07,54
2016-01-08,75
2016-01-09,41
2016-01-10,1
2016-01-11,29
2016-01-12,48
2016-01-13,88
2016-01-14,76
2016-01-15,92
2016-01-16,26
2016-01-18,41
2016-01-19,64
2016-01-20,59
2016-01-21,58
2016-01-22,85
2016-01-23,39
2016-01-25,62
2016-01-26,71
2016-01-27,62
2016-01-28,68
2016-01-29,45
2016-01-30,39
2016-02-02,70
2016-02-03,64
2016-02-04,70
2016-02-05,76
2016-02-06,22
2016-02-07,1
2016-02-08,54
2016-02-09,52
2016-02-10,71
2016-02-11,36
2016-02-12,84
2016-02-13,40
2016-02-14,1
2016-02-15,60
2016-02-16,74
2016-02-17,71
2016-02-18,63
2016-02-19,87
2016-02-20,26
2016-02-21,1
2016-02-22,52
2016-02-23,80
2016-02-24,64
2016-02-25,76
2016-02-26,87
2016-02-29,79
2016-03-01,62
2016-03-02,96
2016-03-03,76
2016-03-04,65
2016-03-05,34
2016-03-06,1
2016-03-07,54
2016-03-08,76
2016-03-09,51
2016-03-10,68
2016-03-11,78
2016-03-12,41
2016-03-14,41
2016-03-15,74
2016-03-16,66
2016-03-17,78
2016-03-18,72
2016-03-19,37
2016-03-20,1
2016-03-21,1
2016-03-22,62
2016-03-23,77
2016-03-24,64
2016-03-25,69
2016-03-26,43
2016-03-28,58
2016-03-29,58
2016-03-30,73
2016-03-31,86
2016-04-01,68
2016-04-02,31
2016-04-04,58
2016-04-05,68
2016-04-06,46
2016-04-07,20
2016-04-08,39
2016-04-09,70
2016-04-10,47
2016-04-11,27
2016-04-12,36
2016-04-13,41
2016-04-14,32
2016-04-15,21
2016-04-16,70
2016-04-17,45
2016-04-18,36
2016-04-19,16
2016-04-20,20
2016-04-21,26
2016-04-22,31
2016-04-23,63
2016-04-24,36
2016-04-25,22
2016-04-26,37
2016-04-27,17
2016-04-28,35
2016-04-29,55
2016-04-30,64
2016-05-01,42
2016-05-02,55
2016-05-03,32
2016-05-04,52
2016-05-05,67
2016-05-06,30
2016-05-07,41
2016-05-08,47
2016-05-09,20
2016-05-10,16
2016-05-11,50
2016-05-12,38
2016-05-13,70
2016-05-14,74
2016-05-15,67
2016-05-17,5
2016-05-18,54
2016-05-19,49
2016-05-20,41
2016-05-21,55
2016-05-22,59
2016-05-23,40
2016-05-24,32
2016-05-25,33
2016-05-26,59
2016-05-27,51
2016-05-28,43
2016-05-29,68
2016-05-30,32
2016-05-31,25
2016-06-01,34
2016-06-02,1
2016-06-03,37
2016-06-04,33
2016-06-05,55
2016-06-09,29
2016-06-10,22
2016-06-11,57
2016-06-12,51
2016-06-13,13
2016-06-14,23
2016-06-16,26
2016-06-17,18
2016-06-18,60
2016-06-19,31
2016-06-20,15
2016-06-21,14
2016-06-22,18
2016-06-23,39
2016-06-24,17
2016-06-25,57
2016-06-26,41
2016-06-27,29
2016-06-28,23
2016-06-30,11
2016-07-01,25
2016-07-02,19
2016-07-03,47
2016-07-04,23
2016-07-05,24
2016-07-07,27
2016-07-08,47
2016-07-09,39
2016-07-10,54
2016-07-11,21
2016-07-12,2
2016-07-13,24
2016-07-14,16
2016-07-15,32
2016-07-16,52
2016-07-17,70
2016-07-18,30
2016-07-20,26
2016-07-21,31
2016-07-22,39
2016-07-23,42
2016-07-24,50
2016-07-25,18
2016-07-27,35
2016-07-28,35
2016-07-29,29
2016-07-30,43
2016-07-31,42
2016-08-01,35
2016-08-03,14
2016-08-04,9
2016-08-05,28
2016-08-06,27
2016-08-07,42
2016-08-10,26
2016-08-11,35
2016-08-12,38
2016-08-13,27
2016-08-14,28
2016-08-15,26
2016-08-17,32
2016-08-18,26
2016-08-19,34
2016-08-20,35
2016-08-21,23
2016-08-22,4
2016-08-24,33
2016-08-25,21
2016-08-26,38
2016-08-27,42
2016-08-28,54
2016-08-29,18
2016-08-31,27
2016-09-01,19
2016-09-02,38
2016-09-03,34
2016-09-04,56
2016-09-09,23
2016-09-10,29
2016-09-11,35
2016-09-12,13
2016-09-14,27
2016-09-15,27
2016-09-16,33
2016-09-17,41
2016-09-18,46
2016-09-19,42
2016-09-21,21
2016-09-22,14
2016-09-23,8
2016-09-24,49
2016-09-25,48
2016-09-26,32
2016-09-28,48
2016-09-29,30
2016-09-30,35
2016-10-01,13
2016-10-02,35
2016-10-03,30
2016-10-05,18
2016-10-06,32
2016-10-07,29
2016-10-08,34
2016-10-09,31
2016-10-10,24
2016-10-12,27
2016-10-13,20
2016-10-14,26
2016-10-16,34
2016-10-17,26
2016-10-18,31
2016-10-19,24
2016-10-20,26
2016-10-21,40
2016-10-22,47
2016-10-23,40
2016-10-24,7
2016-10-25,2
2016-10-26,23
2016-10-27,21
2016-10-28,31
2016-10-29,54
2016-10-30,28
2016-10-31,1
2016-11-02,28
2016-11-03,37
2016-11-04,21
2016-11-05,46
2016-11-06,33
2016-11-07,27
2016-11-09,25
2016-11-10,38
2016-11-11,36
2016-11-12,26
2016-11-13,47
2016-11-14,37
2016-11-16,9
2016-11-17,38
2016-11-18,22
2016-11-19,33
2016-11-20,39
2016-11-21,30
2016-11-22,28
2016-11-23,42
2016-11-24,16
2016-11-25,23
2016-11-26,43
2016-11-28,29
2016-11-30,16
2016-12-01,21
2016-12-02,31
2016-12-03,43
2016-12-04,27
2016-12-05,22
2016-12-06,1
2016-12-07,17
2016-12-09,10
2016-12-10,16
2016-12-11,34
2016-12-12,16
2016-12-14,14
2016-12-15,44
2016-12-16,22
2016-12-17,43
2016-12-18,38
2016-12-19,27
2016-12-20,1
2016-12-21,41
2016-12-22,38
2016-12-23,37
2016-12-24,47
2016-12-25,51
2016-12-26,31
2016-12-27,16
2016-12-28,29
2016-12-29,31
2016-12-30,24
2017-01-06,24
2017-01-07,40
2017-01-08,35
2017-01-09,42
2017-01-11,29
2017-01-12,16
2017-01-13,32
2017-01-14,26
2017-01-15,26
2017-01-16,16
