date,visitors
2016-07-01,13
2016-07-02,41
2016-07-03,17
2016-07-04,22
2016-07-05,19
2016-07-07,5
2016-07-08,12
2016-07-09,34
2016-07-10,54
2016-07-11,18
2016-07-12,3
2016-07-14,9
2016-07-15,6
2016-07-16,25
2016-07-17,19
2016-07-18,10
2016-07-19,18
2016-07-21,6
2016-07-22,11
2016-07-23,21
2016-07-24,15
2016-07-25,16
2016-07-26,17
2016-07-27,16
2016-07-28,10
2016-07-29,8
2016-07-30,59
2016-07-31,27
2016-08-01,1
2016-08-02,6
2016-08-04,9
2016-08-05,10
2016-08-06,69
2016-08-07,20
2016-08-08,5
2016-08-09,15
2016-08-11,17
2016-08-12,10
2016-08-13,19
2016-08-14,28
2016-08-15,9
2016-08-16,7
2016-08-18,17
2016-08-19,7
2016-08-20,27
2016-08-21,12
2016-08-22,5
2016-08-23,11
2016-08-24,16
2016-08-25,18
2016-08-26,20
2016-08-27,46
2016-08-28,37
2016-08-29,20
2016-08-30,28
2016-09-01,2
2016-09-02,13
2016-09-03,29
2016-09-04,29
2016-09-05,5
2016-09-06,12
2016-09-08,6
2016-09-09,13
2016-09-10,32
2016-09-11,25
2016-09-12,14
2016-09-13,7
2016-09-15,15
2016-09-16,16
2016-09-17,31
2016-09-18,35
2016-09-19,25
2016-09-20,23
2016-09-22,9
2016-09-23,9
2016-09-24,27
2016-09-25,45
2016-09-26,4
2016-09-27,12
2016-09-29,16
2016-09-30,25
2016-10-01,32
2016-10-02,36
2016-10-03,8
2016-10-04,12
2016-10-06,15
2016-10-07,12
2016-10-08,29
2016-10-09,34
2016-10-10,19
2016-10-11,6
2016-10-13,8
2016-10-14,10
2016-10-15,15
2016-10-16,38
2016-10-17,12
2016-10-18,9
2016-10-20,10
2016-10-21,21
2016-10-22,34
2016-10-23,47
2016-10-24,12
2016-10-25,6
2016-10-27,5
2016-10-28,11
2016-10-29,42
2016-10-30,30
2016-10-31,12
2016-11-01,8
2016-11-03,19
2016-11-04,15
2016-11-05,31
2016-11-06,60
2016-11-07,19
2016-11-08,7
2016-11-10,9
2016-11-11,20
2016-11-12,29
2016-11-13,18
2016-11-14,7
2016-11-15,13
2016-11-17,8
2016-11-18,18
2016-11-19,24
2016-11-20,28
2016-11-21,12
2016-11-22,34
2016-11-24,6
2016-11-25,8
2016-11-26,52
2016-11-27,29
2016-11-28,10
2016-11-29,9
2016-12-01,21
2016-12-02,8
2016-12-03,47
2016-12-04,26
2016-12-05,13
2016-12-06,17
2016-12-08,20
2016-12-09,33
2016-12-10,47
2016-12-11,38
2016-12-12,7
2016-12-13,16
2016-12-15,11
2016-12-16,15
2016-12-17,33
2016-12-18,31
2016-12-19,8
2016-12-20,10
2016-12-22,37
2016-12-23,33
2016-12-24,14
2016-12-25,49
2016-12-26,21
2016-12-27,12
2016-12-29,12
2016-12-30,22
2016-12-31,32
2017-01-01,67
2017-01-02,62
2017-01-03,58
2017-01-04,49
2017-01-05,29
2017-01-06,26
2017-01-07,32
2017-01-08,26
2017-01-09,18
2017-01-10,16
2017-01-12,11
2017-01-13,27
2017-01-14,28
2017-01-15,38
2017-01-16,9
2017-01-17,20
2017-01-19,8
2017-01-20,29
2017-01-21,36
2017-01-22,32
2017-01-23,8
2017-01-24,4
2017-01-26,15
2017-01-27,19
2017-01-28,14
2017-01-29,18
2017-01-30,12
2017-01-31,14
2017-02-02,8
2017-02-03,11
2017-02-04,40
2017-02-05,23
2017-02-06,8
2017-02-07,12
2017-02-09,14
2017-02-10,22
2017-02-11,30
2017-02-12,39
2017-02-13,15
2017-02-16,19
2017-02-17,21
2017-02-18,38
2017-02-19,29
2017-02-20,15
