date,visitors
2016-01-02,64
2016-01-03,57
2016-01-04,64
2016-01-05,31
2016-01-06,47
2016-01-07,43
2016-01-08,31
2016-01-09,52
2016-01-10,42
2016-01-12,37
2016-01-13,34
2016-01-14,26
2016-01-15,39
2016-01-17,30
2016-01-18,36
2016-01-19,28
2016-01-20,37
2016-01-21,30
2016-01-22,23
2016-01-23,35
2016-01-28,31
2016-01-29,24
2016-01-30,51
2016-02-01,29
2016-02-02,30
2016-02-03,32
2016-02-04,42
2016-02-05,34
2016-02-06,32
2016-02-08,40
2016-02-09,41
2016-02-10,39
2016-02-11,41
2016-02-12,36
2016-02-13,36
2016-02-14,33
2016-02-16,37
2016-02-17,36
2016-02-18,39
2016-02-19,38
2016-02-20,39
2016-02-22,43
2016-02-23,38
2016-02-24,30
2016-02-25,27
2016-02-26,33
2016-02-27,36
2016-02-29,32
2016-03-01,26
2016-03-02,33
2016-03-03,37
2016-03-04,42
2016-03-05,54
2016-03-07,37
2016-03-08,38
2016-03-09,29
2016-03-10,22
2016-03-11,44
2016-03-12,36
2016-03-14,28
2016-03-15,32
2016-03-16,36
2016-03-17,40
2016-03-18,29
2016-03-19,50
2016-03-20,35
2016-03-21,34
2016-03-22,53
2016-03-23,45
2016-03-24,33
2016-03-25,27
2016-03-26,39
2016-03-28,45
2016-03-29,37
2016-03-30,27
2016-03-31,45
2016-04-01,30
2016-04-02,42
2016-04-04,28
2016-04-05,41
2016-04-06,21
2016-04-07,21
2016-04-08,46
2016-04-09,50
2016-04-11,39
2016-04-12,35
2016-04-13,26
2016-04-14,45
2016-04-15,39
2016-04-16,31
2016-04-18,28
2016-04-19,32
2016-04-20,34
2016-04-21,23
2016-04-22,38
2016-04-23,34
2016-04-25,47
2016-04-26,50
2016-04-27,23
2016-04-28,20
2016-04-29,75
2016-04-30,73
2016-05-01,27
2016-05-02,56
2016-05-03,37
2016-05-04,62
2016-05-05,87
2016-05-06,29
2016-05-07,52
2016-05-08,63
2016-05-09,45
2016-05-10,23
2016-05-11,32
2016-05-12,42
2016-05-13,40
2016-05-14,51
2016-05-16,25
2016-05-17,39
2016-05-18,37
2016-05-19,36
2016-05-20,38
2016-05-21,67
2016-05-23,53
2016-05-24,29
2016-05-25,39
2016-05-26,42
2016-05-27,41
2016-05-28,46
2016-05-29,70
2016-05-30,42
2016-05-31,43
2016-06-01,36
2016-06-02,46
2016-06-03,36
2016-06-04,40
2016-06-06,53
2016-06-07,50
2016-06-08,43
2016-06-09,61
2016-06-10,47
2016-06-11,63
2016-06-13,67
2016-06-14,50
2016-06-15,40
2016-06-16,27
2016-06-17,38
2016-06-18,53
2016-06-20,31
2016-06-21,44
2016-06-22,32
2016-06-23,34
2016-06-24,35
2016-06-25,48
2016-06-27,33
2016-06-28,22
2016-06-29,40
2016-06-30,38
2016-07-01,38
2016-07-03,45
2016-07-04,49
2016-07-05,36
2016-07-06,46
2016-07-07,33
2016-07-08,22
2016-07-09,47
2016-07-11,34
2016-07-12,33
2016-07-13,34
2016-07-14,40
2016-07-15,29
2016-07-16,39
2016-07-17,38
2016-07-19,40
2016-07-20,31
2016-07-21,38
2016-07-22,31
2016-07-23,54
2016-07-25,34
2016-07-26,42
2016-07-27,33
2016-07-28,47
2016-07-29,39
2016-07-30,40
2016-07-31,95
2016-08-01,39
2016-08-02,36
2016-08-03,43
2016-08-04,45
2016-08-05,31
2016-08-06,42
2016-08-08,48
2016-08-09,40
2016-08-10,38
2016-08-11,63
2016-08-12,32
2016-08-13,27
2016-08-15,39
2016-08-16,43
2016-08-17,43
2016-08-18,39
2016-08-19,44
2016-08-20,45
2016-08-21,47
2016-08-22,38
2016-08-23,41
2016-08-24,37
2016-08-25,32
2016-08-26,38
2016-08-27,45
2016-08-29,36
2016-08-30,22
2016-08-31,54
2016-09-01,31
2016-09-02,33
2016-09-03,57
2016-09-05,43
2016-09-06,35
2016-09-07,37
2016-09-08,45
2016-09-09,38
2016-09-10,60
2016-09-12,24
2016-09-13,39
2016-09-14,29
2016-09-15,51
2016-09-16,41
2016-09-17,39
2016-09-19,38
2016-09-20,45
2016-09-21,40
2016-09-22,47
2016-09-23,31
2016-09-24,42
2016-09-26,59
2016-09-27,65
2016-09-28,14
2016-09-29,50
2016-09-30,35
2016-10-03,46
2016-10-04,43
2016-10-05,43
2016-10-06,43
2016-10-07,42
2016-10-08,30
2016-10-09,54
2016-10-10,48
2016-10-11,42
2016-10-12,56
2016-10-13,55
2016-10-14,36
2016-10-15,54
2016-10-17,50
2016-10-18,44
2016-10-19,35
2016-10-20,40
2016-10-21,43
2016-10-22,43
2016-10-24,45
2016-10-25,45
2016-10-26,30
2016-10-27,46
2016-10-28,34
2016-10-29,50
2016-10-31,35
2016-11-01,48
2016-11-02,49
2016-11-03,53
2016-11-04,48
2016-11-05,51
2016-11-07,52
2016-11-08,36
2016-11-09,45
2016-11-10,31
2016-11-11,37
2016-11-12,40
2016-11-14,53
2016-11-15,50
2016-11-16,46
2016-11-17,41
2016-11-18,49
2016-11-19,44
2016-11-20,75
2016-11-21,70
2016-11-22,39
2016-11-23,52
2016-11-24,46
2016-11-25,32
2016-11-26,59
2016-11-28,28
2016-11-29,38
2016-11-30,42
2016-12-01,40
2016-12-02,26
2016-12-03,49
2016-12-05,39
2016-12-06,40
2016-12-07,30
2016-12-08,36
2016-12-09,25
2016-12-11,39
2016-12-12,39
2016-12-13,25
2016-12-14,39
2016-12-15,41
2016-12-16,42
2016-12-17,35
2016-12-19,31
2016-12-20,34
2016-12-21,37
2016-12-22,31
2016-12-24,62
2016-12-25,47
2016-12-26,36
2016-12-27,34
2016-12-28,41
2016-12-29,46
2016-12-30,57
2016-12-31,37
2017-01-02,56
2017-01-03,70
2017-01-04,43
2017-01-05,37
2017-01-06,37
2017-01-07,53
2017-01-08,47
2017-01-09,38
2017-01-10,35
2017-01-11,30
2017-01-12,27
2017-01-13,29
2017-01-14,38
2017-01-15,32
2017-01-16,26
2017-01-17,44
2017-01-18,21
2017-01-19,39
2017-01-20,26
2017-01-21,42
