date,visitors
2016-07-01,46
2016-07-02,32
2016-07-03,35
2016-07-04,40
2016-07-06,19
2016-07-07,24
2016-07-08,13
2016-07-09,35
2016-07-10,36
2016-07-11,10
2016-07-13,25
2016-07-14,33
2016-07-15,29
2016-07-16,19
2016-07-17,35
2016-07-18,32
2016-07-20,27
2016-07-21,11
2016-07-22,18
2016-07-23,27
2016-07-24,22
2016-07-25,15
2016-07-27,28
2016-07-28,19
2016-07-29,23
2016-07-30,19
2016-07-31,19
2016-08-01,19
2016-08-03,12
2016-08-04,21
2016-08-05,13
2016-08-06,10
2016-08-07,19
2016-08-08,25
2016-08-10,14
2016-08-11,10
2016-08-12,15
2016-08-13,14
2016-08-14,11
2016-08-15,13
2016-08-17,22
2016-08-18,6
2016-08-19,18
2016-08-20,13
2016-08-21,15
2016-08-22,22
2016-08-24,14
2016-08-25,20
2016-08-26,18
2016-08-27,14
2016-08-28,9
2016-08-29,24
2016-08-31,15
2016-09-01,18
2016-09-02,12
2016-09-03,39
2016-09-04,15
2016-09-05,18
2016-09-06,1
2016-09-07,18
2016-09-08,23
2016-09-09,17
2016-09-10,28
2016-09-11,47
2016-09-12,13
2016-09-14,21
2016-09-15,24
2016-09-16,16
2016-09-17,23
2016-09-18,6
2016-09-19,10
2016-09-21,13
2016-09-22,19
2016-09-23,16
2016-09-24,27
2016-09-25,30
2016-09-26,26
2016-09-28,12
2016-09-29,26
2016-09-30,14
2016-10-01,35
2016-10-02,28
2016-10-03,18
2016-10-05,8
2016-10-06,27
2016-10-07,18
2016-10-08,11
2016-10-09,50
2016-10-10,24
2016-10-12,26
2016-10-13,16
2016-10-14,14
2016-10-15,59
2016-10-16,15
2016-10-17,28
2016-10-19,29
2016-10-20,23
2016-10-21,12
2016-10-22,27
2016-10-23,40
2016-10-24,21
2016-10-26,16
2016-10-27,16
2016-10-28,14
2016-10-29,15
2016-10-30,14
2016-10-31,40
2016-11-02,28
2016-11-03,25
2016-11-04,15
2016-11-05,35
2016-11-06,33
2016-11-07,15
2016-11-09,26
2016-11-10,15
2016-11-11,11
2016-11-12,27
2016-11-13,30
2016-11-14,41
2016-11-16,25
2016-11-17,17
2016-11-18,21
2016-11-19,19
2016-11-20,23
2016-11-21,17
2016-11-22,1
2016-11-23,27
2016-11-24,22
2016-11-25,18
2016-11-26,17
2016-11-27,8
2016-11-28,20
2016-11-29,8
2016-11-30,17
2016-12-01,46
2016-12-02,25
2016-12-03,21
2016-12-04,22
2016-12-05,17
2016-12-06,3
2016-12-07,9
2016-12-08,9
2016-12-09,22
2016-12-10,21
2016-12-11,22
2016-12-12,16
2016-12-13,6
2016-12-14,19
2016-12-15,25
2016-12-16,13
2016-12-17,28
2016-12-18,17
2016-12-19,20
2016-12-20,1
2016-12-21,10
2016-12-22,11
2016-12-23,31
2016-12-24,19
2016-12-25,19
2016-12-26,15
2016-12-28,22
2016-12-29,20
2016-12-30,25
2017-01-05,14
2017-01-06,16
2017-01-07,24
2017-01-08,22
2017-01-09,23
2017-01-11,23
2017-01-12,23
2017-01-13,26
2017-01-14,35
2017-01-15,31
2017-01-16,25
2017-01-18,17
2017-01-19,19
2017-01-20,16
2017-01-21,45
2017-01-22,27
2017-01-23,10
2017-01-24,7
2017-01-25,37
2017-01-26,26
2017-01-27,15
2017-01-28,39
2017-01-29,22
2017-01-30,21
2017-02-01,23
2017-02-02,26
2017-02-03,27
2017-02-04,27
2017-02-05,13
2017-02-06,22
2017-02-08,20
2017-02-09,23
2017-02-10,16
2017-02-11,7
2017-02-12,21
2017-02-13,32
2017-02-15,19
2017-02-16,14
2017-02-17,31
2017-02-18,34
2017-02-19,32
2017-02-20,20
