date,visitors
2016-07-01,22
2016-07-02,24
2016-07-04,12
2016-07-05,21
2016-07-06,22
2016-07-07,6
2016-07-08,16
2016-07-09,22
2016-07-11,14
2016-07-12,19
2016-07-13,3
2016-07-14,13
2016-07-15,18
2016-07-16,23
2016-07-19,10
2016-07-20,5
2016-07-21,1
2016-07-22,18
2016-07-23,17
2016-07-25,5
2016-07-26,12
2016-07-27,1
2016-07-28,11
2016-07-29,18
2016-07-30,16
2016-08-01,8
2016-08-02,7
2016-08-03,13
2016-08-04,8
2016-08-05,21
2016-08-06,14
2016-08-08,14
2016-08-09,5
2016-08-10,16
2016-08-11,13
2016-08-12,24
2016-08-13,22
2016-08-16,8
2016-08-17,18
2016-08-18,22
2016-08-19,20
2016-08-20,9
2016-08-21,2
2016-08-22,13
2016-08-23,7
2016-08-24,15
2016-08-25,11
2016-08-26,17
2016-08-27,15
2016-08-29,4
2016-08-30,12
2016-08-31,12
2016-09-01,10
2016-09-02,22
2016-09-03,20
2016-09-05,15
2016-09-07,12
2016-09-08,11
2016-09-09,13
2016-09-10,13
2016-09-11,6
2016-09-12,7
2016-09-13,11
2016-09-14,16
2016-09-15,10
2016-09-16,17
2016-09-17,20
2016-09-18,15
2016-09-20,14
2016-09-21,13
2016-09-22,17
2016-09-23,21
2016-09-24,20
2016-09-26,16
2016-09-27,6
2016-09-28,7
2016-09-30,15
2016-10-01,17
2016-10-03,9
2016-10-04,11
2016-10-05,13
2016-10-06,7
2016-10-07,21
2016-10-08,14
2016-10-09,14
2016-10-11,15
2016-10-12,10
2016-10-13,4
2016-10-14,12
2016-10-15,25
2016-10-17,18
2016-10-18,6
2016-10-19,24
2016-10-20,6
2016-10-21,14
2016-10-22,24
2016-10-24,10
2016-10-25,15
2016-10-26,14
2016-10-27,8
2016-10-28,4
2016-10-29,21
2016-10-31,7
2016-11-01,13
2016-11-02,17
2016-11-03,11
2016-11-04,11
2016-11-05,22
2016-11-07,16
2016-11-09,4
2016-11-10,2
2016-11-11,24
2016-11-12,20
2016-11-14,7
2016-11-15,4
2016-11-16,14
2016-11-17,12
2016-11-18,8
2016-11-19,26
2016-11-21,12
2016-11-22,20
2016-11-23,9
2016-11-24,2
2016-11-25,9
2016-11-26,20
2016-11-28,2
2016-11-29,10
2016-11-30,15
2016-12-01,4
2016-12-02,25
2016-12-03,18
2016-12-05,10
2016-12-06,14
2016-12-07,20
2016-12-08,21
2016-12-09,14
2016-12-10,19
2016-12-11,5
2016-12-12,12
2016-12-13,11
2016-12-14,16
2016-12-15,12
2016-12-16,25
2016-12-17,24
2016-12-18,3
2016-12-19,5
2016-12-20,13
2016-12-21,9
2016-12-22,20
2016-12-23,18
2016-12-24,14
2016-12-25,9
2016-12-26,20
2016-12-27,19
2016-12-28,27
2016-12-29,31
2016-12-30,19
2017-01-04,13
2017-01-05,16
2017-01-06,18
2017-01-07,20
2017-01-08,16
2017-01-10,8
2017-01-11,4
2017-01-12,12
2017-01-13,21
2017-01-14,19
2017-01-16,10
2017-01-17,9
2017-01-18,15
2017-01-19,14
2017-01-20,20
2017-01-21,24
2017-01-23,3
2017-01-24,14
2017-01-25,16
2017-01-26,9
2017-01-27,20
2017-01-28,22
2017-01-30,11
2017-02-01,7
2017-02-03,17
2017-02-04,26
2017-02-06,17
2017-02-07,6
2017-02-08,3
2017-02-09,6
2017-02-10,17
2017-02-11,20
2017-02-13,25
2017-02-14,11
2017-02-15,8
2017-02-16,14
2017-02-17,26
2017-02-18,18
2017-02-20,7
2017-02-21,23
2017-02-22,16
