date,visitors
2016-07-04,1
2016-07-05,3
2016-07-06,4
2016-07-07,1
2016-07-08,17
2016-07-09,35
2016-07-11,20
2016-07-12,9
2016-07-14,6
2016-07-15,38
2016-07-16,28
2016-07-17,10
2016-07-19,2
2016-07-20,10
2016-07-21,12
2016-07-22,34
2016-07-23,18
2016-07-26,11
2016-07-27,8
2016-07-28,18
2016-07-29,25
2016-08-04,2
2016-08-05,11
2016-08-06,8
2016-08-07,2
2016-08-09,5
2016-08-10,25
2016-08-11,28
2016-08-12,7
2016-08-13,11
2016-08-16,2
2016-08-18,8
2016-08-19,20
2016-08-20,14
2016-08-23,4
2016-08-25,10
2016-08-26,31
2016-08-27,20
2016-08-29,32
2016-08-30,9
2016-09-01,3
2016-09-02,23
2016-09-03,15
2016-09-05,13
2016-09-06,7
2016-09-07,5
2016-09-08,4
2016-09-09,14
2016-09-10,9
2016-09-11,2
2016-09-12,20
2016-09-13,29
2016-09-15,4
2016-09-16,6
2016-09-17,6
2016-09-18,20
2016-09-21,10
2016-09-22,2
2016-09-23,6
2016-09-24,16
2016-09-26,2
2016-09-29,41
2016-09-30,9
2016-10-01,6
2016-10-05,7
2016-10-07,20
2016-10-08,2
2016-10-15,28
2016-10-16,2
2016-10-17,5
2016-10-19,6
2016-10-20,19
2016-10-21,11
2016-10-22,6
2016-10-24,7
2016-10-25,2
2016-10-26,9
2016-10-27,18
2016-10-28,16
2016-10-29,10
2016-11-02,4
2016-11-05,22
2016-11-07,31
2016-11-09,11
2016-11-12,3
2016-11-16,20
2016-11-17,2
2016-11-18,28
2016-11-19,14
2016-11-21,6
2016-11-22,7
2016-11-24,1
2016-11-25,33
2016-11-26,28
2016-11-28,9
2016-11-30,10
2016-12-01,14
2016-12-02,29
2016-12-03,31
2016-12-05,4
2016-12-06,2
2016-12-08,6
2016-12-10,32
2016-12-13,7
2016-12-14,14
2016-12-15,21
2016-12-16,31
2016-12-18,39
2016-12-19,13
2016-12-20,15
2016-12-21,17
2016-12-22,16
2016-12-23,3
2016-12-27,1
2017-01-12,2
2017-01-19,3
2017-01-24,34
2017-01-30,4
2017-02-03,8
2017-02-04,3
2017-02-08,10
