date,visitors
2016-07-01,20
2016-07-02,28
2016-07-03,26
2016-07-04,2
2016-07-05,23
2016-07-06,16
2016-07-07,14
2016-07-08,10
2016-07-09,10
2016-07-10,18
2016-07-11,16
2016-07-12,20
2016-07-13,8
2016-07-14,13
2016-07-15,10
2016-07-16,13
2016-07-17,14
2016-07-18,21
2016-07-19,11
2016-07-20,3
2016-07-21,23
2016-07-22,18
2016-07-23,14
2016-07-24,17
2016-07-25,15
2016-07-26,6
2016-07-27,23
2016-07-28,8
2016-07-29,8
2016-07-30,18
2016-07-31,9
2016-08-01,14
2016-08-02,11
2016-08-03,26
2016-08-04,22
2016-08-05,12
2016-08-06,10
2016-08-07,21
2016-08-08,5
2016-08-09,6
2016-08-10,9
2016-08-11,8
2016-08-12,7
2016-08-13,12
2016-08-14,9
2016-08-16,5
2016-08-17,13
2016-08-18,17
2016-08-19,14
2016-08-20,11
2016-08-21,5
2016-08-22,4
2016-08-23,10
2016-08-24,13
2016-08-25,20
2016-08-26,9
2016-08-27,12
2016-08-28,16
2016-08-29,7
2016-08-30,8
2016-08-31,12
2016-09-01,7
2016-09-02,18
2016-09-03,11
2016-09-04,17
2016-09-05,6
2016-09-06,8
2016-09-07,16
2016-09-08,2
2016-09-09,16
2016-09-10,5
2016-09-11,4
2016-09-12,12
2016-09-13,3
2016-09-14,6
2016-09-15,3
2016-09-16,7
2016-09-17,5
2016-09-18,5
2016-09-19,14
2016-09-20,1
2016-09-21,12
2016-09-22,8
2016-09-23,9
2016-09-24,15
2016-09-25,17
2016-09-26,11
2016-09-27,8
2016-09-28,6
2016-09-29,4
2016-09-30,9
2016-10-01,16
2016-10-02,13
2016-10-03,11
2016-10-04,3
2016-10-05,12
2016-10-06,11
2016-10-07,15
2016-10-08,6
2016-10-09,8
2016-10-10,9
2016-10-11,23
2016-10-12,1
2016-10-13,6
2016-10-14,12
2016-10-15,15
2016-10-16,15
2016-10-17,6
2016-10-18,8
2016-10-19,2
2016-10-20,7
2016-10-21,16
2016-10-22,10
2016-10-23,11
2016-10-24,11
2016-10-25,5
2016-10-26,9
2016-10-27,14
2016-10-28,18
2016-10-29,13
2016-10-30,11
2016-10-31,8
2016-11-01,7
2016-11-02,15
2016-11-03,9
2016-11-04,11
2016-11-05,6
2016-11-06,10
2016-11-07,7
2016-11-08,2
2016-11-09,8
2016-11-10,13
2016-11-11,7
2016-11-12,10
2016-11-13,8
2016-11-14,12
2016-11-15,13
2016-11-16,4
2016-11-17,21
2016-11-18,10
2016-11-19,8
2016-11-20,8
2016-11-21,10
2016-11-22,6
2016-11-23,18
2016-11-24,5
2016-11-25,4
2016-11-26,10
2016-11-27,16
2016-11-28,6
2016-11-29,10
2016-11-30,10
2016-12-01,8
2016-12-02,7
2016-12-03,9
2016-12-04,6
2016-12-05,8
2016-12-06,6
2016-12-07,14
2016-12-08,5
2016-12-09,20
2016-12-10,20
2016-12-11,19
2016-12-12,8
2016-12-13,12
2016-12-14,18
2016-12-15,4
2016-12-16,18
2016-12-17,6
2016-12-18,24
2016-12-19,11
2016-12-20,4
2016-12-21,9
2016-12-22,21
2016-12-23,21
2016-12-24,7
2016-12-25,8
2016-12-26,4
2016-12-27,8
2016-12-28,5
2016-12-29,24
2016-12-30,15
2016-12-31,10
2017-01-01,22
2017-01-02,17
2017-01-03,3
2017-01-04,10
2017-01-05,7
2017-01-06,3
2017-01-07,12
2017-01-08,12
2017-01-09,9
2017-01-10,10
2017-01-11,10
2017-01-12,11
2017-01-13,7
2017-01-14,11
2017-01-15,12
2017-01-16,4
2017-01-17,10
2017-01-18,20
2017-01-19,5
2017-01-20,9
2017-01-21,15
2017-01-22,18
2017-01-23,8
2017-01-24,8
2017-01-25,21
2017-01-26,21
2017-01-27,19
2017-01-28,12
2017-01-29,24
2017-01-30,3
2017-01-31,8
2017-02-01,8
2017-02-02,14
2017-02-03,15
2017-02-04,8
2017-02-05,9
2017-02-06,18
2017-02-07,4
2017-02-08,18
2017-02-09,10
2017-02-10,7
2017-02-11,16
2017-02-12,8
2017-02-13,10
2017-02-14,10
2017-02-15,6
2017-02-16,6
2017-02-17,6
2017-02-18,18
2017-02-19,16
2017-02-20,8
2017-02-21,12
2017-02-22,22
