date,visitors
2016-01-04,21
2016-01-05,21
2016-01-06,9
2016-01-07,5
2016-01-08,38
2016-01-09,22
2016-01-10,32
2016-01-11,57
2016-01-12,9
2016-01-13,20
2016-01-14,24
2016-01-15,47
2016-01-16,39
2016-01-17,28
2016-01-18,26
2016-01-19,1
2016-01-20,32
2016-01-21,14
2016-01-22,16
2016-01-23,23
2016-01-24,36
2016-01-25,14
2016-01-26,1
2016-01-27,23
2016-01-28,26
2016-01-29,27
2016-01-30,47
2016-01-31,37
2016-02-01,17
2016-02-02,13
2016-02-03,13
2016-02-04,10
2016-02-05,7
2016-02-06,15
2016-02-07,27
2016-02-08,11
2016-02-09,26
2016-02-10,25
2016-02-11,29
2016-02-12,45
2016-02-13,46
2016-02-14,19
2016-02-15,8
2016-02-16,1
2016-02-17,30
2016-02-18,22
2016-02-19,16
2016-02-20,40
2016-02-21,34
2016-02-22,46
2016-02-24,9
2016-02-25,21
2016-02-26,33
2016-02-27,64
2016-02-28,32
2016-02-29,28
2016-03-01,8
2016-03-02,9
2016-03-03,26
2016-03-04,33
2016-03-05,37
2016-03-06,33
2016-03-07,26
2016-03-09,11
2016-03-10,13
2016-03-11,43
2016-03-12,58
2016-03-13,39
2016-03-14,26
2016-03-15,12
2016-03-16,26
2016-03-17,21
2016-03-18,33
2016-03-19,38
2016-03-20,42
2016-03-21,31
2016-03-23,21
2016-03-24,20
2016-03-25,35
2016-03-26,44
2016-03-27,40
2016-03-28,37
2016-03-29,8
2016-03-30,48
2016-03-31,39
2016-04-01,19
2016-04-02,28
2016-04-03,26
2016-04-04,27
2016-04-05,9
2016-04-06,13
2016-04-07,10
2016-04-08,14
2016-04-09,55
2016-04-10,27
2016-04-11,12
2016-04-12,4
2016-04-13,30
2016-04-14,19
2016-04-15,31
2016-04-16,54
2016-04-17,61
2016-04-18,40
2016-04-19,20
2016-04-20,23
2016-04-21,8
2016-04-22,25
2016-04-23,46
2016-04-24,39
2016-04-25,24
2016-04-26,26
2016-04-27,9
2016-04-28,33
2016-04-29,41
2016-04-30,39
2016-05-01,38
2016-05-02,36
2016-05-03,24
2016-05-04,56
2016-05-05,24
2016-05-06,24
2016-05-07,28
2016-05-08,9
2016-05-09,3
2016-05-10,11
2016-05-11,28
2016-05-12,24
2016-05-13,32
2016-05-14,36
2016-05-15,27
2016-05-16,11
2016-05-17,19
2016-05-18,15
2016-05-19,23
2016-05-20,22
2016-05-21,45
2016-05-22,90
2016-05-23,36
2016-05-24,11
2016-05-25,21
2016-05-26,20
2016-05-27,34
2016-05-28,38
2016-05-29,47
2016-05-30,25
2016-05-31,24
2016-06-01,30
2016-06-02,19
2016-06-03,42
2016-06-04,36
2016-06-05,36
2016-06-06,18
2016-06-07,25
2016-06-08,10
2016-06-09,15
2016-06-10,52
2016-06-11,77
2016-06-12,68
2016-06-13,17
2016-06-14,7
