date,visitors
2016-07-01,23
2016-07-02,11
2016-07-03,23
2016-07-04,25
2016-07-05,16
2016-07-06,26
2016-07-07,16
2016-07-08,40
2016-07-09,21
2016-07-11,28
2016-07-12,28
2016-07-13,22
2016-07-14,27
2016-07-15,33
2016-07-16,18
2016-07-17,25
2016-07-18,11
2016-07-19,25
2016-07-20,26
2016-07-21,26
2016-07-22,23
2016-07-23,26
2016-07-24,10
2016-07-25,24
2016-07-26,19
2016-07-27,37
2016-07-28,16
2016-07-29,23
2016-07-30,24
2016-07-31,19
2016-08-01,27
2016-08-02,18
2016-08-03,31
2016-08-04,25
2016-08-05,22
2016-08-06,24
2016-08-07,20
2016-08-08,21
2016-08-09,30
2016-08-10,42
2016-08-11,20
2016-08-12,23
2016-08-13,23
2016-08-15,20
2016-08-16,18
2016-08-17,27
2016-08-18,32
2016-08-19,30
2016-08-20,31
2016-08-21,27
2016-08-22,16
2016-08-23,26
2016-08-24,23
2016-08-25,39
2016-08-26,30
2016-08-27,30
2016-08-28,20
2016-08-29,22
2016-08-30,30
2016-08-31,23
2016-09-01,35
2016-09-02,29
2016-09-03,30
2016-09-04,25
2016-09-05,37
2016-09-06,26
2016-09-07,22
2016-09-08,34
2016-09-09,30
2016-09-10,33
2016-09-12,29
2016-09-13,20
2016-09-14,33
2016-09-15,28
2016-09-16,31
2016-09-17,17
2016-09-18,20
2016-09-19,15
2016-09-20,14
2016-09-21,35
2016-09-22,15
2016-09-23,25
2016-09-24,19
2016-09-25,19
2016-09-26,28
2016-09-27,26
2016-09-28,19
2016-09-29,24
2016-09-30,36
2016-10-01,27
2016-10-02,28
2016-10-03,27
2016-10-04,20
2016-10-05,21
2016-10-06,22
2016-10-07,32
2016-10-08,38
2016-10-10,22
2016-10-11,33
2016-10-12,28
2016-10-13,28
2016-10-14,26
2016-10-15,20
2016-10-16,28
2016-10-17,23
2016-10-18,29
2016-10-19,33
2016-10-20,26
2016-10-21,22
2016-10-22,36
2016-10-23,19
2016-10-24,25
2016-10-25,25
2016-10-26,25
2016-10-27,41
2016-10-28,20
2016-10-29,22
2016-10-30,30
2016-10-31,22
2016-11-01,28
2016-11-02,26
2016-11-03,19
2016-11-04,18
2016-11-05,24
2016-11-06,22
2016-11-07,33
2016-11-08,37
2016-11-09,21
2016-11-10,28
2016-11-11,24
2016-11-12,30
2016-11-14,21
2016-11-15,17
2016-11-16,18
2016-11-17,37
2016-11-18,39
2016-11-19,25
2016-11-20,23
2016-11-21,28
2016-11-22,29
2016-11-23,22
2016-11-24,19
2016-11-25,38
2016-11-27,29
2016-11-28,39
2016-11-29,31
2016-11-30,26
2016-12-01,24
2016-12-02,32
2016-12-03,29
2016-12-04,32
2016-12-05,21
2016-12-06,32
2016-12-07,24
2016-12-08,19
2016-12-09,36
2016-12-10,36
2016-12-12,22
2016-12-13,23
2016-12-14,22
2016-12-15,29
2016-12-16,27
2016-12-17,40
2016-12-18,29
2016-12-19,26
2016-12-20,23
2016-12-21,30
2016-12-22,42
2016-12-23,24
2016-12-24,45
2016-12-25,23
2016-12-26,42
2016-12-27,29
2016-12-28,36
2017-01-05,27
2017-01-06,25
2017-01-07,21
2017-01-09,18
2017-01-10,27
2017-01-11,29
2017-01-12,25
2017-01-13,34
2017-01-14,27
2017-01-15,25
2017-01-16,25
2017-01-17,25
2017-01-18,38
2017-01-19,34
2017-01-20,45
2017-01-21,42
2017-01-22,26
2017-01-23,31
2017-01-24,28
2017-01-25,30
2017-01-26,30
2017-01-27,29
2017-01-28,35
2017-01-29,24
2017-01-30,32
2017-01-31,36
2017-02-01,48
2017-02-02,30
2017-02-03,23
2017-02-04,33
2017-02-05,25
2017-02-06,39
2017-02-07,32
2017-02-08,27
2017-02-09,28
2017-02-10,28
2017-02-11,23
2017-02-13,29
2017-02-14,34
2017-02-15,43
2017-02-16,33
2017-02-17,30
2017-02-18,42
2017-02-19,28
2017-02-20,26
2017-02-21,32
2017-02-22,29
2017-02-23,33
