date,visitors
2016-01-05,7
2016-01-06,15
2016-01-07,13
2016-01-08,19
2016-01-09,19
2016-01-10,17
2016-01-11,18
2016-01-13,18
2016-01-14,22
2016-01-15,15
2016-01-16,17
2016-01-17,22
2016-01-18,10
2016-01-20,11
2016-01-21,14
2016-01-22,18
2016-01-23,17
2016-01-24,10
2016-01-25,10
2016-01-27,19
2016-01-28,17
2016-01-29,11
2016-01-30,18
2016-01-31,21
2016-02-01,18
2016-02-03,21
2016-02-04,13
2016-02-05,16
2016-02-06,37
2016-02-07,25
2016-02-08,18
2016-02-10,15
2016-02-11,16
2016-02-12,25
2016-02-13,17
2016-02-14,26
2016-02-15,15
2016-02-17,25
2016-02-18,31
2016-02-19,24
2016-02-20,17
2016-02-21,24
2016-02-22,12
2016-02-24,13
2016-02-25,28
2016-02-26,24
2016-02-27,20
2016-02-28,37
2016-02-29,19
2016-03-03,24
2016-03-04,16
2016-03-05,39
2016-03-06,38
2016-03-07,23
2016-03-08,23
2016-03-10,50
2016-03-11,59
2016-03-12,45
2016-03-13,68
2016-03-14,29
2016-03-15,47
2016-03-17,72
2016-03-18,39
2016-03-19,60
2016-03-20,74
2016-03-21,73
2016-03-22,61
2016-03-24,50
2016-03-25,44
2016-03-26,69
2016-03-27,62
2016-03-28,59
2016-03-29,54
2016-03-31,49
2016-04-01,33
2016-04-02,61
2016-04-03,66
2016-04-05,53
2016-04-06,40
2016-04-07,22
2016-04-08,30
2016-04-09,85
2016-04-10,83
2016-04-12,35
2016-04-13,27
2016-04-14,43
2016-04-15,36
2016-04-16,66
2016-04-17,64
2016-04-19,35
2016-04-20,36
2016-04-21,27
2016-04-22,40
2016-04-23,54
2016-04-24,73
2016-04-26,41
2016-04-27,33
2016-04-28,37
2016-04-29,57
2016-04-30,68
2016-05-01,58
2016-05-03,58
2016-05-04,53
2016-05-05,55
2016-05-06,42
2016-05-07,58
2016-05-08,69
2016-05-11,41
2016-05-12,46
2016-05-13,41
2016-05-14,70
2016-05-15,74
2016-05-17,56
