date,visitors
2016-01-06,9
2016-01-07,3
2016-01-09,4
2016-01-10,1
2016-01-12,4
2016-01-13,4
2016-01-14,1
2016-01-15,2
2016-01-16,7
2016-01-17,1
2016-01-18,2
2016-01-19,6
2016-01-20,3
2016-01-21,3
2016-01-22,2
2016-01-23,3
2016-01-24,1
2016-01-25,2
2016-01-26,3
2016-01-27,5
2016-01-28,3
2016-01-30,2
2016-01-31,1
2016-02-01,1
2016-02-02,5
2016-02-03,2
2016-02-04,5
2016-02-05,1
2016-02-06,15
2016-02-07,5
2016-02-08,3
2016-02-09,2
2016-02-10,2
2016-02-11,5
2016-02-12,2
2016-02-13,17
2016-02-15,5
2016-02-16,4
2016-02-17,1
2016-02-18,5
2016-02-19,5
2016-02-20,3
2016-02-22,9
2016-02-23,15
2016-02-24,11
2016-02-25,16
2016-02-26,13
2016-02-28,20
2016-02-29,9
2016-03-01,23
2016-03-02,11
2016-03-03,24
2016-03-04,15
2016-03-05,7
2016-03-06,3
2016-03-07,6
2016-03-08,13
2016-03-09,14
2016-03-10,8
2016-03-11,19
2016-03-12,13
2016-03-14,10
2016-03-15,7
2016-03-16,16
2016-03-17,10
2016-03-18,15
2016-03-19,4
2016-03-20,1
2016-03-22,10
2016-03-23,17
2016-03-24,7
2016-03-25,15
2016-03-26,7
2016-03-28,11
2016-03-29,18
2016-03-30,21
2016-03-31,20
2016-04-01,10
2016-04-03,2
2016-04-04,8
2016-04-05,12
2016-04-06,13
2016-04-07,12
2016-04-08,11
2016-04-09,10
2016-04-11,18
2016-04-12,22
2016-04-13,8
2016-04-14,12
2016-04-15,11
2016-04-16,3
2016-04-17,2
2016-04-19,23
2016-04-20,20
2016-04-21,14
2016-04-22,24
2016-04-23,9
2016-04-24,4
2016-04-25,2
2016-04-26,20
2016-04-27,18
2016-04-28,16
2016-04-29,5
2016-04-30,14
2016-05-01,1
2016-05-06,1
2016-05-07,7
2016-05-08,1
2016-05-09,3
2016-05-10,13
2016-05-11,11
2016-05-12,11
2016-05-13,12
2016-05-14,7
2016-05-15,4
2016-05-16,3
2016-05-17,11
2016-05-18,8
2016-05-19,7
2016-05-20,8
2016-05-21,9
2016-05-22,1
2016-05-23,3
2016-05-24,12
2016-05-25,6
2016-05-26,12
2016-05-27,24
2016-05-28,3
2016-05-30,6
2016-05-31,18
2016-06-01,15
2016-06-02,21
2016-06-03,14
2016-06-04,4
2016-06-05,1
2016-06-06,1
2016-06-07,15
2016-06-08,21
2016-06-09,13
2016-06-10,14
2016-06-11,10
2016-06-12,1
2016-06-13,9
2016-06-14,11
2016-06-15,20
2016-06-16,6
2016-06-17,15
2016-06-18,8
2016-06-19,5
2016-06-21,9
2016-06-22,17
2016-06-23,5
2016-06-24,5
2016-06-25,15
2016-06-27,2
2016-06-28,10
2016-06-29,7
2016-06-30,11
2016-07-01,14
2016-07-02,11
2016-07-03,1
2016-07-05,9
2016-07-06,16
2016-07-07,16
2016-07-08,8
2016-07-09,9
2016-07-10,1
2016-07-11,1
2016-07-12,10
2016-07-13,8
2016-07-14,6
2016-07-15,8
2016-07-16,9
2016-07-19,20
2016-07-20,10
2016-07-21,9
2016-07-22,13
2016-07-23,13
2016-07-25,4
2016-07-26,3
2016-07-27,4
2016-07-29,5
2016-07-30,7
2016-07-31,2
2016-08-02,3
2016-08-03,3
2016-08-04,7
2016-08-05,4
2016-08-06,7
2016-08-07,5
2016-08-08,2
2016-08-09,11
2016-08-10,1
2016-08-15,9
2016-08-16,3
2016-08-17,4
2016-08-19,2
2016-08-20,4
2016-08-21,1
2016-08-23,5
2016-08-24,17
2016-08-25,5
2016-08-26,2
2016-08-27,11
2016-08-28,1
2016-08-30,8
2016-08-31,2
2016-09-01,4
2016-09-02,1
2016-09-03,11
2016-09-04,1
2016-09-05,5
2016-09-06,6
2016-09-07,3
2016-09-08,6
2016-09-09,5
2016-09-10,31
2016-09-11,1
2016-09-12,29
2016-09-13,6
2016-09-14,1
2016-09-15,4
2016-09-16,1
2016-09-17,9
2016-09-18,1
2016-09-20,1
2016-09-21,1
2016-09-22,3
2016-09-23,5
2016-09-24,10
2016-09-27,2
2016-09-28,3
2016-09-29,2
2016-09-30,15
2016-10-01,13
2016-10-03,2
2016-10-04,11
2016-10-06,5
