date,visitors
2016-07-01,17
2016-07-02,2
2016-07-04,4
2016-07-05,7
2016-07-07,2
2016-07-08,5
2016-07-09,17
2016-07-10,5
2016-07-11,5
2016-07-12,7
2016-07-14,2
2016-07-15,6
2016-07-16,14
2016-07-17,17
2016-07-20,2
2016-07-21,11
2016-07-22,7
2016-07-23,8
2016-07-24,2
2016-07-25,2
2016-07-26,2
2016-07-27,1
2016-07-28,8
2016-07-29,13
2016-07-30,13
2016-08-01,14
2016-08-02,9
2016-08-05,9
2016-08-06,6
2016-08-07,5
2016-08-08,4
2016-08-09,2
2016-08-11,4
2016-08-12,2
2016-08-13,2
2016-08-14,6
2016-08-15,4
2016-08-16,9
2016-08-19,6
2016-08-20,13
2016-08-21,2
2016-08-22,2
2016-08-23,4
2016-08-25,4
2016-08-26,26
2016-08-27,11
2016-08-28,6
2016-08-29,4
2016-08-30,3
2016-08-31,2
2016-09-01,2
2016-09-02,6
2016-09-03,9
2016-09-04,2
2016-09-05,11
2016-09-06,6
2016-09-08,2
2016-09-09,15
2016-09-10,11
2016-09-11,7
2016-09-13,2
2016-09-15,6
2016-09-16,8
2016-09-17,13
2016-09-18,11
2016-09-20,7
2016-09-22,13
2016-09-23,6
2016-09-25,8
2016-09-26,6
2016-09-27,6
2016-09-29,8
2016-09-30,9
2016-10-01,9
2016-10-02,10
2016-10-04,10
2016-10-05,2
2016-10-06,12
2016-10-07,14
2016-10-08,10
2016-10-09,34
2016-10-10,25
2016-10-11,2
2016-10-13,2
2016-10-14,8
2016-10-15,14
2016-10-16,8
2016-10-17,8
2016-10-18,8
2016-10-20,14
2016-10-21,5
2016-10-22,19
2016-10-23,10
2016-10-25,5
2016-10-26,5
2016-10-27,4
2016-10-28,22
2016-10-29,21
2016-10-30,6
2016-10-31,4
2016-11-02,4
2016-11-03,6
2016-11-04,22
2016-11-05,20
2016-11-06,8
2016-11-07,6
2016-11-08,11
2016-11-09,4
2016-11-10,2
2016-11-11,14
2016-11-12,12
2016-11-13,16
2016-11-14,5
2016-11-15,13
2016-11-17,4
2016-11-18,18
2016-11-19,22
2016-11-20,12
2016-11-21,13
2016-11-22,25
2016-11-23,5
2016-11-25,23
2016-11-26,21
2016-11-27,19
2016-11-28,10
2016-11-29,18
2016-11-30,2
2016-12-01,11
2016-12-02,28
2016-12-03,24
2016-12-04,30
2016-12-05,9
2016-12-06,12
2016-12-07,8
2016-12-08,11
2016-12-09,19
2016-12-10,23
2016-12-11,23
2016-12-12,6
2016-12-13,14
2016-12-14,21
2016-12-15,14
2016-12-16,20
2016-12-17,22
2016-12-18,10
2016-12-19,16
2016-12-20,16
2016-12-22,22
2016-12-23,13
2016-12-24,16
2016-12-25,44
2016-12-26,21
2016-12-27,17
2016-12-28,13
2016-12-29,29
2016-12-30,24
2016-12-31,35
2017-01-01,25
2017-01-02,30
2017-01-03,32
2017-01-04,12
2017-01-05,6
2017-01-06,24
2017-01-07,20
2017-01-08,20
2017-01-09,12
2017-01-10,13
2017-01-11,33
2017-01-12,14
2017-01-13,13
2017-01-14,21
2017-01-15,15
2017-01-16,6
2017-01-17,2
2017-01-18,9
2017-01-19,11
2017-01-20,21
2017-01-21,13
2017-01-22,6
2017-01-24,7
2017-01-25,11
2017-01-26,29
2017-01-27,24
2017-01-28,20
2017-01-29,10
2017-01-30,10
2017-01-31,2
2017-02-01,2
2017-02-02,4
2017-02-03,23
2017-02-04,22
2017-02-05,23
2017-02-06,7
2017-02-07,9
2017-02-08,17
2017-02-09,8
2017-02-10,25
2017-02-11,24
2017-02-12,25
2017-02-13,7
2017-02-14,14
2017-02-15,6
2017-02-16,21
2017-02-17,17
2017-02-18,24
2017-02-19,18
2017-02-20,8
2017-02-21,9
2017-02-22,9
2017-02-23,4
2017-02-24,32
2017-02-25,26
2017-02-26,25
