date,visitors
2016-07-01,49
2016-07-02,43
2016-07-03,39
2016-07-04,40
2016-07-05,37
2016-07-06,64
2016-07-07,41
2016-07-08,30
2016-07-09,23
2016-07-13,15
2016-07-14,62
2016-07-15,46
2016-07-16,38
2016-07-17,32
2016-07-18,25
2016-07-19,36
2016-07-20,43
2016-07-21,25
2016-07-22,59
2016-07-23,28
2016-07-24,26
2016-07-25,26
2016-07-26,31
2016-07-27,36
2016-07-28,52
2016-07-29,62
2016-07-30,41
2016-07-31,32
2016-08-01,37
2016-08-02,41
2016-08-03,36
2016-08-04,55
2016-08-05,44
2016-08-06,21
2016-08-07,29
2016-08-08,27
2016-08-09,31
2016-08-10,48
2016-08-11,44
2016-08-12,21
2016-08-13,25
2016-08-14,33
2016-08-15,35
2016-08-16,23
2016-08-17,24
2016-08-18,24
2016-08-19,40
2016-08-20,50
2016-08-21,38
2016-08-22,28
2016-08-23,37
2016-08-24,24
2016-08-25,44
2016-08-26,43
2016-08-27,38
2016-08-28,49
2016-08-29,29
2016-08-30,31
2016-08-31,47
2016-09-01,27
2016-09-02,48
2016-09-03,62
2016-09-04,36
2016-09-05,32
2016-09-06,38
2016-09-07,30
2016-09-08,48
2016-09-09,56
2016-09-10,31
2016-09-11,34
2016-09-12,22
2016-09-13,32
2016-09-14,40
2016-09-15,23
2016-09-16,57
2016-09-17,23
2016-09-18,25
2016-09-19,10
2016-09-20,14
2016-09-21,56
2016-09-22,32
2016-09-23,31
2016-09-24,15
2016-09-25,13
2016-09-26,32
2016-09-27,21
2016-09-28,55
2016-09-29,41
2016-09-30,27
2016-10-01,25
2016-10-02,51
2016-10-03,56
2016-10-04,33
2016-10-05,38
2016-10-06,38
2016-10-07,51
2016-10-08,13
2016-10-09,27
2016-10-10,10
2016-10-11,23
2016-10-12,64
2016-10-13,65
2016-10-14,23
2016-10-15,37
2016-10-16,15
2016-10-17,24
2016-10-18,39
2016-10-19,20
2016-10-20,58
2016-10-21,49
2016-10-22,56
2016-10-23,28
2016-10-24,44
2016-10-25,45
2016-10-26,34
2016-10-27,22
2016-10-28,72
2016-10-29,45
2016-10-30,42
2016-10-31,35
2016-11-01,33
2016-11-02,29
2016-11-03,44
2016-11-04,28
2016-11-05,14
2016-11-06,21
2016-11-07,10
2016-11-08,20
2016-11-09,27
2016-11-10,17
2016-11-11,68
2016-11-12,30
2016-11-13,31
2016-11-14,30
2016-11-15,41
2016-11-16,44
2016-11-17,3
2016-11-18,43
2016-11-19,45
2016-11-20,60
2016-11-21,29
2016-11-22,29
2016-11-23,38
2016-11-24,35
2016-11-25,51
2016-11-26,52
2016-11-27,27
2016-11-28,55
2016-11-29,47
2016-11-30,29
2016-12-01,36
2016-12-02,49
2016-12-03,24
2016-12-04,45
2016-12-05,31
2016-12-06,15
2016-12-07,47
2016-12-08,27
2016-12-09,67
2016-12-10,41
2016-12-11,35
2016-12-12,30
2016-12-13,27
2016-12-14,45
2016-12-15,35
2016-12-16,83
2016-12-17,58
2016-12-18,45
2016-12-19,37
2016-12-20,61
2016-12-21,40
2016-12-22,43
2016-12-23,29
2016-12-24,56
2016-12-25,49
2016-12-26,31
2016-12-27,37
2016-12-28,44
2016-12-29,68
2016-12-30,21
2016-12-31,7
2017-01-05,10
2017-01-06,34
2017-01-07,39
2017-01-08,24
2017-01-09,20
2017-01-10,24
2017-01-11,40
2017-01-12,35
2017-01-13,54
2017-01-14,32
2017-01-15,45
2017-01-16,20
2017-01-17,24
2017-01-18,43
2017-01-19,64
2017-01-20,60
2017-01-21,31
2017-01-22,17
2017-01-23,23
2017-01-24,63
2017-01-25,34
2017-01-26,21
2017-01-27,38
2017-01-28,40
2017-01-29,31
2017-01-30,24
2017-01-31,45
2017-02-01,53
2017-02-02,41
2017-02-03,62
2017-02-04,46
2017-02-05,44
2017-02-06,24
2017-02-07,46
2017-02-08,57
2017-02-09,26
2017-02-10,61
2017-02-11,31
2017-02-12,18
2017-02-13,11
2017-02-14,24
2017-02-15,27
2017-02-16,46
2017-02-17,44
2017-02-18,34
2017-02-19,32
2017-02-20,25
2017-02-21,13
2017-02-22,52
2017-02-23,57
