date,visitors
2016-07-01,29
2016-07-02,90
2016-07-03,39
2016-07-04,51
2016-07-05,49
2016-07-06,21
2016-07-07,43
2016-07-08,57
2016-07-09,8
2016-07-10,675
2016-07-11,23
2016-07-12,38
2016-07-13,53
2016-07-14,26
2016-07-15,37
2016-07-16,48
2016-07-17,48
2016-07-18,34
2016-07-19,39
2016-07-20,23
2016-07-21,38
2016-07-22,26
2016-07-23,71
2016-07-24,33
2016-07-25,18
2016-07-26,53
2016-07-27,29
2016-07-28,36
2016-07-29,70
2016-07-30,41
2016-07-31,55
2016-08-01,5
2016-08-02,8
2016-08-03,20
2016-08-04,16
2016-08-05,30
2016-08-06,65
2016-08-07,24
2016-08-08,18
2016-08-09,40
2016-08-10,25
2016-08-11,28
2016-08-12,13
2016-08-13,10
2016-08-14,29
2016-08-15,76
2016-08-16,22
2016-08-17,34
2016-08-18,27
2016-08-19,66
2016-08-20,14
2016-08-21,19
2016-08-22,14
2016-08-23,15
2016-08-24,26
2016-08-25,25
2016-08-26,71
2016-08-27,18
2016-08-28,35
2016-08-29,41
2016-08-30,42
2016-08-31,18
2016-09-01,47
2016-09-02,30
2016-09-03,44
2016-09-04,25
2016-09-05,43
2016-09-06,22
2016-09-07,26
2016-09-08,10
2016-09-09,24
2016-09-10,25
2016-09-11,47
2016-09-12,23
2016-09-13,29
2016-09-14,13
2016-09-15,34
2016-09-16,33
2016-09-17,32
2016-09-18,34
2016-09-19,12
2016-09-20,14
2016-09-21,44
2016-09-22,65
2016-09-23,54
2016-09-24,14
2016-09-25,40
2016-09-26,41
2016-09-27,44
2016-09-28,20
2016-09-29,16
2016-09-30,40
2016-10-01,20
2016-10-02,30
2016-10-03,21
2016-10-04,38
2016-10-05,63
2016-10-06,16
2016-10-07,53
2016-10-08,35
2016-10-09,47
2016-10-10,32
2016-10-11,19
2016-10-12,33
2016-10-13,24
2016-10-14,21
2016-10-15,26
2016-10-16,54
2016-10-17,33
2016-10-18,12
2016-10-19,11
2016-10-20,69
2016-10-21,47
2016-10-22,11
2016-10-23,35
2016-10-24,7
2016-10-25,7
2016-10-26,19
2016-10-27,16
2016-10-28,26
2016-10-29,52
2016-10-30,56
2016-10-31,25
2016-11-01,18
2016-11-02,51
2016-11-03,37
2016-11-04,8
2016-11-05,38
2016-11-06,22
2016-11-07,54
2016-11-08,12
2016-11-09,42
2016-11-10,34
2016-11-11,21
2016-11-12,23
2016-11-13,32
2016-11-14,19
2016-11-15,12
2016-11-16,31
2016-11-17,30
2016-11-18,41
2016-11-19,28
2016-11-20,36
2016-11-21,44
2016-11-22,22
2016-11-23,47
2016-11-24,37
2016-11-25,36
2016-11-26,18
2016-11-27,25
2016-11-28,15
2016-11-29,12
2016-11-30,5
2016-12-01,33
2016-12-02,41
2016-12-03,57
2016-12-04,24
2016-12-05,21
2016-12-06,9
2016-12-07,16
2016-12-08,34
2016-12-09,62
2016-12-10,22
2016-12-11,26
2016-12-12,46
2016-12-13,34
2016-12-14,26
2016-12-15,32
2016-12-16,37
2016-12-17,43
2016-12-18,47
2016-12-19,12
2016-12-20,23
2016-12-21,60
2016-12-22,46
2016-12-23,57
2016-12-24,30
2016-12-25,16
2016-12-26,23
2016-12-27,20
2016-12-28,38
2016-12-29,43
2016-12-30,10
2017-01-03,27
2017-01-04,14
2017-01-05,45
2017-01-06,30
2017-01-07,18
2017-01-08,39
2017-01-09,25
2017-01-10,25
2017-01-11,13
2017-01-12,33
2017-01-13,99
2017-01-14,55
2017-01-15,19
2017-01-16,30
2017-01-17,17
2017-01-18,22
2017-01-19,27
2017-01-20,10
2017-01-21,12
2017-01-22,43
2017-01-23,21
2017-01-24,17
2017-01-25,23
2017-01-26,25
2017-01-27,23
2017-01-28,49
2017-01-29,28
2017-01-30,27
2017-01-31,49
2017-02-01,14
2017-02-02,37
2017-02-03,18
2017-02-04,30
2017-02-05,17
2017-02-06,26
2017-02-07,28
2017-02-08,12
2017-02-09,19
2017-02-10,65
2017-02-11,16
2017-02-12,17
2017-02-13,66
2017-02-14,23
2017-02-15,22
2017-02-16,18
2017-02-17,44
2017-02-18,27
2017-02-19,14
2017-02-20,12
2017-02-21,10
2017-02-22,14
