date,visitors
2016-02-05,2
2016-02-07,1
2016-03-23,2
2016-04-28,2
2016-04-30,12
2016-05-01,19
2016-05-02,35
2016-05-03,22
2016-05-04,22
2016-05-05,11
2016-05-06,24
2016-05-07,34
2016-05-08,9
2016-05-09,18
2016-05-10,11
2016-05-11,13
2016-05-12,14
2016-05-13,31
2016-05-14,20
2016-05-15,17
2016-05-16,24
2016-05-17,21
2016-05-18,9
2016-05-19,8
2016-05-20,25
2016-05-21,17
2016-05-22,23
2016-05-23,10
2016-05-24,14
2016-05-25,11
2016-05-26,10
2016-05-27,36
2016-05-28,19
2016-05-29,13
2016-05-30,6
2016-05-31,3
2016-06-01,5
2016-06-02,30
2016-06-03,27
2016-06-04,11
2016-06-05,8
2016-06-06,9
2016-06-07,3
2016-06-08,12
2016-06-09,11
2016-06-10,27
2016-06-11,10
2016-06-12,13
2016-06-13,13
2016-06-14,16
2016-06-15,11
2016-06-16,16
2016-06-17,13
2016-06-18,7
2016-06-19,9
2016-06-20,6
2016-06-21,20
2016-06-22,13
2016-06-23,8
2016-06-24,23
2016-06-25,23
2016-06-26,12
2016-06-27,25
2016-06-28,4
2016-06-29,15
2016-06-30,18
2016-07-01,15
2016-07-02,18
2016-07-03,5
2016-07-04,4
2016-07-05,13
2016-07-06,10
2016-07-07,13
2016-07-08,18
2016-07-09,12
2016-07-10,9
2016-07-11,17
2016-07-12,12
2016-07-13,16
2016-07-14,15
2016-07-16,7
2016-07-17,10
2016-07-18,9
2016-07-19,21
2016-07-20,4
2016-07-21,28
2016-07-22,31
2016-07-23,5
2016-07-24,6
2016-07-25,13
2016-07-26,17
2016-07-27,24
2016-07-28,8
2016-07-29,30
2016-07-30,16
2016-07-31,14
2016-08-01,12
2016-08-02,14
2016-08-03,17
2016-08-04,7
2016-08-05,18
2016-08-06,8
2016-08-07,2
2016-08-08,7
2016-08-09,15
2016-08-10,12
2016-08-11,6
2016-08-12,18
2016-08-13,8
2016-08-14,4
2016-08-15,15
2016-08-16,6
2016-08-17,8
2016-08-18,15
2016-08-19,16
2016-08-22,14
2016-08-23,27
2016-08-24,10
2016-08-25,6
2016-08-26,26
2016-08-27,19
2016-08-28,5
2016-08-29,4
2016-08-30,7
2016-08-31,11
2016-09-01,16
2016-09-02,12
2016-09-03,6
2016-09-04,10
2016-09-05,8
2016-09-06,9
2016-09-07,13
2016-09-08,9
2016-09-09,18
2016-09-10,5
2016-09-11,4
2016-09-12,13
2016-09-13,9
2016-09-14,8
2016-09-15,20
2016-09-16,14
2016-09-17,3
2016-09-18,16
2016-09-21,13
2016-09-22,5
2016-09-23,12
2016-09-24,8
2016-09-25,9
2016-09-26,18
2016-09-27,6
2016-09-28,8
2016-09-29,17
2016-09-30,6
2016-10-01,15
2016-10-02,4
2016-10-03,5
2016-10-04,5
2016-10-05,80
2016-10-06,18
2016-10-07,11
2016-10-08,18
2016-10-09,6
2016-10-10,6
2016-10-11,7
2016-10-12,17
2016-10-13,15
2016-10-14,14
2016-10-15,21
2016-10-17,9
2016-10-18,10
2016-10-19,15
2016-10-20,13
2016-10-21,29
2016-10-22,6
2016-10-23,11
2016-10-24,7
2016-10-25,17
2016-10-26,18
2016-10-27,18
2016-10-28,11
2016-10-29,10
2016-10-30,5
2016-10-31,7
2016-11-01,20
2016-11-02,12
2016-11-03,6
2016-11-04,8
2016-11-05,5
2016-11-07,6
2016-11-08,5
2016-11-09,10
2016-11-10,23
2016-11-11,16
2016-11-12,35
2016-11-13,3
2016-11-14,8
2016-11-15,6
2016-11-16,14
2016-11-17,15
2016-11-18,18
2016-11-19,15
2016-11-20,6
2016-11-21,16
2016-11-22,10
2016-11-23,2
2016-11-24,12
2016-11-25,39
2016-11-26,12
2016-11-28,10
2016-11-29,11
2016-11-30,10
2016-12-01,9
2016-12-02,23
2016-12-03,12
2016-12-05,15
2016-12-06,4
2016-12-07,11
2016-12-08,10
2016-12-09,17
2016-12-10,29
2016-12-11,14
2016-12-12,7
2016-12-13,14
2016-12-14,9
2016-12-15,18
2016-12-16,28
2016-12-17,21
2016-12-18,7
2016-12-19,11
2016-12-20,20
2016-12-21,13
2016-12-22,34
2016-12-23,7
2016-12-24,5
2016-12-25,1
2016-12-26,22
2016-12-27,27
2016-12-28,25
2016-12-29,35
2016-12-30,45
2016-12-31,22
2017-01-01,24
2017-01-03,20
2017-01-04,13
2017-01-05,11
2017-01-06,15
2017-01-07,2
2017-01-08,13
2017-01-09,18
2017-01-10,22
2017-01-11,11
2017-01-12,20
2017-01-13,23
2017-01-14,21
2017-01-15,4
2017-01-16,14
2017-01-17,7
2017-01-18,12
2017-01-19,29
2017-01-20,14
2017-01-21,15
2017-01-22,6
2017-01-23,6
2017-01-24,12
2017-01-25,13
2017-01-26,11
2017-01-27,21
2017-01-28,9
2017-01-30,12
2017-01-31,13
2017-02-01,7
2017-02-02,5
2017-02-03,17
2017-02-04,17
2017-02-05,6
2017-02-06,19
2017-02-07,26
