date,visitors
2016-07-01,15
2016-07-02,15
2016-07-05,8
2016-07-06,3
2016-07-07,6
2016-07-08,8
2016-07-09,12
2016-07-12,10
2016-07-13,7
2016-07-14,9
2016-07-15,20
2016-07-16,15
2016-07-19,1
2016-07-20,2
2016-07-21,5
2016-07-22,15
2016-07-23,7
2016-07-26,9
2016-07-27,9
2016-07-28,15
2016-07-29,19
2016-07-30,15
2016-08-02,6
2016-08-03,2
2016-08-04,9
2016-08-05,8
2016-08-06,12
2016-08-07,2
2016-08-09,11
2016-08-10,21
2016-08-11,4
2016-08-12,9
2016-08-13,2
2016-08-17,4
2016-08-18,8
2016-08-19,11
2016-08-20,12
2016-08-23,9
2016-08-24,12
2016-08-25,23
2016-08-26,14
2016-08-27,15
2016-08-28,2
2016-08-30,5
2016-08-31,15
2016-09-01,11
2016-09-02,12
2016-09-03,34
2016-09-04,2
2016-09-06,5
2016-09-07,11
2016-09-08,11
2016-09-09,12
2016-09-10,15
2016-09-11,3
2016-09-13,6
2016-09-14,6
2016-09-15,16
2016-09-16,19
2016-09-17,21
2016-09-20,5
2016-09-21,17
2016-09-22,3
2016-09-23,16
2016-09-24,17
2016-09-25,3
2016-09-27,3
2016-09-28,3
2016-09-29,12
2016-09-30,16
2016-10-01,21
2016-10-02,3
2016-10-04,9
2016-10-05,8
2016-10-06,17
2016-10-07,13
2016-10-08,11
2016-10-09,1
2016-10-12,17
2016-10-13,11
2016-10-14,14
2016-10-15,31
2016-10-16,4
2016-10-18,6
2016-10-19,4
2016-10-20,16
2016-10-21,15
2016-10-22,37
2016-10-23,2
2016-10-25,8
2016-10-26,25
2016-10-27,11
2016-10-28,11
2016-10-29,17
2016-11-01,6
2016-11-02,21
2016-11-03,6
2016-11-04,9
2016-11-05,19
2016-11-06,4
2016-11-10,9
2016-11-11,18
2016-11-12,10
2016-11-13,2
2016-11-15,16
2016-11-16,11
2016-11-17,25
2016-11-18,28
2016-11-19,32
2016-11-22,13
2016-11-23,5
2016-11-24,5
2016-11-25,14
2016-11-26,10
2016-11-27,4
2016-11-29,1
2016-11-30,9
2016-12-01,21
2016-12-02,13
2016-12-03,19
2016-12-04,7
2016-12-06,12
2016-12-07,8
2016-12-08,7
2016-12-09,6
2016-12-10,18
2016-12-11,9
2016-12-12,5
2016-12-13,14
2016-12-14,21
2016-12-15,14
2016-12-16,10
2016-12-17,26
2016-12-18,12
2016-12-19,2
2016-12-20,16
2016-12-21,26
2016-12-22,27
2016-12-23,1
2016-12-24,7
2016-12-25,5
2016-12-26,4
2016-12-27,10
2016-12-28,4
2016-12-29,27
2016-12-30,7
2017-01-05,6
2017-01-06,20
2017-01-07,27
2017-01-10,17
2017-01-11,1
2017-01-12,8
2017-01-13,10
2017-01-14,9
2017-01-15,6
2017-01-17,14
2017-01-18,23
2017-01-19,3
2017-01-20,9
2017-01-21,18
2017-01-22,3
2017-01-24,9
2017-01-25,4
2017-01-26,6
2017-01-27,18
2017-01-28,16
2017-01-29,5
2017-01-31,13
2017-02-01,14
2017-02-02,1
2017-02-03,9
2017-02-04,17
2017-02-05,24
2017-02-07,11
2017-02-08,1
2017-02-09,5
2017-02-10,15
2017-02-11,12
2017-02-14,12
2017-02-15,12
2017-02-16,6
2017-02-17,15
