date,visitors
2016-01-04,17
2016-01-05,18
2016-01-06,13
2016-01-07,18
2016-01-08,18
2016-01-09,19
2016-01-10,14
2016-01-11,19
2016-01-12,12
2016-01-13,15
2016-01-14,15
2016-01-15,25
2016-01-16,11
2016-01-17,22
2016-01-18,11
2016-01-19,12
2016-01-20,17
2016-01-21,28
2016-01-22,15
2016-01-23,23
2016-01-24,12
2016-01-25,14
2016-01-26,19
2016-01-27,17
2016-01-28,8
2016-01-29,21
2016-01-30,19
2016-01-31,6
2016-02-01,9
2016-02-02,14
2016-02-03,15
2016-02-04,19
2016-02-05,11
2016-02-06,17
2016-02-07,17
2016-02-08,12
2016-02-09,18
2016-02-10,16
2016-02-11,26
2016-02-12,21
2016-02-13,18
2016-02-14,17
2016-02-15,19
2016-02-16,9
2016-02-17,10
2016-02-18,14
2016-02-19,15
2016-02-20,24
2016-02-21,11
2016-02-22,9
2016-02-23,6
2016-02-24,13
2016-02-25,17
2016-02-26,20
2016-02-27,26
2016-02-28,17
2016-02-29,18
2016-03-01,15
2016-03-02,11
2016-03-03,21
2016-03-04,18
2016-03-05,20
2016-03-06,8
2016-03-07,15
2016-03-08,15
2016-03-09,17
2016-03-10,13
2016-03-11,24
2016-03-12,19
2016-03-13,17
2016-03-14,9
2016-03-15,16
2016-03-16,17
2016-03-17,16
2016-03-18,22
2016-03-19,18
2016-03-20,24
2016-03-21,17
2016-03-22,21
2016-03-23,13
2016-03-24,9
2016-03-25,13
2016-03-26,22
2016-03-27,12
2016-03-28,11
2016-03-29,18
2016-03-30,18
2016-03-31,15
2016-04-01,21
2016-04-02,16
2016-04-03,15
2016-04-04,15
2016-04-05,14
2016-04-06,12
2016-04-07,14
2016-04-08,19
2016-04-09,19
2016-04-10,15
2016-04-11,12
2016-04-12,19
2016-04-13,25
2016-04-14,14
2016-04-15,16
2016-04-16,20
2016-04-17,20
2016-04-18,15
2016-04-19,11
2016-04-20,27
2016-04-21,16
2016-04-22,21
2016-04-23,12
2016-04-24,16
2016-04-25,14
2016-04-26,22
2016-04-27,13
2016-04-28,16
2016-04-29,19
2016-04-30,20
2016-05-01,16
2016-05-02,13
2016-05-03,14
2016-05-05,9
2016-05-06,15
2016-05-07,14
2016-05-08,17
2016-05-09,12
2016-05-10,15
2016-05-11,20
2016-05-12,12
2016-05-13,25
2016-05-14,27
2016-05-15,16
2016-05-16,16
2016-05-17,23
2016-05-18,22
2016-05-19,15
2016-05-20,16
2016-05-21,25
2016-05-22,19
2016-05-23,17
2016-05-24,15
2016-05-25,21
2016-05-26,16
2016-05-27,22
2016-05-28,21
2016-05-29,20
2016-05-30,24
2016-05-31,15
2016-06-01,16
2016-06-02,18
2016-06-03,14
2016-06-04,20
2016-06-05,18
2016-06-06,18
2016-06-07,16
2016-06-08,12
2016-06-09,13
2016-06-10,15
2016-06-11,22
2016-06-12,15
2016-06-13,8
2016-06-14,12
