date,visitors
2016-07-01,12
2016-07-02,17
2016-07-03,11
2016-07-04,11
2016-07-05,10
2016-07-06,15
2016-07-07,15
2016-07-08,10
2016-07-09,21
2016-07-10,4
2016-07-11,8
2016-07-12,17
2016-07-13,10
2016-07-14,6
2016-07-15,7
2016-07-16,15
2016-07-17,21
2016-07-18,15
2016-07-19,8
2016-07-20,2
2016-07-21,8
2016-07-22,5
2016-07-23,4
2016-07-24,5
2016-07-25,6
2016-07-26,4
2016-07-27,4
2016-07-28,6
2016-07-29,13
2016-07-30,7
2016-07-31,11
2016-08-01,11
2016-08-02,8
2016-08-03,5
2016-08-04,6
2016-08-05,8
2016-08-06,14
2016-08-07,10
2016-08-08,5
2016-08-09,10
2016-08-10,2
2016-08-11,4
2016-08-12,6
2016-08-13,8
2016-08-14,11
2016-08-15,10
2016-08-16,6
2016-08-17,8
2016-08-18,7
2016-08-19,10
2016-08-20,8
2016-08-21,15
2016-08-22,6
2016-08-23,3
2016-08-24,6
2016-08-25,8
2016-08-26,4
2016-08-27,7
2016-08-28,11
2016-08-29,4
2016-08-30,3
2016-08-31,2
2016-09-01,13
2016-09-02,11
2016-09-03,14
2016-09-04,16
2016-09-05,9
2016-09-06,10
2016-09-07,12
2016-09-08,14
2016-09-09,11
2016-09-10,11
2016-09-11,7
2016-09-12,16
2016-09-13,4
2016-09-14,21
2016-09-15,16
2016-09-16,9
2016-09-17,14
2016-09-18,12
2016-09-19,13
2016-09-20,4
2016-09-21,3
2016-09-22,18
2016-09-23,17
2016-09-24,8
2016-09-25,7
2016-09-26,1
2016-09-27,11
2016-09-28,16
2016-09-29,13
2016-09-30,19
2016-10-01,20
2016-10-02,3
2016-10-03,12
2016-10-04,7
2016-10-05,10
2016-10-06,19
2016-10-07,16
2016-10-08,16
2016-10-09,14
2016-10-10,6
2016-10-11,13
2016-10-12,4
2016-10-13,5
2016-10-14,13
2016-10-15,18
2016-10-16,13
2016-10-17,7
2016-10-18,9
2016-10-19,9
2016-10-20,12
2016-10-21,16
2016-10-22,21
2016-10-23,16
2016-10-24,24
2016-10-25,11
2016-10-26,15
2016-10-27,18
2016-10-28,15
2016-10-29,23
2016-10-30,12
2016-10-31,8
2016-11-01,7
2016-11-02,7
2016-11-03,19
2016-11-04,10
2016-11-05,9
2016-11-06,16
2016-11-07,3
2016-11-08,21
2016-11-09,11
2016-11-10,12
2016-11-11,12
2016-11-12,12
2016-11-13,17
2016-11-14,1
2016-11-15,7
2016-11-16,15
2016-11-17,9
2016-11-18,6
2016-11-19,20
2016-11-20,16
2016-11-21,2
2016-11-22,2
2016-11-23,11
2016-11-24,4
2016-11-25,8
2016-11-26,26
2016-11-27,12
2016-11-28,10
2016-11-29,6
2016-11-30,16
2016-12-01,29
2016-12-02,9
2016-12-03,21
2016-12-04,9
2016-12-05,8
2016-12-06,12
2016-12-07,5
2016-12-08,9
2016-12-09,5
2016-12-10,17
2016-12-11,15
2016-12-12,10
2016-12-13,8
2016-12-14,5
2016-12-15,7
2016-12-16,10
2016-12-17,10
2016-12-18,12
2016-12-19,9
2016-12-20,10
2016-12-21,11
2016-12-22,9
2016-12-23,23
2016-12-24,2
2016-12-25,12
2016-12-26,3
2016-12-27,22
2016-12-28,16
2016-12-29,16
2016-12-30,9
2016-12-31,4
2017-01-02,6
2017-01-03,9
2017-01-04,8
2017-01-05,15
2017-01-06,5
2017-01-07,11
2017-01-08,9
2017-01-09,22
2017-01-10,11
2017-01-11,9
2017-01-12,8
2017-01-13,14
2017-01-14,13
2017-01-15,11
2017-01-16,11
2017-01-17,13
2017-01-18,9
2017-01-19,10
2017-01-20,4
2017-01-21,16
2017-01-22,12
2017-01-23,5
2017-01-24,11
2017-01-25,2
2017-01-26,11
2017-01-27,11
2017-01-28,11
2017-01-29,6
2017-01-30,9
2017-01-31,7
2017-02-01,10
2017-02-02,9
2017-02-03,10
2017-02-04,11
2017-02-05,13
2017-02-06,7
2017-02-07,2
2017-02-08,5
2017-02-09,1
2017-02-10,7
2017-02-11,10
2017-02-12,17
2017-02-13,3
2017-02-14,6
2017-02-15,8
2017-02-16,9
2017-02-17,3
2017-02-18,12
2017-02-19,12
2017-02-20,3
2017-02-21,11
