date,visitors
2016-01-04,26
2016-01-05,65
2016-01-06,40
2016-01-07,71
2016-01-08,39
2016-01-09,30
2016-01-12,68
2016-01-13,49
2016-01-14,47
2016-01-15,78
2016-01-16,19
2016-01-18,83
2016-01-19,63
2016-01-20,30
2016-01-21,63
2016-01-22,51
2016-01-23,24
2016-01-25,93
2016-01-26,44
2016-01-27,50
2016-01-28,28
2016-01-29,39
2016-01-30,16
2016-02-01,62
2016-02-02,49
2016-02-03,51
2016-02-04,74
2016-02-05,56
2016-02-06,21
2016-02-08,51
2016-02-09,52
2016-02-10,38
2016-02-12,53
2016-02-13,17
2016-02-15,54
2016-02-16,11
2016-02-17,70
2016-02-18,62
2016-02-19,55
2016-02-20,7
2016-02-22,82
2016-02-23,10
2016-02-24,49
2016-02-25,54
2016-02-26,60
2016-02-27,21
2016-02-28,10
2016-02-29,57
2016-03-01,60
2016-03-02,66
2016-03-03,50
2016-03-04,55
2016-03-05,19
2016-03-07,51
2016-03-08,52
2016-03-09,31
2016-03-10,47
2016-03-11,81
2016-03-12,28
2016-03-14,63
2016-03-15,73
2016-03-16,51
2016-03-17,26
2016-03-18,59
2016-03-19,15
2016-03-22,61
2016-03-23,55
2016-03-24,52
2016-03-25,63
2016-03-26,23
2016-03-28,76
2016-03-29,52
2016-03-30,48
2016-03-31,77
2016-04-01,62
2016-04-02,22
2016-04-04,62
2016-04-05,66
2016-04-06,62
2016-04-07,34
2016-04-08,38
2016-04-09,16
2016-04-11,68
2016-04-12,58
2016-04-13,69
2016-04-14,56
2016-04-15,76
2016-04-16,8
2016-04-18,65
2016-04-19,46
2016-04-20,75
2016-04-21,31
2016-04-22,68
2016-04-23,10
2016-04-25,51
2016-04-26,46
2016-04-27,57
2016-04-28,67
2016-04-29,4
2016-04-30,8
2016-05-06,61
2016-05-07,10
2016-05-09,67
2016-05-10,64
2016-05-11,54
2016-05-12,73
2016-05-13,76
2016-05-14,12
2016-05-16,52
2016-05-17,53
2016-05-18,25
2016-05-19,56
2016-05-20,50
2016-05-21,4
2016-05-23,58
2016-05-24,6
2016-05-25,33
2016-05-26,52
2016-05-27,53
2016-05-28,8
2016-05-30,68
2016-05-31,57
2016-06-01,48
2016-06-02,68
2016-06-03,46
2016-06-04,6
2016-06-06,82
2016-06-07,53
2016-06-08,62
2016-06-09,53
2016-06-10,69
2016-06-11,3
2016-06-13,53
2016-06-14,47
2016-06-15,50
2016-06-16,55
2016-06-17,72
2016-06-18,9
2016-06-20,67
2016-06-21,35
2016-06-22,45
2016-06-23,55
2016-06-24,52
2016-06-25,5
2016-06-27,60
2016-06-28,52
2016-06-29,38
2016-06-30,55
2016-07-01,61
2016-07-02,25
2016-07-04,84
2016-07-05,38
2016-07-06,41
2016-07-07,83
2016-07-08,35
2016-07-09,10
2016-07-11,83
2016-07-12,57
2016-07-13,5
2016-07-14,11
2016-07-15,11
2016-07-16,2
2016-07-19,71
2016-07-20,10
2016-07-21,87
2016-07-22,8
