date,visitors
2016-07-01,5
2016-07-02,38
2016-07-03,30
2016-07-04,12
2016-07-06,20
2016-07-07,14
2016-07-08,19
2016-07-09,22
2016-07-10,31
2016-07-11,23
2016-07-13,15
2016-07-14,10
2016-07-15,8
2016-07-16,35
2016-07-17,24
2016-07-18,26
2016-07-20,9
2016-07-21,6
2016-07-22,23
2016-07-23,21
2016-07-24,30
2016-07-25,27
2016-07-27,7
2016-07-28,2
2016-07-29,25
2016-07-30,18
2016-07-31,31
2016-08-01,10
2016-08-03,10
2016-08-04,16
2016-08-05,8
2016-08-06,20
2016-08-07,11
2016-08-08,22
2016-08-10,18
2016-08-11,20
2016-08-12,8
2016-08-13,31
2016-08-14,20
2016-08-15,16
2016-08-17,21
2016-08-18,8
2016-08-19,20
2016-08-20,24
2016-08-21,16
2016-08-22,16
2016-08-24,13
2016-08-25,12
2016-08-26,10
2016-08-27,21
2016-08-28,12
2016-08-29,11
2016-08-31,8
2016-09-01,4
2016-09-02,10
2016-09-03,14
2016-09-04,14
2016-09-05,20
2016-09-07,24
2016-09-08,6
2016-09-09,19
2016-09-10,23
2016-09-11,19
2016-09-12,10
2016-09-14,12
2016-09-15,7
2016-09-16,15
2016-09-17,21
2016-09-18,15
2016-09-19,28
2016-09-21,17
2016-09-22,10
2016-09-23,19
2016-09-24,25
2016-09-25,16
2016-09-26,18
2016-09-28,11
2016-09-29,19
2016-09-30,4
2016-10-01,24
2016-10-02,43
2016-10-03,21
2016-10-05,18
2016-10-06,22
2016-10-07,23
2016-10-08,24
2016-10-09,30
2016-10-10,18
2016-10-12,9
2016-10-13,22
2016-10-14,10
2016-10-15,17
2016-10-16,29
2016-10-17,11
2016-10-19,7
2016-10-20,15
2016-10-21,5
2016-10-22,24
2016-10-23,19
2016-10-24,23
2016-10-26,11
2016-10-27,10
2016-10-28,10
2016-10-29,35
2016-10-30,21
2016-10-31,12
2016-11-02,11
2016-11-03,17
2016-11-04,19
2016-11-05,21
2016-11-06,15
2016-11-07,14
2016-11-09,10
2016-11-10,7
2016-11-11,8
2016-11-12,15
2016-11-13,11
2016-11-14,1
2016-11-16,9
2016-11-17,9
2016-11-18,14
2016-11-19,21
2016-11-20,18
2016-11-21,10
2016-11-23,8
2016-11-24,5
2016-11-25,6
2016-11-26,28
2016-11-27,21
2016-11-28,13
2016-11-30,13
2016-12-01,9
2016-12-02,24
2016-12-03,17
2016-12-04,11
2016-12-05,20
2016-12-07,18
2016-12-08,17
2016-12-09,16
2016-12-10,25
2016-12-11,12
2016-12-12,16
2016-12-14,4
2016-12-15,12
2016-12-16,23
2016-12-17,26
2016-12-18,30
2016-12-19,9
2016-12-21,4
2016-12-22,23
2016-12-23,25
2016-12-24,28
2016-12-25,24
2016-12-26,18
2016-12-27,17
2016-12-28,28
2016-12-29,34
2016-12-30,25
2017-01-06,20
2017-01-07,26
2017-01-08,26
2017-01-09,24
2017-01-11,5
2017-01-12,3
2017-01-13,3
2017-01-14,25
2017-01-15,12
2017-01-16,12
2017-01-18,7
2017-01-19,6
2017-01-20,16
2017-01-21,16
2017-01-22,12
2017-01-23,19
2017-01-25,6
2017-01-26,9
2017-01-27,13
2017-01-28,21
2017-01-29,12
2017-01-30,26
2017-02-01,12
2017-02-02,12
2017-02-03,9
2017-02-04,28
2017-02-05,26
2017-02-06,4
2017-02-07,7
2017-02-08,6
2017-02-09,10
2017-02-10,24
2017-02-11,26
2017-02-12,21
2017-02-13,9
2017-02-14,4
2017-02-15,10
2017-02-16,11
2017-02-17,8
2017-02-18,34
2017-02-19,25
2017-02-20,17
2017-02-21,9
2017-02-22,8
2017-02-23,2
2017-02-24,8
2017-02-25,31
2017-02-26,36
2017-02-27,4
2017-02-28,6
