date,visitors
2016-01-21,9
2016-01-22,13
2016-01-23,17
2016-01-24,4
2016-01-26,3
2016-01-27,10
2016-01-28,8
2016-01-30,13
2016-01-31,19
2016-02-02,7
2016-02-04,6
2016-02-05,6
2016-02-06,10
2016-02-07,4
2016-02-09,8
2016-02-10,1
2016-02-11,2
2016-02-12,2
2016-02-13,4
2016-02-14,15
2016-02-15,11
2016-02-18,5
2016-02-20,5
2016-02-22,4
2016-02-23,3
2016-02-24,17
2016-02-25,6
2016-02-27,10
2016-02-28,6
2016-02-29,1
2016-03-01,8
2016-03-02,2
2016-03-03,3
2016-03-04,17
2016-03-05,4
2016-03-06,2
2016-03-08,5
2016-03-09,1
2016-03-10,9
2016-03-11,2
2016-03-12,3
2016-03-13,3
2016-03-14,1
2016-03-15,3
2016-03-16,1
2016-03-17,10
2016-03-18,2
2016-03-19,11
2016-03-20,1
2016-03-21,3
2016-03-23,2
2016-03-24,25
2016-03-25,4
2016-03-26,2
2016-03-27,5
2016-03-29,9
2016-03-30,16
2016-04-01,1
2016-04-02,4
2016-04-03,21
2016-04-04,7
2016-04-05,11
2016-04-06,10
2016-04-07,14
2016-04-08,21
2016-04-10,5
2016-04-11,6
2016-04-12,5
2016-04-13,13
2016-04-14,4
2016-04-15,6
2016-04-16,6
2016-04-17,2
2016-04-18,3
2016-04-20,2
2016-04-21,4
2016-04-22,8
2016-04-23,7
2016-04-24,2
2016-04-26,2
2016-04-27,12
2016-04-28,9
2016-04-29,3
2016-04-30,4
2016-05-01,10
2016-05-02,24
2016-05-03,2
2016-05-04,16
2016-05-05,27
2016-05-06,3
2016-05-07,20
2016-05-10,2
2016-05-11,10
2016-05-13,2
2016-05-14,17
2016-05-15,4
2016-05-16,3
2016-05-17,12
2016-05-18,6
2016-05-20,12
2016-05-22,3
2016-05-23,2
2016-05-24,6
2016-05-25,9
2016-05-26,4
2016-05-27,24
2016-05-28,12
2016-05-29,27
2016-05-30,1
2016-05-31,2
2016-06-01,6
2016-06-02,3
2016-06-03,22
2016-06-05,1
2016-06-07,4
2016-06-08,3
2016-06-09,2
2016-06-10,5
2016-06-11,16
2016-06-12,1
2016-06-13,15
2016-06-14,3
2016-06-15,2
2016-06-16,10
2016-06-17,15
2016-06-18,14
2016-06-19,4
2016-06-21,1
2016-06-22,7
2016-06-23,4
2016-06-24,5
2016-06-25,14
2016-06-26,18
2016-06-27,23
2016-06-28,17
2016-06-29,2
2016-06-30,3
2016-07-01,12
2016-07-03,8
2016-07-04,9
2016-07-05,7
2016-07-06,5
2016-07-07,12
2016-07-08,20
2016-07-09,5
2016-07-10,1
2016-07-11,4
2016-07-13,5
2016-07-14,4
2016-07-15,3
2016-07-16,7
2016-07-17,6
2016-07-19,4
2016-07-20,3
2016-07-21,10
2016-07-22,3
2016-07-23,15
2016-07-24,6
2016-07-26,2
2016-07-27,9
2016-07-28,10
2016-07-29,18
2016-07-30,7
2016-07-31,1
2016-08-03,6
2016-08-04,1
2016-08-05,6
2016-08-06,11
2016-08-07,3
2016-08-08,3
2016-08-09,3
2016-08-11,5
2016-08-12,8
2016-08-13,1
2016-08-14,12
2016-08-15,4
2016-08-17,1
2016-08-18,3
2016-08-19,5
2016-08-20,1
2016-08-21,5
2016-08-22,1
2016-08-23,4
2016-08-24,3
2016-08-26,4
2016-08-27,19
2016-08-28,2
2016-08-31,3
2016-09-01,30
2016-09-02,11
2016-09-06,28
2016-09-07,4
2016-09-08,2
2016-09-09,3
2016-09-10,24
2016-09-11,2
2016-09-12,2
2016-09-13,10
2016-09-14,4
2016-09-15,12
2016-09-16,8
2016-09-17,7
2016-09-18,8
2016-09-21,3
2016-09-22,3
2016-09-23,2
2016-09-26,2
2016-09-27,6
2016-09-28,1
2016-09-29,3
2016-09-30,3
2016-10-01,13
2016-10-03,4
2016-10-04,2
2016-10-05,2
2016-10-06,23
2016-10-08,3
2016-10-11,22
2016-10-12,2
2016-10-13,4
2016-10-14,15
2016-10-15,12
2016-10-16,4
2016-10-18,7
2016-10-19,5
2016-10-20,5
2016-10-21,9
2016-10-22,2
2016-10-23,3
2016-10-25,9
2016-10-26,12
2016-10-27,30
2016-10-28,9
2016-10-29,18
2016-10-30,3
2016-10-31,7
2016-11-02,1
2016-11-03,4
2016-11-04,3
2016-11-05,2
2016-11-06,2
2016-11-08,9
2016-11-09,2
2016-11-10,1
2016-11-11,3
2016-11-12,5
2016-11-13,2
2016-11-14,4
2016-11-15,35
2016-11-20,5
2016-11-22,7
2016-11-24,3
2016-11-25,1
2016-11-26,10
2016-11-27,1
2016-11-28,2
2016-11-29,13
2016-11-30,8
2016-12-01,4
2016-12-03,15
2016-12-04,19
2016-12-06,2
2016-12-08,13
2016-12-09,2
2016-12-10,2
2016-12-13,6
2016-12-14,7
2016-12-15,10
2016-12-16,1
2016-12-17,2
2016-12-18,14
2016-12-19,3
2016-12-20,3
2016-12-21,1
2016-12-22,21
2016-12-23,4
2016-12-26,3
2016-12-27,4
2016-12-28,3
2016-12-29,14
2016-12-30,11
2017-01-04,14
2017-01-05,5
2017-01-06,4
2017-01-07,10
2017-01-10,1
2017-01-11,7
2017-01-12,9
2017-01-13,5
2017-01-14,3
2017-01-17,8
2017-01-18,3
2017-01-19,4
2017-01-20,4
