date,visitors
2016-07-01,40
2016-07-02,40
2016-07-03,14
2016-07-04,13
2016-07-05,18
2016-07-06,14
2016-07-07,3
2016-07-08,23
2016-07-09,35
2016-07-10,18
2016-07-11,2
2016-07-12,19
2016-07-13,25
2016-07-14,18
2016-07-15,22
2016-07-16,18
2016-07-17,26
2016-07-18,18
2016-07-19,15
2016-07-20,18
2016-07-21,8
2016-07-22,28
2016-07-23,58
2016-07-24,8
2016-07-25,12
2016-07-26,22
2016-07-27,14
2016-07-28,21
2016-07-29,11
2016-07-30,7
2016-07-31,23
2016-08-01,3
2016-08-02,3
2016-08-03,14
2016-08-04,29
2016-08-05,44
2016-08-06,20
2016-08-07,33
2016-08-08,8
2016-08-09,24
2016-08-10,16
2016-08-11,31
2016-08-12,4
2016-08-13,13
2016-08-14,15
2016-08-15,8
2016-08-16,22
2016-08-18,11
2016-08-19,30
2016-08-20,19
2016-08-21,7
2016-08-22,9
2016-08-23,12
2016-08-24,7
2016-08-26,16
2016-08-27,38
2016-08-28,18
2016-08-29,7
2016-08-30,14
2016-08-31,57
2016-09-01,6
2016-09-02,28
2016-09-03,26
2016-09-04,19
2016-09-05,6
2016-09-06,11
2016-09-07,3
2016-09-08,14
2016-09-09,17
2016-09-10,42
2016-09-11,21
2016-09-13,12
2016-09-14,10
2016-09-15,10
2016-09-16,27
2016-09-17,4
2016-09-18,25
2016-09-19,6
2016-09-20,24
2016-09-21,18
2016-09-22,10
2016-09-23,4
2016-09-24,43
2016-09-25,17
2016-09-26,9
2016-09-27,10
2016-09-28,12
2016-09-29,7
2016-09-30,25
2016-10-01,22
2016-10-02,14
2016-10-03,10
2016-10-04,19
2016-10-05,12
2016-10-06,5
2016-10-07,14
2016-10-08,18
2016-10-09,22
2016-10-10,5
2016-10-11,1
2016-10-12,13
2016-10-13,11
2016-10-14,24
2016-10-15,8
2016-10-16,13
2016-10-17,38
2016-10-18,42
2016-10-19,4
2016-10-20,3
2016-10-21,37
2016-10-22,16
2016-10-23,25
2016-10-24,6
2016-10-25,9
2016-10-26,8
2016-10-27,5
2016-10-28,29
2016-10-29,41
2016-10-30,10
2016-10-31,2
2016-11-01,11
2016-11-02,33
2016-11-03,13
2016-11-04,21
2016-11-05,26
2016-11-06,7
2016-11-09,5
2016-11-10,2
2016-11-11,5
2016-11-12,40
2016-11-13,9
2016-11-14,13
2016-11-15,30
2016-11-16,6
2016-11-17,3
2016-11-18,21
2016-11-19,8
2016-11-20,20
2016-11-21,23
2016-11-22,11
2016-11-23,23
2016-11-24,11
2016-11-25,20
2016-11-26,60
2016-11-27,4
2016-11-28,19
2016-11-29,3
2016-11-30,12
2016-12-01,13
2016-12-02,43
2016-12-03,18
2016-12-04,59
2016-12-05,9
2016-12-06,12
2016-12-07,11
2016-12-08,40
2016-12-09,17
2016-12-10,57
2016-12-11,19
2016-12-12,7
2016-12-13,24
2016-12-14,32
2016-12-15,21
2016-12-16,33
2016-12-17,45
2016-12-18,17
2016-12-19,35
2016-12-20,14
2016-12-21,10
2016-12-22,25
2016-12-23,26
2016-12-24,28
2016-12-25,17
2016-12-26,22
2016-12-27,12
2016-12-28,54
2016-12-29,58
2016-12-30,58
2016-12-31,10
2017-01-04,17
2017-01-05,15
2017-01-06,1
2017-01-07,24
2017-01-08,20
2017-01-09,13
2017-01-10,18
2017-01-11,8
2017-01-12,6
2017-01-13,45
2017-01-14,47
2017-01-15,16
2017-01-16,39
2017-01-17,15
2017-01-18,11
2017-01-19,14
2017-01-20,15
2017-01-21,56
2017-01-22,9
2017-01-24,20
2017-01-25,23
2017-01-26,11
2017-01-27,34
2017-01-28,30
2017-01-29,14
2017-01-31,10
2017-02-01,2
2017-02-02,16
2017-02-03,32
2017-02-04,28
2017-02-05,13
2017-02-06,5
2017-02-07,10
2017-02-08,12
2017-02-09,3
2017-02-10,14
2017-02-11,37
2017-02-12,5
2017-02-13,5
2017-02-14,42
2017-02-15,16
2017-02-16,9
2017-02-17,35
2017-02-18,39
2017-02-19,17
2017-02-20,11
2017-02-21,16
2017-02-22,12
2017-02-23,23
