date,visitors
2016-01-05,12
2016-01-06,14
2016-01-07,11
2016-01-08,7
2016-01-09,34
2016-01-10,48
2016-01-11,41
2016-01-12,22
2016-01-13,18
2016-01-14,22
2016-01-15,33
2016-01-16,27
2016-01-17,66
2016-01-19,25
2016-01-20,23
2016-01-21,13
2016-01-22,26
2016-01-23,33
2016-01-24,49
2016-01-25,16
2016-01-26,3
2016-01-27,26
2016-01-28,19
2016-01-30,41
2016-01-31,43
2016-02-01,56
2016-02-02,15
2016-02-03,8
2016-02-04,8
2016-02-05,10
2016-02-06,52
2016-02-07,57
2016-02-09,10
2016-02-10,8
2016-02-11,46
2016-02-12,11
2016-02-13,60
2016-02-14,31
2016-02-15,17
2016-02-16,12
2016-02-17,10
2016-02-18,15
2016-02-19,15
2016-02-20,41
2016-02-21,33
2016-02-22,12
2016-02-23,9
2016-02-24,11
2016-02-25,15
2016-02-26,22
2016-02-27,43
2016-02-28,73
2016-02-29,2
2016-03-01,19
2016-03-02,9
2016-03-03,14
2016-03-04,17
2016-03-05,68
2016-03-06,14
2016-03-07,3
2016-03-08,18
2016-03-09,24
2016-03-11,11
2016-03-12,47
2016-03-13,34
2016-03-14,25
2016-03-15,24
2016-03-16,26
2016-03-17,17
2016-03-18,27
2016-03-19,41
2016-03-20,34
2016-03-21,46
2016-03-22,17
2016-03-23,36
2016-03-24,31
2016-03-25,23
2016-03-26,40
2016-03-27,99
2016-03-29,23
2016-03-30,33
2016-03-31,39
2016-04-01,26
2016-04-02,32
2016-04-03,41
2016-04-04,11
2016-04-05,14
2016-04-06,11
2016-04-07,9
2016-04-08,12
2016-04-09,36
2016-04-10,43
2016-04-12,9
2016-04-13,20
2016-04-15,38
2016-04-16,54
2016-04-17,72
2016-04-19,27
2016-04-20,25
2016-04-21,29
2016-04-22,25
2016-04-23,40
2016-04-24,50
2016-04-25,16
2016-04-26,20
2016-04-27,20
2016-04-28,25
2016-04-29,43
2016-04-30,37
2016-05-01,41
2016-05-02,64
2016-05-03,19
2016-05-04,17
2016-05-05,29
2016-05-06,25
2016-05-07,41
2016-05-08,35
2016-05-09,17
2016-05-10,15
2016-05-13,15
2016-05-14,41
2016-05-15,42
2016-05-16,14
2016-05-17,8
2016-05-18,13
2016-05-19,22
2016-05-20,11
2016-05-21,59
2016-05-22,40
2016-05-23,34
2016-05-24,11
2016-05-25,24
2016-05-26,16
2016-05-27,15
2016-05-28,46
2016-05-29,55
2016-05-30,31
2016-05-31,29
2016-06-01,16
2016-06-02,18
2016-06-03,14
2016-06-04,65
2016-06-05,14
2016-06-07,19
2016-06-08,8
2016-06-10,12
2016-06-11,43
2016-06-12,37
2016-06-13,10
2016-06-14,11
2016-06-15,16
2016-06-16,27
2016-06-17,26
2016-06-18,42
2016-06-19,44
2016-06-20,17
2016-06-21,35
2016-06-22,43
2016-06-23,31
2016-06-24,38
2016-06-25,52
2016-06-26,74
2016-06-28,23
2016-06-29,22
2016-06-30,25
2016-07-01,35
2016-07-02,57
2016-07-03,35
2016-07-04,10
2016-07-05,15
2016-07-06,13
2016-07-07,32
2016-07-08,21
2016-07-09,26
2016-07-10,62
2016-07-11,8
2016-07-12,22
2016-07-13,18
2016-07-15,26
2016-07-16,48
2016-07-17,54
2016-07-18,51
2016-07-19,6
2016-07-20,12
2016-07-21,29
2016-07-22,20
2016-07-23,49
2016-07-24,43
2016-07-26,15
2016-07-27,25
2016-07-28,10
2016-07-29,16
2016-07-30,45
2016-07-31,43
2016-08-01,50
2016-08-02,12
2016-08-03,17
2016-08-04,13
2016-08-05,24
2016-08-06,45
2016-08-07,35
2016-08-08,11
2016-08-09,11
2016-08-10,23
2016-08-11,50
2016-08-12,7
2016-08-13,21
2016-08-14,27
2016-08-15,20
2016-08-16,15
2016-08-17,13
2016-08-18,12
2016-08-19,16
2016-08-20,35
2016-08-21,61
2016-08-22,15
2016-08-24,14
2016-08-25,22
2016-08-26,13
2016-08-27,36
2016-08-28,56
2016-08-30,11
2016-08-31,12
2016-09-01,18
2016-09-02,30
2016-09-03,58
2016-09-04,32
2016-09-05,20
2016-09-06,15
2016-09-07,21
2016-09-08,13
2016-09-09,23
2016-09-10,41
2016-09-11,47
2016-09-12,5
2016-09-13,13
2016-09-14,17
2016-09-16,14
2016-09-17,50
2016-09-18,32
2016-09-19,59
2016-09-21,17
2016-09-22,82
2016-09-23,15
2016-09-24,45
2016-09-25,34
2016-09-26,16
2016-09-27,12
2016-09-28,22
2016-09-29,9
2016-09-30,24
2016-10-01,59
2016-10-02,39
2016-10-03,11
2016-10-04,9
2016-10-06,23
2016-10-07,23
2016-10-08,46
2016-10-09,35
2016-10-10,22
2016-10-11,19
2016-10-12,6
2016-10-14,8
2016-10-15,34
2016-10-16,33
2016-10-17,8
2016-10-18,12
2016-10-19,14
2016-10-20,8
2016-10-21,11
2016-10-22,30
2016-10-23,45
2016-10-25,8
2016-10-26,10
2016-10-27,11
2016-10-28,24
2016-10-29,43
2016-11-01,17
2016-11-02,7
2016-11-03,37
2016-11-05,15
2016-11-06,27
2016-11-08,14
2016-11-09,16
2016-11-10,10
2016-11-11,15
2016-11-12,29
2016-11-13,41
2016-11-14,20
2016-11-15,12
2016-11-16,11
2016-11-17,12
2016-11-18,12
2016-11-19,67
2016-11-20,5
2016-11-21,20
2016-11-22,18
2016-11-23,34
2016-11-24,65
2016-11-25,16
2016-11-26,40
2016-11-27,61
2016-11-28,11
2016-11-29,34
2016-11-30,18
2016-12-01,40
2016-12-02,27
2016-12-03,32
2016-12-04,49
2016-12-06,15
2016-12-07,31
2016-12-08,23
2016-12-09,24
2016-12-10,31
2016-12-11,43
2016-12-12,26
2016-12-13,42
2016-12-14,28
2016-12-15,16
2016-12-16,39
2016-12-17,45
2016-12-18,47
2016-12-19,33
2016-12-20,14
2016-12-21,21
2016-12-22,37
2016-12-23,41
2016-12-24,40
2016-12-25,58
2016-12-27,28
2016-12-28,47
2016-12-29,40
2016-12-30,52
2017-01-06,10
2017-01-07,23
2017-01-08,45
2017-01-09,30
2017-01-10,7
2017-01-11,15
2017-01-12,11
2017-01-13,19
2017-01-14,40
2017-01-15,61
