date,visitors
2016-01-05,32
2016-01-06,33
2016-01-07,32
2016-01-08,31
2016-01-12,29
2016-01-13,30
2016-01-14,24
2016-01-15,29
2016-01-16,44
2016-01-18,19
2016-01-19,19
2016-01-20,30
2016-01-21,24
2016-01-22,24
2016-01-23,12
2016-01-25,29
2016-01-26,25
2016-01-27,28
2016-01-28,23
2016-01-29,26
2016-01-30,17
2016-02-01,29
2016-02-02,32
2016-02-03,39
2016-02-04,19
2016-02-05,39
2016-02-06,25
2016-02-08,24
2016-02-09,42
2016-02-10,33
2016-02-12,42
2016-02-14,17
2016-02-15,38
2016-02-16,30
2016-02-17,34
2016-02-18,36
2016-02-19,32
2016-02-20,19
2016-02-22,27
2016-02-23,28
2016-02-24,30
2016-02-25,38
2016-02-26,40
2016-02-27,35
2016-02-29,26
2016-03-01,35
2016-03-02,39
2016-03-03,27
2016-03-04,41
2016-03-05,20
2016-03-07,19
2016-03-08,31
2016-03-09,20
2016-03-10,31
2016-03-11,16
2016-03-14,21
2016-03-15,46
2016-03-16,44
2016-03-17,30
2016-03-18,29
2016-03-21,35
2016-03-22,37
2016-03-23,19
2016-03-24,23
2016-03-25,21
2016-03-27,14
2016-03-28,37
2016-03-29,25
2016-03-30,27
2016-03-31,29
2016-04-01,35
2016-04-02,21
2016-04-04,32
2016-04-05,29
2016-04-06,41
2016-04-08,34
2016-04-10,25
2016-04-11,35
2016-04-13,58
2016-04-14,20
2016-04-15,8
2016-04-17,24
2016-04-18,16
2016-04-19,48
2016-04-20,28
2016-04-21,35
2016-04-22,29
2016-04-24,36
2016-04-25,66
2016-04-26,29
2016-04-27,25
2016-04-28,39
2016-04-29,168
2016-05-02,33
2016-05-06,35
2016-05-07,26
2016-05-09,28
2016-05-10,34
2016-05-11,35
2016-05-12,23
2016-05-13,32
2016-05-16,25
2016-05-17,38
2016-05-18,30
2016-05-19,13
2016-05-20,28
2016-05-21,27
2016-05-23,26
2016-05-24,24
2016-05-25,23
2016-05-26,24
2016-05-27,31
2016-05-28,40
2016-05-30,23
2016-05-31,25
2016-06-01,33
2016-06-02,25
2016-06-03,12
2016-06-04,50
2016-06-06,24
2016-06-07,24
2016-06-08,25
2016-06-09,23
2016-06-10,22
2016-06-11,1
2016-06-12,1
2016-06-13,35
2016-06-14,20
2016-06-15,22
2016-06-16,23
2016-06-17,36
2016-06-18,47
2016-06-20,27
2016-06-21,17
2016-06-22,26
2016-06-24,20
2016-06-25,30
2016-06-26,29
2016-06-27,33
2016-06-28,25
2016-06-29,29
2016-06-30,30
2016-07-01,33
2016-07-03,21
2016-07-04,24
2016-07-05,22
2016-07-06,28
2016-07-07,29
2016-07-08,32
2016-07-11,23
2016-07-12,29
2016-07-13,39
2016-07-14,28
2016-07-15,29
2016-07-16,23
2016-07-20,32
2016-07-21,47
2016-07-23,40
2016-07-25,27
2016-07-26,36
2016-07-27,30
2016-07-28,7
2016-07-29,22
2016-07-31,76
2016-08-01,28
2016-08-02,32
2016-08-03,28
2016-08-04,23
2016-08-05,29
2016-08-07,18
2016-08-08,24
2016-08-09,18
2016-08-16,29
2016-08-17,22
2016-08-19,24
2016-08-20,22
2016-08-21,26
2016-08-22,20
2016-08-23,26
2016-08-24,29
2016-08-25,28
2016-08-26,21
2016-08-28,16
2016-08-29,21
2016-08-30,20
2016-08-31,24
2016-09-01,28
2016-09-03,29
2016-09-04,22
2016-09-05,22
2016-09-06,19
2016-09-07,22
2016-09-08,16
2016-09-09,9
2016-09-10,29
2016-09-12,30
2016-09-13,25
2016-09-15,66
2016-09-17,15
2016-09-18,26
2016-09-20,27
2016-09-21,29
2016-09-23,24
2016-09-25,14
2016-09-27,22
2016-09-28,22
2016-09-29,21
2016-09-30,53
2016-10-01,16
2016-10-03,22
2016-10-04,27
2016-10-06,56
2016-10-07,13
2016-10-12,46
2016-10-13,41
2016-10-14,23
2016-10-15,47
2016-10-16,58
2016-10-17,13
2016-10-23,104
2016-10-24,34
2016-10-25,22
2016-10-27,22
2016-10-28,23
2016-10-29,22
2016-10-30,180
2016-10-31,24
2016-11-01,18
2016-11-03,28
2016-11-04,30
2016-11-05,15
2016-11-07,38
2016-11-08,27
2016-11-09,16
2016-11-10,18
2016-11-11,25
2016-11-14,21
2016-11-16,15
2016-11-17,15
2016-11-18,46
2016-11-19,24
2016-11-21,23
2016-11-25,40
2016-11-27,45
2016-11-28,31
2016-11-29,29
2016-11-30,26
2016-12-03,88
2016-12-05,37
2016-12-06,28
2016-12-07,18
2016-12-08,22
2016-12-09,20
2016-12-12,21
2016-12-13,19
2016-12-14,29
2016-12-16,22
2016-12-17,24
2016-12-18,20
2016-12-19,24
2016-12-20,31
2016-12-21,27
2016-12-24,29
2016-12-25,16
2016-12-26,16
2016-12-28,23
2016-12-30,13
2017-01-05,35
2017-01-06,19
2017-01-09,34
2017-01-10,29
2017-01-11,31
2017-01-13,26
2017-01-14,16
2017-01-16,27
2017-01-17,36
